ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
14;;Województwo;Mazowieckie;;;;;;1130000.0;1130000.0;960500.0;960500.0;;;;;;;;;;;;;
14-1;14;Projekt;PLAN DZIA£AÑ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO NA LATA 2007 - 2013. CZÊŒÆ A PLAN DZIA£AÑ POMOCY TECHNICZNEJ RPO NA 2007 r.;RPMA.08.01.00-14-004/07-00;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.01.00;;930,000.00;930,000.00;790,500.00;790,500.00;Urz¹d Marsza³kowski Województwa Mazowieckiego;5252087227;03-719;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;RPMA.08.01.00-14-004/07-01;Tak;2007/10/23;2008/09/02
14-2;14;Projekt;PLAN DZIA£AÑ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO 2007 - 2013. CZÊŒÆ A PLAN DZIA£AÑ POMOCY TECHNICZNEJ RPO NA 2007 r.;RPMA.08.02.00-14-001/07-01;Regionalny Program Operacyjny Województwa Mazowieckiego;RPMA.08.00.00;RPMA.08.02.00;;200,000.00;200,000.00;170,000.00;170,000.00;Mazowiecka Jednostka Wdra¿ania Programów Unijnych;1132669019;03-301;Warszawa;Mazowieckie;Powiat m. st. Warszawa;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;00 Nie dotyczy;;;2007/10/30;2009/02/26
12;;Województwo;Ma³opolskie;;;;;;27535901.9;27389979.9;23281484.3;23281484.3;;;;;;;;;;;;;
12-1;12;Projekt;Przygotowanie i pe³nienie funkcji Instytucji Zarz¹dzaj¹cej MRPO 2007 - 2013;RPMP.09.01.00-12-001/07-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;94,516.00;94,516.00;80,338.00;80,338.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-001/07-01;Tak;2007/12/17;2008/08/18
12-2;12;Projekt;Organizacja i obs³uga posiedzeñ Regionalnego Komitetu Monitoruj¹cego;RPMP.09.01.00-12-002/07-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;29,181.00;15,000.00;12,750.00;12,750.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-002/07-01;Tak;2007/02/26;2008/08/19
12-3;12;Projekt;Budowa i rozwój Regionalnego Systemu Informatycznego dla MRPO;RPMP.09.01.00-12-004/07-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;123,500.00;123,500.00;104,975.00;104,975.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-004/07-01;Tak;2007/10/02;2008/08/19
12-4;12;Projekt;Pomoc Techniczna MRPO;RPMP.09.01.00-12-005/07-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;4,737,000.00;4,737,000.00;4,026,450.00;4,026,450.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-005/07-02;Tak;2007/02/26;2008/08/19
12-5;12;Projekt;Programowanie rozwoju województwa;RPMP.09.01.00-12-006/07-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;44,673.90;44,673.90;37,973.30;37,973.30;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-006/07-01;Tak;2007/09/20;2008/08/19
12-6;12;Projekt;Ewaluacja MRPO i Ma³opolski Project Pipeline - Priorytet 9 PT MRPO;RPMP.09.01.00-12-007/08-01;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;1,715,000.00;1,715,000.00;1,457,750.00;1,457,750.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-007/08-18;Tak;2007/12/17;2008/08/19
12-7;12;Projekt;Monitoring MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-008/08-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;253,500.00;253,500.00;215,475.00;215,475.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-008/08-12;Tak;2007/12/17;2008/08/19
12-8;12;Projekt;Zarz¹dzanie finansowe MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-009/08-00;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;80,000.00;80,000.00;68,000.00;68,000.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-009/08-18;Tak;2007/12/17;2008/08/19
12-9;12;Projekt;Analizy i badania oraz us³ugi zewnêtrzne na potrzeby wspierania wdra¿ania MRPO 0 Priorytet 9 PT MRPO;RPMP.09.01.00-12-012/08-01;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;160,000.00;160,000.00;136,000.00;136,000.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;86 Ocena, badania/ekspertyzy, informacja i komunikacja;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-012/08-12;Tak;2007/12/17;2008/09/15
12-10;12;Projekt;Budowa i rozwój systemu informatycznego w ramach MRPO - Priorytet 9 PT MRPO;RPMP.09.01.00-12-013/08-01;Regionalny Program Operacyjny Województwa Ma³opolskiego;RPMP.09.00.00;RPMP.09.01.00;;451,094.00;451,094.00;383,430.00;383,430.00;Urz¹d Marsza³kowski Województwa Ma³opolskiego;6762083499;31-156;Kraków;Ma³opolskie;Powiat m. Kraków;85 Przygotowanie, realizacja, monitorowanie i kontrola;wojewódzka samorz¹dowa jednostka organizacyjna;01 Obszar miejski;RPMP.09.01.00-12-013/08-18;Tak;2007/12/17;2008/09/24
