ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33;;Ca³y kraj;Ca³y kraj;;;;;;3106621152.67;2973881594.6;2910079056.69;2491991667.37;;;;;;;;;;;;;
33-1;33;Projekt;Foresight dla energetyki termoj¹drowej ;POIG.01.01.01-00-009/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.01;407,900.00;407,900.00;407,900.00;346,715.00;Instytut Fizyki Plazmy i Laserowej Mikrosyntezy im. Sylwestra Kaliskiego;5250007193;01-497;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;jednostka naukowa;00 Nie dotyczy;POIG.01.01.01-00-009/08-05-K01;Tak;2009/10/22;2009/10/23
33-2;33;Projekt;Wsparcie systemu zarz¹dzania badaniami naukowymi oraz ich wynikami;POIG.01.01.03-00-001/08-00;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.01.00;POIG.01.01.03;105,000,000.00;105,000,000.00;105,000,000.00;89,250,000.00;Minister Nauki i Szkolnictwa Wy¿szego;7010014467;00-529;Warszawa;Mazowieckie;Powiat m. st. Warszawa;01 Dzia³alnoœæ B+RT prowadzona w oœrodkach badawczych;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POIG.01.01.03-00-001/08-03;Nie;2009/09/22;2009/09/23
33-3;33;Projekt;Interoperacyjny system zarz¹dzania dokumentami, komunikacji i pracy grupowej klasy ECM.PKWiU 58.29.40;POIG.01.04.00-30-009/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.01.00.00;POIG.01.04.00;;729,890.00;612,000.00;275,400.00;234,090.00;Amazis.net sp. z o.o.;9721068582;61-695;Poznañ;Wielkopolskie;Powiat m. Poznañ;04 Wsparcie na rzecz rozwoju B+RT, w szczególnoœci w MŒP (w tym dostêp do us³ug zwi¹zanych z B+RT w oœrodkach badawczych);spó³ka z ograniczon¹ odpowiedzialnoœci¹ - mikro przedsiêbiorstwo;00 Nie dotyczy;POIG.01.04.00-30-009/09-01;Nie;2009/11/25;2009/12/28
33-4;33;Projekt;Wspieranie funduszy kapita³u podwy¿szonego ryzyka przez Krajowy Fundusz Kapita³owy;POIG.03.02.00-00-001/08-01;Program Operacyjny Innowacyjna Gospodarka;POIG.03.00.00;POIG.03.02.00;;646,830,000.00;646,830,000.00;646,830,000.00;549,805,500.00;Krajowy Fundusz Kapita³owy S.A.;5262874748;00-526;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us³ugi w zakresie zaawansowanego wsparcia dla przedsiêbiorstw i grup przedsiêbiorstw;spó³ka akcyjna - du¿e przedsiêbiorstwo;00 Nie dotyczy;POIG.03.02.00-00-001/08-03;Nie;2009/06/25;2009/06/26
33-5;33;Projekt;Interoperacyjny system zarz¹dzania dokumentami, komunikacji i pracy grupowej klasy ECM.PKWiU 58.29.40;POIG.04.01.00-30-009/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.01.00;;83,570.00;68,500.00;40,500.00;34,425.00;Amazis.net sp. z o.o.;9721068582;61-695;Poznañ;Wielkopolskie;Powiat m. Poznañ;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);spó³ka z ograniczon¹ odpowiedzialnoœci¹ - mikro przedsiêbiorstwo;00 Nie dotyczy;;;2009/11/25;2009/12/28
33-6;33;Projekt;Wdro¿enie innowacyjnych us³ug w oparciu o sieæ dostêpow¹ w technologii pasywnej sieci optycznej PON;POIG.04.04.00-02-002/09-03;Program Operacyjny Innowacyjna Gospodarka;POIG.04.00.00;POIG.04.04.00;;55,940,000.00;55,588,984.21;22,235,593.68;18,900,254.63;Telefonia DIALOG Spó³ka Akcyjna;6921990816;50-136;Wroc³aw;Dolnoœl¹skie;Powiat m. Wroc³aw;07 Inwestycje w przedsiêbiorstwa bezpoœrednio zwi¹zane z dziedzin¹ badañ i innowacji (innowacyjne technologie, tworzenie przedsiêbiorstw przez uczelnie, istniej¹ce oœrodki B+RT i przedsiêbiorstwa itp.);spó³ka akcyjna - du¿e przedsiêbiorstwo;00 Nie dotyczy;;;2009/11/26;2010/11/04
33-7;33;Projekt;Poprawa konkurencyjnoœci przedsiêbiorstw poprzez wzornictwo (innowacja procesowa i produktowa).;POIG.05.02.00-00-001/08-00;Program Operacyjny Innowacyjna Gospodarka;POIG.05.00.00;POIG.05.02.00;;21,150,447.00;17,970,000.00;17,970,000.00;15,274,500.00;Instytut Wzornictwa Przemys³owego Sp. z o.o.;5250012484;00-236;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us³ugi w zakresie zaawansowanego wsparcia dla przedsiêbiorstw i grup przedsiêbiorstw;spó³ka z ograniczon¹ odpowiedzialnoœci¹ - ma³e przedsiêbiorstwo;00 Nie dotyczy;POIG.05.02.00-00-001/08-14;Nie;2009/03/25;2009/03/30
33-8;33;Projekt;Droga do Polski Przedsiêbiorczej;POIG.05.02.00-00-003/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.05.00.00;POIG.05.02.00;;28,954,261.44;25,150,000.00;25,150,000.00;21,377,500.00;Akademickie Inkubatory Przedsiêbiorczoœci;5242495143;00-672;Warszawa;Mazowieckie;Powiat m. st. Warszawa;05 Us³ugi w zakresie zaawansowanego wsparcia dla przedsiêbiorstw i grup przedsiêbiorstw;fundacja;00 Nie dotyczy;POIG.05.02.00-00-003/09-09;Nie;2009/08/14;2009/09/16
33-9;33;Projekt;Promujmy Polskê Razem;POIG.06.03.00-00-001/09-00;Program Operacyjny Innowacyjna Gospodarka;POIG.06.00.00;POIG.06.03.00;;141,780,000.00;141,780,000.00;141,780,000.00;120,513,000.00;Polska Organizacja Turystyczna;5252150196;00-613;Warszawa;Mazowieckie;Powiat m. st. Warszawa;57 Inne wsparcie na rzecz wzmocnienia us³ug turystycznych;pañstwowa jednostka organizacyjna;00 Nie dotyczy;POIG.06.03.00-00-001/09-19;Nie;2009/08/12;2009/08/12
