ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
30;;Województwo;Wielkopolskie;;;;;;375246.2;375246.2;262672.34;262672.34;;;;;;;;;;;;;
30-21;30;Powiat;Powiat poznañski;;;;;;375246.2;375246.2;262672.34;262672.34;;;;;;;;;;;;;
30-21-1;30-21;Projekt;Kampania informacyjno-edukacyjna dla mieszkañców Wielkopolski o zmianach klimatu na œwiecie i o zagro¿eniach z tym zwi¹zanych  ;RPWP.03.03.00-30-006/08-00;Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013;RPWP.03.00.00;RPWP.03.03.00;;375,246.20;375,246.20;262,672.34;262,672.34;Miasto Poznañ;7781029225;61-841;Poznañ;Wielkopolskie;Powiat m. Poznañ;51 Promowanie bioró¿norodnoœci i ochrony przyrody (w tym NATURA 2000);wspólnota samorz¹dowa;01 Obszar miejski;RPWP.03.03.00-30-006/08-02;Tak;2008/12/18;2008/12/18
