ID;Rodzic;Poziom;Numer;Część;Typ;Treść;Pozycja;Dotacje i subwencje;Świadczenia na rzecz osób fizycznych;Wydatki bieżące jednostek budżetowych;Wydatki majątkowe;Wydatki na obsługę długu Skarbu Państwa;Środki własne Unii Europejskiej;Współfinansowanie projektów z udziałem środków Unii Europejskiej;OGÓŁEM
19;;a;19;19;Część 19;BUDŻET, FINANSE PUBLICZNE I INSTYTUCJE FINANSOWE;1;193782;57691;5218021;250086;0;0;72633;5792213
19-150;19;b;150;19;Dział 150;Przetwórstwo przemysłowe;2;0;0;5000;7000;0;0;0;12000
19-150-18;19-150;c;15018;19;Rozdział 15018;Rozliczenia związane z systemem dopłat do oprocentowania  kredytów eksportowych o stałych stopach procentowych;3;0;0;5000;0;0;0;0;5000
19-150-19;19-150;c;15019;19;Rozdział 15019;Wspieranie polskiego eksportu poprzez udzielanie przez Bank Gospodarstwa Krajowego kredytów eksportowych;4;0;0;0;7000;0;0;0;7000
19-550;19;b;550;19;Dział 550;Hotele i restauracje;5;21000;0;0;0;0;0;0;21000
19-550-03;19-550;c;55003;19;Rozdział 55003;Bary mleczne;6;21000;0;0;0;0;0;0;21000
19-750;19;b;750;19;Dział 750;Administracja publiczna;7;0;57691;4964777;243086;0;0;72633;5338187
19-750-01;19-750;c;75001;19;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;8;0;443;260743;0;0;0;28912;290098
19-750-08;19-750;c;75008;19;Rozdział 75008;Izby skarbowe;9;0;32;292064;22600;0;0;0;314696
19-750-09;19-750;c;75009;19;Rozdział 75009;Urzędy skarbowe;10;0;802;2542128;32920;0;0;0;2575850
19-750-10;19-750;c;75010;19;Rozdział 75010;Urzędy kontroli skarbowej;11;0;32;476542;2569;0;0;28392;507535
19-750-13;19-750;c;75013;19;Rozdział 75013;Izby celne i urzędy celne;12;0;56122;1299927;164937;0;0;1360;1522346
19-750-46;19-750;c;75046;19;Rozdział 75046;Komisje egzaminacyjne;13;0;200;877;0;0;0;0;1077
19-750-76;19-750;c;75076;19;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;14;0;0;2887;0;0;0;0;2887
19-750-95;19-750;c;75095;19;Rozdział 75095;Pozostała działalność;15;0;60;89609;20060;0;0;13969;123698
19-752;19;b;752;19;Dział 752;Obrona narodowa;16;0;0;116;0;0;0;0;116
19-752-12;19-752;c;75212;19;Rozdział 75212;Pozostałe wydatki obronne;17;0;0;116;0;0;0;0;116
19-754;19;b;754;19;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;18;0;0;44;0;0;0;0;44
19-754-14;19-754;c;75414;19;Rozdział 75414;Obrona cywilna;19;0;0;44;0;0;0;0;44
19-756;19;b;756;19;Dział 756;Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających  osobowości prawnej oraz wydatki związane z ich poborem;20;0;0;247364;0;0;0;0;247364
19-756-47;19-756;c;75647;19;Rozdział 75647;Pobór podatków, opłat i niepodatkowych  należności budżetowych;21;0;0;247364;0;0;0;0;247364
19-758;19;b;758;19;Dział 758;Różne rozliczenia;22;172782;0;720;0;0;0;0;173502
19-758-23;19-758;c;75823;19;Rozdział 75823;Partie polityczne;23;172782;0;720;0;0;0;0;173502
20;;a;20;20;Część 20;GOSPODARKA;1;859752;34045;246523;31681;0;0;310847;1482848
20-100;20;b;100;20;Dział 100;Górnictwo i kopalnictwo;2;538843;21;200;0;0;0;0;539064
20-100-01;20-100;c;10001;20;Rozdział 10001;Górnictwo węgla kamiennego;3;438843;0;0;0;0;0;0;438843
20-100-02;20-100;c;10002;20;Rozdział 10002;Górnictwo węgla brunatnego;4;0;1;0;0;0;0;0;1
20-100-05;20-100;c;10005;20;Rozdział 10005;Produkcja soli;5;86000;0;0;0;0;0;0;86000
20-100-95;20-100;c;10095;20;Rozdział 10095;Pozostała działalność;6;14000;20;200;0;0;0;0;14220
20-150;20;b;150;20;Dział 150;Przetwórstwo przemysłowe;7;122649;1326;77201;22016;0;0;259632;482824
20-150-04;20-150;c;15004;20;Rozdział 15004;Zadania w zakresie bezpiecznego wykorzystania energii atomowej;8;0;1326;23770;0;0;0;0;25096
20-150-06;20-150;c;15006;20;Rozdział 15006;Hutnictwo;9;0;0;250;0;0;0;0;250
20-150-11;20-150;c;15011;20;Rozdział 15011;Rozwój przedsiębiorczości;10;5104;0;1180;0;0;0;560;6844
20-150-12;20-150;c;15012;20;Rozdział 15012;Polska Agencja Rozwoju Przedsiębiorczości;11;66552;0;0;3668;0;0;189661;259881
20-150-14;20-150;c;15014;20;Rozdział 15014;Wsparcie finansowe inwestycji;12;46543;0;0;18348;0;0;0;64891
20-150-95;20-150;c;15095;20;Rozdział 15095;Pozostała działalność;13;4450;0;52001;0;0;0;69411;125862
20-500;20;b;500;20;Dział 500;Handel;14;124841;6300;11580;150;0;0;17262;160133
20-500-03;20-500;c;50003;20;Rozdział 50003;Agencja Rezerw Materiałowych;15;110699;0;0;0;0;0;0;110699
20-500-05;20-500;c;50005;20;Rozdział 50005;Promocja eksportu;16;14142;6300;11580;150;0;0;17262;49434
20-750;20;b;750;20;Dział 750;Administracja publiczna;17;419;26398;157228;9495;0;0;27932;221472
20-750-01;20-750;c;75001;20;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;18;0;248;106345;6695;0;0;27794;141082
20-750-57;20-750;c;75057;20;Rozdział 75057;Placówki zagraniczne;19;0;26150;46804;2800;0;0;138;75892
20-750-76;20-750;c;75076;20;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;20;419;0;4079;0;0;0;0;4498
20-752;20;b;752;20;Dział 752;Obrona narodowa;21;73000;0;285;20;0;0;0;73305
20-752-12;20-752;c;75212;20;Rozdział 75212;Pozostałe wydatki obronne;22;0;0;285;20;0;0;0;305
20-752-15;20-752;c;75215;20;Rozdział 75215;Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej;23;73000;0;0;0;0;0;0;73000
20-754;20;b;754;20;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;24;0;0;29;0;0;0;0;29
20-754-17;20-754;c;75417;20;Rozdział 75417;Organizacja Traktatu Północnoatlantyckiego;25;0;0;29;0;0;0;0;29
20-900;20;b;900;20;Dział 900;Gospodarka komunalna i ochrona środowiska;26;0;0;0;0;0;0;6021;6021
20-900-11;20-900;c;90011;20;Rozdział 90011;Fundusz Ochrony Środowiska i Gospodarki Wodnej;27;0;0;0;0;0;0;6021;6021
21;;a;21;21;Część 21;GOSPODARKA  MORSKA;1;101508;4948;312863;349179;0;0;8577;777075
21-600;21;b;600;21;Dział 600;Transport i łączność;2;0;4789;269881;322839;0;0;3081;600590
21-600-43;21-600;c;60043;21;Rozdział 60043;Urzędy morskie;3;0;2299;228530;322729;0;0;3081;556639
21-600-44;21-600;c;60044;21;Rozdział 60044;Ratownictwo morskie;4;0;2490;26880;110;0;0;0;29480
21-600-95;21-600;c;60095;21;Rozdział 60095;Pozostała działalność;5;0;0;14471;0;0;0;0;14471
21-750;21;b;750;21;Dział 750;Administracja publiczna;6;0;5;12142;200;0;0;455;12802
21-750-01;21-750;c;75001;21;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;5;11251;200;0;0;455;11911
21-750-57;21-750;c;75057;21;Rozdział 75057;Placówki zagraniczne;8;0;0;731;0;0;0;0;731
21-750-76;21-750;c;75076;21;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;9;0;0;160;0;0;0;0;160
21-752;21;b;752;21;Dział 752;Obrona narodowa;10;0;0;393;50;0;0;0;443
21-752-12;21-752;c;75212;21;Rozdział 75212;Pozostałe wydatki obronne;11;0;0;393;50;0;0;0;443
21-755;21;b;755;21;Dział 755;Wymiar sprawiedliwości;12;0;42;1732;0;0;0;0;1774
21-755-04;21-755;c;75504;21;Rozdział 75504;Izby morskie;13;0;42;1732;0;0;0;0;1774
21-803;21;b;803;21;Dział 803;Szkolnictwo wyższe;14;101508;112;0;0;0;0;5041;106661
21-803-06;21-803;c;80306;21;Rozdział 80306;Działalność dydaktyczna;15;89378;44;0;0;0;0;5041;94463
21-803-09;21-803;c;80309;21;Rozdział 80309;Pomoc materialna dla studentów i doktorantów;16;12130;68;0;0;0;0;0;12198
21-900;21;b;900;21;Dział 900;Gospodarka komunalna i ochrona środowiska;17;0;0;28715;26090;0;0;0;54805
21-900-18;21-900;c;90018;21;Rozdział 90018;Ochrona brzegów morskich;18;0;0;28715;26090;0;0;0;54805
22;;a;22;22;Część 22;GOSPODARKA  WODNA;1;22550;1881;236111;820;0;0;68125;329487
22-710;22;b;710;22;Dział 710;Działalność usługowa;2;22550;1881;208150;820;0;0;68125;301526
22-710-16;22-710;c;71016;22;Rozdział 71016;Krajowy Zarząd Gospodarki Wodnej;3;1930;5;11283;100;0;0;0;13318
22-710-18;22-710;c;71018;22;Rozdział 71018;Regionalne zarządy gospodarki wodnej;4;0;1876;196867;720;0;0;68125;267588
22-710-19;22-710;c;71019;22;Rozdział 71019;Państwowa służba hydrologiczno-meteorologiczna;5;20620;0;0;0;0;0;0;20620
22-750;22;b;750;22;Dział 750;Administracja publiczna;6;0;0;25025;0;0;0;0;25025
22-750-01;22-750;c;75001;22;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;0;24794;0;0;0;0;24794
22-750-76;22-750;c;75076;22;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;8;0;0;231;0;0;0;0;231
22-752;22;b;752;22;Dział 752;Obrona narodowa;9;0;0;2936;0;0;0;0;2936
22-752-12;22-752;c;75212;22;Rozdział 75212;Pozostałe wydatki obronne;10;0;0;2936;0;0;0;0;2936
24;;a;24;24;Część 24;KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO;1;1323073;9363;815279;189385;0;0;133564;2470664
24-750;24;b;750;24;Dział 750;Administracja publiczna;2;9205;42;47931;3750;0;0;5944;66872
24-750-01;24-750;c;75001;24;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;3;0;42;45112;3750;0;0;5944;54848
24-750-76;24-750;c;75076;24;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;4;9205;0;2334;0;0;0;0;11539
24-750-95;24-750;c;75095;24;Rozdział 75095;Pozostała działalność;5;0;0;485;0;0;0;0;485
24-752;24;b;752;24;Dział 752;Obrona narodowa;6;0;0;92;0;0;0;0;92
24-752-12;24-752;c;75212;24;Rozdział 75212;Pozostałe wydatki obronne;7;0;0;92;0;0;0;0;92
24-754;24;b;754;24;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;8;0;0;40;0;0;0;0;40
24-754-14;24-754;c;75414;24;Rozdział 75414;Obrona cywilna;9;0;0;10;0;0;0;0;10
24-754-21;24-754;c;75421;24;Rozdział 75421;Zarządzanie kryzysowe;10;0;0;30;0;0;0;0;30
24-801;24;b;801;24;Dział 801;Oświata i wychowanie;11;19345;2385;624842;11740;0;0;9620;667932
24-801-32;24-801;c;80132;24;Rozdział 80132;Szkoły artystyczne;12;19345;1975;610105;11620;0;0;9620;652665
24-801-43;24-801;c;80143;24;Rozdział 80143;Jednostki pomocnicze szkolnictwa;13;0;5;5408;0;0;0;0;5413
24-801-46;24-801;c;80146;24;Rozdział 80146;Dokształcanie i doskonalenie nauczycieli;14;0;1;5711;120;0;0;0;5832
24-801-48;24-801;c;80148;24;Rozdział 80148;Stołówki szkolne i przedszkolne;15;0;4;817;0;0;0;0;821
24-801-95;24-801;c;80195;24;Rozdział 80195;Pozostała działalność;16;0;400;2801;0;0;0;0;3201
24-803;24;b;803;24;Dział 803;Szkolnictwo wyższe;17;431882;2620;200;12600;0;0;44658;491960
24-803-06;24-803;c;80306;24;Rozdział 80306;Działalność dydaktyczna;18;407027;220;0;12600;0;0;44658;464505
24-803-09;24-803;c;80309;24;Rozdział 80309;Pomoc materialna dla studentów i doktorantów;19;24855;2000;0;0;0;0;0;26855
24-803-95;24-803;c;80395;24;Rozdział 80395;Pozostała działalność;20;0;400;200;0;0;0;0;600
24-854;24;b;854;24;Dział 854;Edukacyjna opieka wychowawcza;21;0;103;26006;0;0;0;0;26109
24-854-10;24-854;c;85410;24;Rozdział 85410;Internaty i bursy szkolne;22;0;103;25932;0;0;0;0;26035
24-854-46;24-854;c;85446;24;Rozdział 85446;Dokształcanie i doskonalenie nauczycieli;23;0;0;74;0;0;0;0;74
24-921;24;b;921;24;Dział 921;Kultura i ochrona dziedzictwa narodowego;24;862641;4213;116168;161295;0;0;73342;1217659
24-921-01;24-921;c;92101;24;Rozdział 92101;Instytucje kinematografii;25;1000;0;0;650;0;0;0;1650
24-921-02;24-921;c;92102;24;Rozdział 92102;Polski Instytut Sztuki Filmowej;26;9781;0;0;0;0;0;0;9781
24-921-05;24-921;c;92105;24;Rozdział 92105;Pozostałe zadania w zakresie kultury;27;12500;4000;3844;0;0;0;3999;24343
24-921-06;24-921;c;92106;24;Rozdział 92106;Teatry;28;142454;0;0;1465;0;0;4210;148129
24-921-08;24-921;c;92108;24;Rozdział 92108;Filharmonie, orkiestry, chóry i kapele;29;50162;0;0;0;0;0;382;50544
24-921-09;24-921;c;92109;24;Rozdział 92109;Domy i ośrodki kultury, świetlice i kluby;30;2613;0;0;0;0;0;156;2769
24-921-10;24-921;c;92110;24;Rozdział 92110;Galerie i biura wystaw artystycznych;31;9259;0;0;1600;0;0;0;10859
24-921-13;24-921;c;92113;24;Rozdział 92113;Centra kultury i sztuki;32;128842;0;0;11210;0;0;1173;141225
24-921-14;24-921;c;92114;24;Rozdział 92114;Pozostałe instytucje kultury;33;75486;0;0;13300;0;0;3274;92060
24-921-16;24-921;c;92116;24;Rozdział 92116;Biblioteki;34;86491;0;0;13200;0;0;0;99691
24-921-17;24-921;c;92117;24;Rozdział 92117;Archiwa;35;0;105;96668;13550;0;0;421;110744
24-921-18;24-921;c;92118;24;Rozdział 92118;Muzea;36;260470;0;0;37420;0;0;35410;333300
24-921-19;24-921;c;92119;24;Rozdział 92119;Ośrodki ochrony i dokumentacji zabytków;37;20992;0;0;500;0;0;805;22297
24-921-20;24-921;c;92120;24;Rozdział 92120;Ochrona zabytków i opieka nad zabytkami;38;37000;100;168;0;0;0;19497;56765
24-921-22;24-921;c;92122;24;Rozdział 92122;Rada Ochrony Pamięci Walk i Męczeństwa;39;1000;8;15288;0;0;0;0;16296
24-921-95;24-921;c;92195;24;Rozdział 92195;Pozostała działalność;40;24591;0;200;68400;0;0;4015;97206
25;;a;25;25;Część 25;KULTURA FIZYCZNA;1;207454;21565;32148;749068;0;0;0;1010235
25-750;25;b;750;25;Dział 750;Administracja publiczna;2;0;5;24087;450;0;0;0;24542
25-750-01;25-750;c;75001;25;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;3;0;5;23531;450;0;0;0;23986
25-750-76;25-750;c;75076;25;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;4;0;0;556;0;0;0;0;556
25-752;25;b;752;25;Dział 752;Obrona narodowa;5;0;0;10;0;0;0;0;10
25-752-12;25-752;c;75212;25;Rozdział 75212;Pozostałe wydatki obronne;6;0;0;10;0;0;0;0;10
25-926;25;b;926;25;Dział 926;Kultura fizyczna;7;207454;21560;8051;748618;0;0;0;985683
25-926-01;25-926;c;92601;25;Rozdział 92601;Obiekty sportowe;8;0;0;0;250000;0;0;0;250000
25-926-03;25-926;c;92603;25;Rozdział 92603;Komisja do Zwalczania Dopingu w Sporcie;9;0;0;1325;10;0;0;0;1335
25-926-04;25-926;c;92604;25;Rozdział 92604;Instytucje kultury fizycznej;10;20270;0;0;2831;0;0;0;23101
25-926-05;25-926;c;92605;25;Rozdział 92605;Zadania w zakresie kultury fizycznej;11;183704;0;0;0;0;0;0;183704
25-926-95;25-926;c;92695;25;Rozdział 92695;Pozostała działalność;12;3480;21560;6726;495777;0;0;0;527543
26;;a;26;26;Część 26;ŁĄCZNOŚĆ;1;1900;5;16983;0;0;0;34;18922
26-600;26;b;600;26;Dział 600;Transport i łączność;2;1900;0;207;0;0;0;5;2112
26-600-46;26-600;c;60046;26;Rozdział 60046;Operatorzy pocztowi;3;1900;0;0;0;0;0;0;1900
26-600-52;26-600;c;60052;26;Rozdział 60052;Zadania w zakresie telekomunikacji;4;0;0;207;0;0;0;5;212
26-750;26;b;750;26;Dział 750;Administracja publiczna;5;0;5;15611;0;0;0;29;15645
26-750-01;26-750;c;75001;26;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;6;0;5;15266;0;0;0;29;15300
26-750-76;26-750;c;75076;26;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;7;0;0;345;0;0;0;0;345
26-752;26;b;752;26;Dział 752;Obrona narodowa;8;0;0;1165;0;0;0;0;1165
26-752-12;26-752;c;75212;26;Rozdział 75212;Pozostałe wydatki obronne;9;0;0;1165;0;0;0;0;1165
27;;a;27;27;Część 27;INFORMATYZACJA;1;0;62;35853;390;0;0;46073;82378
27-150;27;b;150;27;Dział 150;Przetwórstwo przemysłowe;2;0;0;0;0;0;0;31336;31336
27-150-12;27-150;c;15012;27;Rozdział 15012;Polska Agencja Rozwoju Przedsiębiorczości;3;0;0;0;0;0;0;31336;31336
27-720;27;b;720;27;Dział 720;Informatyka;4;0;30;1557;0;0;0;1493;3080
27-720-95;27-720;c;72095;27;Rozdział 72095;Pozostała działalność;5;0;30;1557;0;0;0;1493;3080
27-750;27;b;750;27;Dział 750;Administracja publiczna;6;0;32;34296;390;0;0;13244;47962
27-750-01;27-750;c;75001;27;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;27;5995;240;0;0;6238;12500
27-750-76;27-750;c;75076;27;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;8;0;0;25220;0;0;0;0;25220
27-750-95;27-750;c;75095;27;Rozdział 75095;Pozostała działalność;9;0;5;3081;150;0;0;7006;10242
28;;a;28;28;Część 28;NAUKA;1;2888498;3762;1203064;254248;0;0;271341;4620913
28-730;28;b;730;28;Dział 730;Nauka;2;2880248;3692;1004778;240588;0;0;257418;4386724
28-730-01;28-730;c;73001;28;Rozdział 73001;Projekty badawcze i celowe w dziedzinie nauk przyrodniczych;3;0;0;251536;0;0;0;21907;273443
28-730-02;28-730;c;73002;28;Rozdział 73002;Projekty badawcze i celowe w dziedzinie nauk technicznych;4;19000;0;440111;0;0;0;32488;491599
28-730-03;28-730;c;73003;28;Rozdział 73003;Projekty badawcze i celowe w dziedzinie nauk społecznych, humanistycznych  i ścisłych;5;0;0;136441;0;0;0;1803;138244
28-730-05;28-730;c;73005;28;Rozdział 73005;Działalność statutowa i inwestycyjna jednostek naukowych oraz badania własne szkół wyższych;6;1932128;3000;2000;235000;0;0;66000;2238128
28-730-06;28-730;c;73006;28;Rozdział 73006;Działalność wspomagająca badania;7;1000;192;62808;0;0;0;0;64000
28-730-07;28-730;c;73007;28;Rozdział 73007;Współpraca naukowa i naukowo-techniczna z zagranicą;8;1143;0;108168;0;0;0;85603;194914
28-730-08;28-730;c;73008;28;Rozdział 73008;Narodowe Centrum Badań i Rozwoju;9;627012;0;0;588;0;0;0;627600
28-730-09;28-730;c;73009;28;Rozdział 73009;Narodowe Centrum Nauki;10;299965;0;0;5000;0;0;0;304965
28-730-95;28-730;c;73095;28;Rozdział 73095;Pozostała działalność;11;0;500;3714;0;0;0;49617;53831
28-750;28;b;750;28;Dział 750;Administracja publiczna;12;0;70;43466;1230;0;0;13923;58689
28-750-01;28-750;c;75001;28;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;13;0;70;40201;1230;0;0;13923;55424
28-750-76;28-750;c;75076;28;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;14;0;0;3265;0;0;0;0;3265
28-752;28;b;752;28;Dział 752;Obrona narodowa;15;0;0;154820;0;0;0;0;154820
28-752-12;28-752;c;75212;28;Rozdział 75212;Pozostałe wydatki obronne;16;0;0;20;0;0;0;0;20
28-752-21;28-752;c;75221;28;Rozdział 75221;Projekty badawcze i celowe w dziedzinie obronności;17;0;0;154800;0;0;0;0;154800
28-921;28;b;921;28;Dział 921;Kultura i ochrona dziedzictwa narodowego;18;8250;0;0;12430;0;0;0;20680
28-921-14;28-921;c;92114;28;Rozdział 92114;Pozostałe instytucje kultury;19;8250;0;0;12430;0;0;0;20680
29;;a;29;29;Część 29;OBRONA NARODOWA;1;903582;6633985;13085339;6636708;0;0;0;27259614
29-700;29;b;700;29;Dział 700;Gospodarka mieszkaniowa;2;572135;0;0;0;0;0;0;572135
29-700-13;29-700;c;70013;29;Rozdział 70013;Wojskowa Agencja Mieszkaniowa;3;572135;0;0;0;0;0;0;572135
29-710;29;b;710;29;Dział 710;Działalność usługowa;4;1491;0;0;0;0;0;0;1491
29-710-32;29-710;c;71032;29;Rozdział 71032;Agencja Mienia Wojskowego;5;1491;0;0;0;0;0;0;1491
29-750;29;b;750;29;Dział 750;Administracja publiczna;6;0;15078;223272;10601;0;0;0;248951
29-750-01;29-750;c;75001;29;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;7;0;406;194592;9436;0;0;0;204434
29-750-57;29-750;c;75057;29;Rozdział 75057;Placówki zagraniczne;8;0;14672;28090;1165;0;0;0;43927
29-750-76;29-750;c;75076;29;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii;9;0;0;590;0;0;0;0;590
29-752;29;b;752;29;Dział 752;Obrona narodowa;10;174175;907860;12340807;6464278;0;0;0;19887120
29-752-01;29-752;c;75201;29;Rozdział 75201;Wojska Lądowe;11;0;196360;2674097;0;0;0;0;2870457
29-752-02;29-752;c;75202;29;Rozdział 75202;Siły powietrzne;12;0;78731;1281826;0;0;0;0;1360557
29-752-03;29-752;c;75203;29;Rozdział 75203;Marynarka Wojenna;13;0;37202;568258;0;0;0;0;605460
29-752-04;29-752;c;75204;29;Rozdział 75204;Centralne wsparcie;14;0;13899;2234970;5849348;0;0;0;8098217
29-752-07;29-752;c;75207;29;Rozdział 75207;Żandarmeria Wojskowa;15;0;15534;212770;0;0;0;0;228304
29-752-08;29-752;c;75208;29;Rozdział 75208;Ordynariat Polowy Wojska Polskiego Polskiego ;16;0;332;20198;0;0;0;0;20530
29-752-09;29-752;c;75209;29;Rozdział 75209;Prawosławny Ordynariat Wojska;17;0;47;2635;0;0;0;0;2682
29-752-10;29-752;c;75210;29;Rozdział 75210;Ewangelickie Duszpasterstwo  Wojskowe;18;0;37;1618;0;0;0;0;1655
29-752-13;29-752;c;75213;29;Rozdział 75213;Dowodzenie i kierowanie Siłami Zbrojnymi Rzeczypospolitej  Polskiej;19;0;10895;403613;0;0;0;0;414508
29-752-15;29-752;c;75215;29;Rozdział 75215;Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej;20;23000;0;0;0;0;0;0;23000
29-752-16;29-752;c;75216;29;Rozdział 75216;Wojskowe Misje Pokojowe;21;0;393635;254360;576440;0;0;0;1224435
29-752-17;29-752;c;75217;29;Rozdział 75217;Służba Wywiadu Wojskowego;22;0;2748;84975;18537;0;0;0;106260
29-752-18;29-752;c;75218;29;Rozdział 75218;Służba Kontrwywiadu Wojskowego;23;0;4910;132640;19953;0;0;0;157503
29-752-19;29-752;c;75219;29;Rozdział 75219;Wojska Specjalne;24;0;11278;231170;0;0;0;0;242448
29-752-20;29-752;c;75220;29;Rozdział 75220;Zabezpieczenie  wojsk;25;0;49684;3715600;0;0;0;0;3765284
29-752-95;29-752;c;75295;29;Rozdział 75295;Pozostała działalność;26;151175;92568;522077;0;0;0;0;765820
29-753;29;b;753;29;Dział 753;Obowiązkowe ubezpieczenia społeczne;27;0;5705936;307545;5735;0;0;0;6019216
29-753-01;29-753;c;75301;29;Rozdział 75301;Świadczenia pieniężne z zaopatrzenia emerytalnego ;28;0;5705617;307545;5735;0;0;0;6018897
29-753-02;29-753;c;75302;29;Rozdział 75302;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne;29;0;319;0;0;0;0;0;319
29-755;29;b;755;29;Dział 755;Wymiar sprawiedliwości;30;0;1327;56401;1837;0;0;0;59565
29-755-03;29-755;c;75503;29;Rozdział 75503;Sądy wojskowe;31;0;620;18852;817;0;0;0;20289
29-755-06;29-755;c;75506;29;Rozdział 75506;Wojskowe jednostki organizacyjne prokuratury;32;0;707;37549;1020;0;0;0;39276
29-803;29;b;803;29;Dział 803;Szkolnictwo wyższe;33;129534;70;0;26073;0;0;0;155677
29-803-02;29-803;c;80302;29;Rozdział 80302;Uczelnie wojskowe;34;129534;70;0;26073;0;0;0;155677
29-851;29;b;851;29;Dział 851;Ochrona zdrowia;35;2549;3714;157314;96494;0;0;0;260071
29-851-56;29-851;c;85156;29;Rozdział 85156;Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego;36;0;0;2113;0;0;0;0;2113
29-851-57;29-851;c;85157;29;Rozdział 85157;Staże i specjalizacje medyczne;37;0;0;282;0;0;0;0;282
29-851-95;29-851;c;85195;29;Rozdział 85195;Pozostała działalność;38;2549;3714;154919;96494;0;0;0;257676
29-921;29;b;921;29;Dział 921;Kultura i ochrona dziedzictwa narodowego;39;23698;0;0;31690;0;0;0;55388
29-921-14;29-921;c;92114;29;Rozdział 92114;Pozostałe instytucje kultury;40;7173;0;0;0;0;0;0;7173
29-921-18;29-921;c;92118;29;Rozdział 92118;Muzea;41;16525;0;0;31690;0;0;0;48215
30;;a;30;30;Część 30;OŚWIATA I WYCHOWANIE;1;32385;11568;310719;5917;0;0;48993;409582
30-150;30;b;150;30;Dział 150;Przetwórstwo przemysłowe;2;1000;0;0;0;0;0;0;1000
30-150-02;30-150;c;15002;30;Rozdział 15002;Wydawanie podręczników szkolnych i akademickich;3;1000;0;0;0;0;0;0;1000
30-750;30;b;750;30;Dział 750;Administracja publiczna;4;0;59;39270;2950;0;0;9435;51714
30-750-01;30-750;c;75001;30;Rozdział 75001;Urzędy naczelnych i centralnych organów administracji rządowej;5;0;59;37785;2950;0;0;9435;50229
30-750-76;30-750;c;75076;30;Rozdział 75076;Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej;6;0;0;1485;0;0;0;0;1485
30-752;30;b;752;30;Dział 752;Obrona narodowa;7;0;0;14;0;0;0;0;14
30-752-12;30-752;c;75212;30;Rozdział 75212;Pozostałe wydatki obronne;8;0;0;14;0;0;0;0;14
30-754;30;b;754;30;Dział 754;Bezpieczeństwo  publiczne i ochrona przeciwpożarowa;9;0;0;15;0;0;0;0;15
30-754-21;30-754;c;75421;30;Rozdział 75421;Zarządzanie kryzysowe;10;0;0;15;0;0;0;0;15
30-801;30;b;801;30;Dział 801;Oświata i wychowanie;11;21335;10549;271300;2967;0;0;39558;345709
30-801-35;30-801;c;80135;30;Rozdział 80135;Szkolnictwo polskie za granicą ;12;0;5308;30899;300;0;0;0;36507
30-801-43;30-801;c;80143;30;Rozdział 80143;Jednostki pomocnicze szkolnictwa;13;0;27;5274;374;0;0;1539;7214
30-801-45;30-801;c;80145;30;Rozdział 80145;Komisje egzaminacyjne;14;0;65;186172;1698;0;0;7083;195018
30-801-46;30-801;c;80146;30;Rozdział 80146;Dokształcanie i doskonalenie nauczycieli;15;0;98;26451;595;0;0;6345;33489
30-801-95;30-801;c;80195;30;Rozdział 80195;Pozostała działalność;16;21335;5051;22504;0;0;0;24591;73481
