ID;Rodzic;Poziom;Numer;Część;Typ;Treść;Pozycja;Dotacje i subwencje;Świadczenia na rzecz osób fizycznych;Wydatki bieżące jednostek budżetowych;Wydatki majątkowe;Wydatki na obsługę długu Skarbu Państwa;Środki własne Unii Europejskiej;Współfinansowanie projektów z udziałem środków Unii Europejskiej;OGÓŁEM
11-751;11;b;751;11;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;6354;77;38911;490;0;0;0;45832
11-751-01;11-751;c;75101;11;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;6354;77;38911;490;0;0;0;45832
12;;a;12;12;Część 12;PAŃSTWOWA INSPEKCJA PRACY;1;0;1289;263815;9350;0;0;25;274479
12-751;12;b;751;12;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;0;1289;263815;9350;0;0;25;274479
12-751-01;12-751;c;75101;12;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;0;931;260633;9350;0;0;25;270939
12-751-95;12-751;c;75195;12;Rozdział 75195;Pozostała działalność;4;0;358;3182;0;0;0;0;3540
13;;a;13;13;Część 13;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;1;1870;3532;205442;12419;0;0;0;223263
13-751;13;b;751;13;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;1870;1437;205442;12419;0;0;0;221168
13-751-01;13-751;c;75101;13;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;1870;783;84393;11937;0;0;0;98983
13-751-12;13-751;c;75112;13;Rozdział 75112;Jednostki podległe Instytutowi Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu;4;0;654;121049;482;0;0;0;122185
13-753;13;b;753;13;Dział 753;Obowiązkowe ubezpieczenia społeczne;5;0;2095;0;0;0;0;0;2095
13-753-02;13-753;c;75302;13;Rozdział 75302;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne;6;0;2095;0;0;0;0;0;2095
14;;a;14;14;Część 14;RZECZNIK PRAW DZIECKA;1;3;8337;200;0;0;0;0;8540
14-751;14;b;751;14;Dział 751;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;3;8337;200;0;0;0;0;8540
14-751-01;14-751;c;75101;14;Rozdział 75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;3;3;8337;200;0;0;0;0;8540
15;;a;15;15;Część 15;SĄDY POWSZECHNE;1;0;401437;5171604;356785;0;0;0;5929826
15-01;15;b;15/01;15;Część 15/01;Ministerstwo Sprawiedliwości;1;0;6922;94694;91500;0;0;0;193116
15-01-753;15-01;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;6922;0;0;0;0;0;6922
15-01-753-12;15-01-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;6922;0;0;0;0;0;6922
15-01-755;15-01;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;0;92296;91500;0;0;0;183796
15-01-755-02;15-01-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;0;92296;91500;0;0;0;183796
15-01-801;15-01;c;801;15;Dział 801;Oświata i wychowanie;6;0;0;2398;0;0;0;0;2398
15-01-801-44;15-01-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;7;0;0;2398;0;0;0;0;2398
15-02;15;b;15/02;15;Część 15/02;Sąd Apelacyjny w Warszawie;1;0;36102;520463;71309;0;0;0;627874
15-02-753;15-02;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;20691;0;0;0;0;0;20691
15-02-753-12;15-02-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;20691;0;0;0;0;0;20691
15-02-755;15-02;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;15408;517695;71309;0;0;0;604412
15-02-755-02;15-02-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;15408;509554;71309;0;0;0;596271
15-02-755-95;15-02-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;8141;0;0;0;0;8141
15-02-801;15-02;c;801;15;Dział 801;Oświata i wychowanie;7;0;3;2768;0;0;0;0;2771
15-02-801-44;15-02-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;3;2768;0;0;0;0;2771
15-03;15;b;15/03;15;Część 15/03;Sąd Apelacyjny w Katowicach;1;0;46948;614095;22109;0;0;0;683152
15-03-753;15-03;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;19655;0;0;0;0;0;19655
15-03-753-12;15-03-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;19655;0;0;0;0;0;19655
15-03-755;15-03;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;27285;608976;22109;0;0;0;658370
15-03-755-02;15-03-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;27285;602669;22109;0;0;0;652063
15-03-755-95;15-03-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;6307;0;0;0;0;6307
15-03-801;15-03;c;801;15;Dział 801;Oświata i wychowanie;7;0;8;5119;0;0;0;0;5127
15-03-801-44;15-03-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;8;5119;0;0;0;0;5127
15-04;15;b;15/04;15;Część 15/04;Sąd Apelacyjny w Gdańsku;1;0;54163;640378;14020;0;0;0;708561
15-04-753;15-04;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;22743;0;0;0;0;0;22743
15-04-753-12;15-04-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;22743;0;0;0;0;0;22743
15-04-755;15-04;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;31409;634957;14020;0;0;0;680386
15-04-755-02;15-04-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;31409;623411;14020;0;0;0;668840
15-04-755-95;15-04-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;11546;0;0;0;0;11546
15-04-801;15-04;c;801;15;Dział 801;Oświata i wychowanie;7;0;11;5421;0;0;0;0;5432
15-04-801-44;15-04-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;11;5421;0;0;0;0;5432
15-05;15;b;15/05;15;Część 15/05;Sąd Apelacyjny w Poznaniu;1;0;31450;441585;35557;0;0;0;508592
15-05-753;15-05;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;16742;0;0;0;0;0;16742
15-05-753-12;15-05-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;16742;0;0;0;0;0;16742
15-05-755;15-05;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;14700;437208;35557;0;0;0;487465
15-05-755-02;15-05-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;14700;429280;35557;0;0;0;479537
15-05-755-95;15-05-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;7928;0;0;0;0;7928
15-05-801;15-05;c;801;15;Dział 801;Oświata i wychowanie;7;0;8;4377;0;0;0;0;4385
15-05-801-44;15-05-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;8;4377;0;0;0;0;4385
15-06;15;b;15/06;15;Część 15/06;Sąd Apelacyjny w Krakowie;1;0;39966;547470;23174;0;0;0;610610
15-06-753;15-06;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;18776;0;0;0;0;0;18776
15-06-753-12;15-06-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;18776;0;0;0;0;0;18776
15-06-755;15-06;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;21185;543587;23174;0;0;0;587946
15-06-755-02;15-06-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;21185;538120;23174;0;0;0;582479
15-06-755-95;15-06-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;5467;0;0;0;0;5467
15-06-801;15-06;c;801;15;Dział 801;Oświata i wychowanie;7;0;5;3883;0;0;0;0;3888
15-06-801-44;15-06-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;5;3883;0;0;0;0;3888
15-07;15;b;15/07;15;Część 15/07;Sąd Apelacyjny we Wrocławiu;1;0;43484;547769;21713;0;0;0;612966
15-07-753;15-07;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;21115;0;0;0;0;0;21115
15-07-753-12;15-07-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;21115;0;0;0;0;0;21115
15-07-755;15-07;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;22351;542823;21713;0;0;0;586887
15-07-755-02;15-07-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;22351;535223;21713;0;0;0;579287
15-07-755-95;15-07-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;7600;0;0;0;0;7600
15-07-801;15-07;c;801;15;Dział 801;Oświata i wychowanie;7;0;18;4946;0;0;0;0;4964
15-07-801-44;15-07-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;18;4946;0;0;0;0;4964
15-08;15;b;15/08;15;Część 15/08;Sąd Apelacyjny w Łodzi;1;0;39758;483517;18641;0;0;0;541916
15-08-753;15-08;c;753;15;Dział 753;Obowiązkowe ubezpieczenia społeczne;2;0;17859;0;0;0;0;0;17859
15-08-753-12;15-08-753;d;75312;15;Rozdział 75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;3;0;17859;0;0;0;0;0;17859
15-08-755;15-08;c;755;15;Dział 755;Wymiar sprawiedliwości;4;0;21888;478818;18641;0;0;0;519347
15-08-755-02;15-08-755;d;75502;15;Rozdział 75502;Jednostki sądownictwa powszechnego;5;0;21888;473221;18641;0;0;0;513750
15-08-755-95;15-08-755;d;75595;15;Rozdział 75595;Pozostała działalność;6;0;0;5597;0;0;0;0;5597
15-08-801;15-08;c;801;15;Dział 801;Oświata i wychowanie;7;0;11;4699;0;0;0;0;4710
15-08-801-44;15-08-801;d;80144;15;Rozdział 80144;Inne formy kształcenia osobno niewymienione;8;0;11;4699;0;0;0;0;4710
