ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0013-0004-0003;0013-0004;c;Podzadanie 13.4.3;Honorowanie kombatantów i ofiar represji oraz utrwalanie pamięci o nich;;;0
0013-0004-0003-0001;0013-0004-0003;d;Dysponent;Urząd ds. Kombatantów i Osób Represjonowanych;54;;0
0013-0004-0003-0002;0013-0004-0003;d;Dysponent;Wojewodowie;85;;0
0013-0005;0013;b;Zadanie 13.5;Wspieranie rodziny;;;0
0013-0005-0001;0013-0005;c;Podzadanie 13.5.1;Wsparcie rodzin wychowujących dzieci;;;0
0013-0005-0001-0001;0013-0005-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0013-0005-0001-0002;0013-0005-0001;d;Dysponent;Wojewodowie;85;;0
0013-0005-0002;0013-0005;c;Podzadanie 13.5.2;Piecza zastępcza nad dzieckiem;;;0
0013-0005-0002-0001;0013-0005-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0013-0005-0002-0002;0013-0005-0002;d;Dysponent;Wojewodowie;85;;0
0013-0006;0013;b;Zadanie 13.6;Działalność pożytku publicznego;;;8958
0013-0006-0001;0013-0006;c;Podzadanie 13.6.1;Tworzenie warunków dla rozwoju podmiotów prowadzących działalność pożytku publicznego, współpracy tych podmiotów z organami administracji publicznej oraz dialogu obywatelskiego;;;4670
0013-0006-0001-0001;0013-0006-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0013-0006-0001-0002;0013-0006-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;4670
0013-0006-0002;0013-0006;c;Podzadanie 13.6.2;Wspieranie społeczeństwa obywatelskiego oraz gospodarki społecznej;;;4288
0013-0006-0002-0001;0013-0006-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;4288
0013-0006-0002-0002;0013-0006-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0013-0006-0003;0013-0006;c;Podzadanie 13.6.3;Nadzór nad fundacjami i stowarzyszeniami oraz organizacjami pożytku publicznego;;;0
0013-0006-0003-0001;0013-0006-0003;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0014;;a;FUNKCJA 14;RYNEK PRACY;;;452129
0014-0001;0014;b;Zadanie 14.1;Wspieranie zatrudnienia i przeciwdziałanie bezrobociu;;;410453
0014-0001-0001;0014-0001;c;Podzadanie 14.1.1;Kształtowanie i realizacja rozwiązań na rzecz rynku pracy w zakresie promocji zatrudnienia i instytucji rynku pracy;;;387503
0014-0001-0001-0001;0014-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0014-0001-0001-0002;0014-0001-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;387503
0014-0001-0001-0003;0014-0001-0001;d;Dysponent;Wojewodowie;85;;0
0014-0001-0002;0014-0001;c;Podzadanie 14.1.2;Zatrudnienie oraz przeciwdziałanie marginalizacji i wykluczeniu społecznemu młodzieży;;;22950
0014-0001-0002-0001;0014-0001-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;22950
0014-0002;0014;b;Zadanie 14.2;Budowa nowoczesnych stosunków pracy;;;0
0014-0002-0001;0014-0002;c;Podzadanie 14.2.1;Elastyczność i bezpieczeństwo w zatrudnieniu;;;0
0014-0002-0001-0001;0014-0002-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0014-0002-0002;0014-0002;c;Podzadanie 14.2.2;Nadzór i kontrola;;;0
0014-0002-0002-0001;0014-0002-0002;d;Dysponent;Państwowa Inspekcja Pracy;12;;0
0014-0002-0002-0002;0014-0002-0002;d;Dysponent;Wojewodowie;85;;0
0014-0002-0003;0014-0002;c;Podzadanie 14.2.3;Bezpieczeństwo i higiena pracy;;;0
0014-0002-0003-0001;0014-0002-0003;d;Dysponent;Państwowa Inspekcja Pracy;12;;0
0014-0002-0003-0002;0014-0002-0003;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0014-0003;0014;b;Zadanie 14.3;Aktywizacja zawodowa osób niepełnosprawnych;;;38322
0014-0003-0001;0014-0003;c;Podzadanie 14.3.1;Wspomaganie aktywizacji zawodowej osób niepełnosprawnych;;;38322
0014-0003-0001-0001;0014-0003-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;38322
0014-0003-0001-0002;0014-0003-0001;d;Dysponent;Wojewodowie;85;;0
0014-0004;0014;b;Zadanie 14.4;Wspieranie rozwoju i organizowanie dialogu i partnerstwa społecznego;;;3354
0014-0004-0001;0014-0004;c;Podzadanie 14.4.1;Analiza i promocja informacji w zakresie dialogu społecznego;;;0
0014-0004-0001-0001;0014-0004-0001;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0014-0004-0002;0014-0004;c;Podzadanie 14.4.2;Koordynacja współpracy z partnerami społecznymi i wzmocnienie instytucji dialogu społecznego;;;3354
0014-0004-0002-0001;0014-0004-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;3354
0014-0004-0002-0002;0014-0004-0002;d;Dysponent;Wojewodowie;85;;0
0015;;a;FUNKCJA 15;POLITYKA ZAGRANICZNA;;;0
0015-0001;0015;b;Zadanie 15.1;Zapewnianie Polsce sprzyjających warunków rozwoju;;;0
0015-0001-0001;0015-0001;c;Podzadanie 15.1.1;Rozwijanie stosunków dwustronnych i wielostronnych;;;0
0015-0001-0001-0001;0015-0001-0001;d;Dysponent;Ministerstwo Środowiska;22;;0
0015-0001-0001-0002;0015-0001-0001;d;Dysponent;Ministerstwo Środowiska;41;;0
0015-0001-0001-0003;0015-0001-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0001-0002;0015-0001;c;Podzadanie 15.1.2;Udział Polski we współpracy na forum organizacji międzynarodowych;;;0
0015-0001-0002-0001;0015-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;18;;0
0015-0001-0002-0002;0015-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0015-0001-0002-0003;0015-0001-0002;d;Dysponent;Ministerstwo Środowiska;22;;0
0015-0001-0002-0004;0015-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;26;;0
0015-0001-0002-0005;0015-0001-0002;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0015-0001-0002-0006;0015-0001-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0015-0001-0002-0007;0015-0001-0002;d;Dysponent;Ministerstwo Środowiska;41;;0
0015-0001-0002-0008;0015-0001-0002;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0001-0002-0009;0015-0001-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0015-0002;0015;b;Zadanie 15.2;Zapewnianie bezpieczeństwa państwa;;;0
0015-0002-0001;0015-0002;c;Podzadanie 15.2.1;Umacnianie bezpieczeństwa politycznego i wojskowego oraz pokoju;;;0
0015-0002-0001-0001;0015-0002-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0002-0002;0015-0002;c;Podzadanie 15.2.2;Umacnianie bezpieczeństwa ekonomicznego, energetycznego i ekologicznego;;;0
0015-0002-0002-0001;0015-0002-0002;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0002-0003;0015-0002;c;Podzadanie 15.2.3;Pozostałe wymiary bezpieczeństwa;;;0
0015-0002-0003-0001;0015-0002-0003;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0003;0015;b;Zadanie 15.3;Reprezentowanie i ochrona międzynarodowych interesów RP i jej obywateli za granicą;;;0
0015-0003-0001;0015-0003;c;Podzadanie 15.3.1;Zapewnianie opieki i obsługi konsularnej;;;0
0015-0003-0001-0001;0015-0003-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0015-0003-0002;0015-0003;c;Podzadanie 15.3.2;Reprezentowanie i ochrona interesów RP przed międzynarodowymi organami sądowymi;;;0
0015-0003-0002-0001;0015-0003-0002;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
