ID;Rodzic;Poziom;Typ;Nazwa;Część;Część w budźecie księgowym;Środki europejskie
0016-0005-0001-0002;0016-0005-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;1335
0016-0005-0001-0003;0016-0005-0001;d;Dysponent;Wojewodowie;85;;0
0016-0006;0016;b;Zadanie 16.6;Ochrona Praw Obywatelskich, Praw Dziecka i Praw Pacjenta;;;0
0016-0006-0001;0016-0006;c;Podzadanie 16.6.1;Ochrona wolności oraz praw człowieka i obywatela;;;0
0016-0006-0001-0001;0016-0006-0001;d;Dysponent;Rzecznik Praw Obywatelskich;08;;0
0016-0006-0002;0016-0006;c;Podzadanie 16.6.2;Ochrona i promocja praw Dziecka;;;0
0016-0006-0002-0001;0016-0006-0002;d;Dysponent;Rzecznik Praw Dziecka;14;;0
0016-0006-0003;0016-0006;c;Podzadanie 16.6.3;Ochrona praw pacjenta;;;0
0016-0006-0003-0001;0016-0006-0003;d;Dysponent;Rzecznik Praw Pacjenta;66;;0
0016-0006-0005;0016-0006;c;Podzadanie 16.6.5;Ochrona danych osobowych;;;0
0016-0006-0005-0001;0016-0006-0005;d;Dysponent;Generalny Inspektor Ochrony Danych Osobowych;10;;0
0016-0007;0016;b;Zadanie 16.7;Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jednostek samorządu terytorialnego;;;0
0016-0007-0001;0016-0007;c;Podzadanie 16.7.1;Rozpatrywanie odwołań, zażaleń, żądań wznowienia postępowania, żądań stwierdzenia nieważności decyzji oraz wszczynanie z urzędu postępowań w trybach nadzwyczajnych;;;0
0016-0007-0001-0001;0016-0007-0001;d;Dysponent;Wojewodowie;85;;0
0016-0007-0001-0002;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Zamościu;86/95;;0
0016-0007-0001-0003;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Zielonej Górze;86/97;;0
0016-0007-0001-0004;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Koszalinie;86/33;;0
0016-0007-0001-0005;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Białymstoku;86/05;;0
0016-0007-0001-0006;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Łomży;86/45;;0
0016-0007-0001-0007;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Ostrołęce;86/55;;0
0016-0007-0001-0008;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Poznaniu;86/63;;0
0016-0007-0001-0009;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Przemyślu;86/65;;0
0016-0007-0001-0010;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Radomiu;86/67;;0
0016-0007-0001-0011;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnobrzegu;86/83;;0
0016-0007-0001-0012;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze we Włocławku;86/91;;0
0016-0007-0001-0013;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Bydgoszczy;86/09;;0
0016-0007-0001-0014;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Elblągu;86/17;;0
0016-0007-0001-0015;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Gorzowie Wielkopolskim;86/21;;0
0016-0007-0001-0016;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Katowicach;86/27;;0
0016-0007-0001-0017;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Kielcach;86/29;;0
0016-0007-0001-0018;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Lublinie;86/43;;0
0016-0007-0001-0019;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Rzeszowie;86/69;;0
0016-0007-0001-0020;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnowie;86/85;;0
0016-0007-0001-0021;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze we Wrocławiu;86/93;;0
0016-0007-0001-0022;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Częstochowie;86/15;;0
0016-0007-0001-0023;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Jeleniej Górze;86/23;;0
0016-0007-0001-0024;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Krośnie;86/37;;0
0016-0007-0001-0025;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Legnicy;86/39;;0
0016-0007-0001-0026;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Płocku;86/61;;0
0016-0007-0001-0027;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Chełmie;86/11;;0
0016-0007-0001-0028;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Kaliszu;86/25;;0
0016-0007-0001-0029;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Opolu;86/53;;0
0016-0007-0001-0030;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Piotrkowie Trybunalskim;86/59;;0
0016-0007-0001-0031;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Siedlcach;86/71;;0
0016-0007-0001-0032;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Sieradzu;86/73;;0
0016-0007-0001-0033;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Skierniewicach;86/75;;0
0016-0007-0001-0034;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Słupsku;86/77;;0
0016-0007-0001-0035;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Szczecinie;86/81;;0
0016-0007-0001-0036;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Nowym Sączu;86/49;;0
0016-0007-0001-0037;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Łodzi;86/47;;0
0016-0007-0001-0038;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Warszawie;86/01;;0
0016-0007-0001-0039;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Ciechanowie;86/13;;0
0016-0007-0001-0040;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Białej Podlaskiej;86/03;;0
0016-0007-0001-0041;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Bielsku-Białej;86/07;;0
0016-0007-0001-0042;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Gdańsku;86/19;;0
0016-0007-0001-0043;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Suwałkach;86/79;;0
0016-0007-0001-0044;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Toruniu;86/87;;0
0016-0007-0001-0045;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Wałbrzychu;86/89;;0
0016-0007-0001-0046;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Lesznie;86/41;;0
0016-0007-0001-0047;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Pile;86/57;;0
0016-0007-0001-0048;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Koninie;86/31;;0
0016-0007-0001-0049;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Krakowie;86/35;;0
0016-0007-0001-0050;0016-0007-0001;d;Dysponent;Samorządowe Kolegium Odwoławcze w Olsztynie;86/51;;0
0016-0007-0002;0016-0007;c;Podzadanie 16.7.2;Rozpatrywanie sporów cywilno-prawnych dotyczących aktualizacji opłat rocznych za użytkowanie wieczyste nieruchomości gruntowych;;;0
0016-0007-0002-0001;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Zamościu;86/95;;0
0016-0007-0002-0002;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Zielonej Górze;86/97;;0
0016-0007-0002-0003;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Koszalinie;86/33;;0
0016-0007-0002-0004;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Białymstoku;86/05;;0
0016-0007-0002-0005;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Łomży;86/45;;0
0016-0007-0002-0006;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Ostrołęce;86/55;;0
0016-0007-0002-0007;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Poznaniu;86/63;;0
0016-0007-0002-0008;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Przemyślu;86/65;;0
0016-0007-0002-0009;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Radomiu;86/67;;0
0016-0007-0002-0010;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnobrzegu;86/83;;0
0016-0007-0002-0011;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze we Włocławku;86/91;;0
0016-0007-0002-0012;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Bydgoszczy;86/09;;0
0016-0007-0002-0013;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Elblągu;86/17;;0
0016-0007-0002-0014;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Gorzowie Wielkopolskim;86/21;;0
0016-0007-0002-0015;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Katowicach;86/27;;0
0016-0007-0002-0016;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Kielcach;86/29;;0
0016-0007-0002-0017;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Lublinie;86/43;;0
0016-0007-0002-0018;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Rzeszowie;86/69;;0
0016-0007-0002-0019;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Tarnowie;86/85;;0
0016-0007-0002-0020;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze we Wrocławiu;86/93;;0
0016-0007-0002-0021;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Częstochowie;86/15;;0
0016-0007-0002-0022;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Jeleniej Górze;86/23;;0
0016-0007-0002-0023;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Krośnie;86/37;;0
0016-0007-0002-0024;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Legnicy;86/39;;0
0016-0007-0002-0025;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Płocku;86/61;;0
0016-0007-0002-0026;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Chełmie;86/11;;0
0016-0007-0002-0027;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Kaliszu;86/25;;0
0016-0007-0002-0028;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Opolu;86/53;;0
0016-0007-0002-0029;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Piotrkowie Trybunalskim;86/59;;0
0016-0007-0002-0030;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Siedlcach;86/71;;0
0016-0007-0002-0031;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Sieradzu;86/73;;0
0016-0007-0002-0032;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Skierniewicach;86/75;;0
0016-0007-0002-0033;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Słupsku;86/77;;0
0016-0007-0002-0034;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Szczecinie;86/81;;0
0016-0007-0002-0035;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Nowym Sączu;86/49;;0
0016-0007-0002-0036;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Łodzi;86/47;;0
0016-0007-0002-0037;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Warszawie;86/01;;0
0016-0007-0002-0038;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Ciechanowie;86/13;;0
0016-0007-0002-0039;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Białej Podlaskiej;86/03;;0
0016-0007-0002-0040;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Bielsku-Białej;86/07;;0
0016-0007-0002-0041;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Gdańsku;86/19;;0
0016-0007-0002-0042;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Suwałkach;86/79;;0
0016-0007-0002-0043;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Toruniu;86/87;;0
0016-0007-0002-0044;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Wałbrzychu;86/89;;0
0016-0007-0002-0045;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Lesznie;86/41;;0
0016-0007-0002-0046;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Pile;86/57;;0
0016-0007-0002-0047;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Koninie;86/31;;0
0016-0007-0002-0048;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Krakowie;86/35;;0
0016-0007-0002-0049;0016-0007-0002;d;Dysponent;Samorządowe Kolegium Odwoławcze w Olsztynie;86/51;;0
0016-0008;0016;b;Zadanie 16.8;Informatyzacja działalności i budowa społeczeństwa informacyjnego;;;438372
0016-0008-0001;0016-0008;c;Podzadanie 16.8.1;Upowszechnianie i wspieranie e- administracji usług administracji publicznej;;;8388
0016-0008-0001-0001;0016-0008-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;27;;0
0016-0008-0001-0002;0016-0008-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;8388
0016-0008-0001-0003;0016-0008-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0016-0008-0002;0016-0008;c;Podzadanie 16.8.2;Centralne systemy ewidencji państwowych;;;0
0016-0008-0002-0001;0016-0008-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0016-0008-0003;0016-0008;c;Podzadanie 16.8.3;Projekty informatyczne i teleinformatyczne;;;429984
0016-0008-0003-0001;0016-0008-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;27;;36090
0016-0008-0003-0002;0016-0008-0003;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0016-0008-0003-0003;0016-0008-0003;d;Dysponent;Ministerstwo Środowiska;41;;0
0016-0008-0003-0004;0016-0008-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;296348
0016-0008-0003-0005;0016-0008-0003;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0016-0008-0003-0006;0016-0008-0003;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0016-0008-0003-0007;0016-0008-0003;d;Dysponent;Ministerstwo Zdrowia;46;;81780
0016-0008-0003-0008;0016-0008-0003;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;63;;0
0016-0008-0003-0009;0016-0008-0003;d;Dysponent;Kasa Rolniczego Ubezpieczenia Społecznego;72;;0
0016-0008-0003-0010;0016-0008-0003;d;Dysponent;Wojewodowie;85;;15766
0017;;a;FUNKCJA 17;KSZTAŁTOWANIE ROZWOJU REGIONALNEGO KRAJU;;;13718786
0017-0001;0017;b;Zadanie 17.1;Wsparcie rozwoju regionalnego kraju;;;12196329
0017-0001-0001;0017-0001;c;Podzadanie 17.1.1;Wsparcie regionów w zakresie wzrostu poziomu zatrudnienia i spójności gospodarczej;;;2778091
0017-0001-0001-0001;0017-0001-0001;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;2778091
0017-0001-0001-0002;0017-0001-0001;d;Dysponent;Wojewodowie;85;;0
0017-0001-0002;0017-0001;c;Podzadanie 17.1.2;Wsparcie rozwoju poszczególnych województw w ramach 16 RPO;;;8643644
0017-0001-0002-0001;0017-0001-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0017-0001-0002-0002;0017-0001-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;754
0017-0001-0002-0003;0017-0001-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;8642890
0017-0001-0002-0004;0017-0001-0002;d;Dysponent;Wojewodowie;85;;0
0017-0001-0003;0017-0001;c;Podzadanie 17.1.3;Wsparcie województw Polski Wschodniej;;;774594
0017-0001-0003-0001;0017-0001-0003;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;774594
0017-0002;0017;b;Zadanie 17.2;Zamykanie programów Narodowego Planu Rozwoju 2004- 2006;;;0
0017-0002-0001;0017-0002;c;Podzadanie 17.2.1;Zamykanie pomocy w ramach programów Narodowego Planu Rozwoju 2004-2006;;;0
0017-0002-0001-0001;0017-0002-0001;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0002-0001-0002;0017-0002-0001;d;Dysponent;Wojewodowie;85;;0
0017-0002-0002;0017-0002;c;Podzadanie 17.2.2;Realizacja Funduszu Spójności 2004-2006, w tym zamknięcie pomocy w ramach programu;;;0
0017-0002-0002-0001;0017-0002-0002;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0017-0003;0017;b;Zadanie 17.3;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;;;1360552
0017-0003-0001;0017-0003;c;Podzadanie 17.3.1;Koordynacja NSRO 2007-2013 i zarządzanie realizacją PO Pomoc Techniczna;;;0
0017-0003-0001-0001;0017-0003-0001;d;Dysponent;Ministerstwo Edukacji Narodowej;30;;0
0017-0003-0001-0002;0017-0003-0001;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0001-0003;0017-0003-0001;d;Dysponent;Ministerstwo Środowiska;41;;0
0017-0003-0001-0004;0017-0003-0001;d;Dysponent;Wojewodowie;85;;0
0017-0003-0002;0017-0003;c;Podzadanie 17.3.2;Zarządzanie realizacją PO Innowacyjna Gospodarka;;;0
0017-0003-0002-0001;0017-0003-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0003;0017-0003;c;Podzadanie 17.3.3;Zarządzanie realizacją PO Infrastruktura i Środowisko;;;0
0017-0003-0003-0001;0017-0003-0003;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0004;0017-0003;c;Podzadanie 17.3.4;Zarządzanie realizacją PO Kapitał Ludzki;;;0
0017-0003-0004-0001;0017-0003-0004;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0005;0017-0003;c;Podzadanie 17.3.5;Zarządzanie realizacją PO Rozwój Polski Wschodniej;;;0
0017-0003-0005-0001;0017-0003-0005;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0006;0017-0003;c;Podzadanie 17.3.6;Zarządzanie realizacją PO Europejskiej Współpracy Terytorialnej i Europejskiego Instrumentu Sąsiedztwa i Partnerstwa;;;0
0017-0003-0006-0001;0017-0003-0006;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0017-0003-0006-0002;0017-0003-0006;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0006-0003;0017-0003-0006;d;Dysponent;Wojewodowie;85;;0
0017-0003-0007;0017-0003;c;Podzadanie 17.3.7;Realizacja PO Pomoc techniczna służąca wdrażaniu programów NSRO 2007-2013;;;0
0017-0003-0007-0001;0017-0003-0007;d;Dysponent;Ministerstwo Infrastruktury;21;;0
0017-0003-0007-0002;0017-0003-0007;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0017-0003-0007-0003;0017-0003-0007;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;0
0017-0003-0007-0004;0017-0003-0007;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0017-0003-0007-0005;0017-0003-0007;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0003-0007-0006;0017-0003-0007;d;Dysponent;Wojewodowie;85;;0
0017-0003-0008;0017-0003;c;Podzadanie 17.3.8;Wdrażanie PO Innowacyjna Gospodarka;;;693587
0017-0003-0008-0001;0017-0003-0008;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;27;;693587
0017-0003-0008-0002;0017-0003-0008;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0008-0003;0017-0003-0008;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0003-0009;0017-0003;c;Podzadanie 17.3.9;Wdrażanie PO Infrastruktura i Środowisko;;;293103
0017-0003-0009-0001;0017-0003-0009;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;293103
0017-0003-0009-0002;0017-0003-0009;d;Dysponent;Ministerstwo Infrastruktury;39;;0
0017-0003-0009-0003;0017-0003-0009;d;Dysponent;Ministerstwo Środowiska;41;;0
0017-0003-0009-0004;0017-0003-0009;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0003-0009-0005;0017-0003-0009;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0003-0010;0017-0003;c;Podzadanie 17.3.10;Wdrażanie PO Kapitał Ludzki;;;373862
0017-0003-0010-0001;0017-0003-0010;d;Dysponent;Kancelaria Prezesa Rady Ministrów;16;;0
0017-0003-0010-0002;0017-0003-0010;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;31;;368739
0017-0003-0010-0003;0017-0003-0010;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0010-0004;0017-0003-0010;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0003-0010-0005;0017-0003-0010;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;43;;5123
0017-0003-0010-0006;0017-0003-0010;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0003-0010-0007;0017-0003-0010;d;Dysponent;Wojewodowie;85;;0
0017-0003-0011;0017-0003;c;Podzadanie 17.3.11;Wdrażanie PO Rozwój Polski Wschodniej;;;0
0017-0003-0011-0001;0017-0003-0011;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0003-0012;0017-0003;c;Podzadanie 17.3.12;Wdrażanie PO Europejskiej Współpracy Terytorialnej i Europejskiego Instrumentu Sąsiedztwa i Partnerstwa;;;0
0017-0003-0012-0001;0017-0003-0012;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0003-0012-0002;0017-0003-0012;d;Dysponent;Wojewodowie;85;;0
0017-0004;0017;b;Zadanie 17.4;Zarządzanie realizacją i wdrażanie projektów w ramach programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych;;;161905
0017-0004-0001;0017-0004;c;Podzadanie 17.4.1;Zarządzanie i wdrażanie zadań w ramach Mechanizmu Finansowego EOG (2004-2009) oraz Norweskiego Mechanizmu Finansowego (2004- 2009), w tym zamknięcie pomocy;;;0
0017-0004-0001-0001;0017-0004-0001;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0017-0004-0001-0002;0017-0004-0001;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0004-0001-0003;0017-0004-0001;d;Dysponent;Ministerstwo Środowiska;41;;0
0017-0004-0001-0004;0017-0004-0001;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0004-0001-0005;0017-0004-0001;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0017-0004-0001-0006;0017-0004-0001;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0004-0002;0017-0004;c;Podzadanie 17.4.2;Zarządzanie i wdrażanie zadań w ramach Mechanizmu Finansowego EOG (2009-2014) oraz Norweskiego Mechanizmu Finansowego (2009- 2014);;;0
0017-0004-0002-0001;0017-0004-0002;d;Dysponent;Ministerstwo Kultury i Dziedzictwa Narodowego;24;;0
0017-0004-0002-0002;0017-0004-0002;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0004-0002-0003;0017-0004-0002;d;Dysponent;Ministerstwo Środowiska;41;;0
0017-0004-0002-0004;0017-0004-0002;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0004-0002-0005;0017-0004-0002;d;Dysponent;Ministerstwo Pracy i Polityki Społecznej;44;;0
0017-0004-0002-0006;0017-0004-0002;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0004-0003;0017-0004;c;Podzadanie 17.4.3;Zarządzanie i wdrażanie zadań w ramach Szwajcarsko-Polskiego Programu Współpracy (SPPW);;;91808
0017-0004-0003-0001;0017-0004-0003;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0004-0003-0002;0017-0004-0003;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;88664
0017-0004-0003-0003;0017-0004-0003;d;Dysponent;Ministerstwo Zdrowia;46;;0
0017-0004-0003-0004;0017-0004-0003;d;Dysponent;Wojewodowie;85;;3144
0017-0004-0004;0017-0004;c;Podzadanie 17.4.4;Wdrażanie zadań, projektów i grantów w ramach środków Mechanizmu Finansowego EOG oraz Norweskiego Mechnizmu Finansowego;;;4760
0017-0004-0004-0001;0017-0004-0004;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;4760
0017-0004-0005;0017-0004;c;Podzadanie 17.4.5;Wdrażanie zadań, projektów i grantów w ramach środków Szwajcarsko-Polskiego programu Wspólpracy (SPPW);;;65337
0017-0004-0005-0001;0017-0004-0005;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;65337
0017-0004-0006;0017-0004;c;Podzadanie 17.4.6;Zarządzanie realizacją pozostałych programów finansowanych z udziałem bezzwrotnej pomocy zagranicznej;;;0
0017-0004-0006-0001;0017-0004-0006;d;Dysponent;Ministerstwo Rozwoju Regionalnego;34;;0
0017-0004-0006-0002;0017-0004-0006;d;Dysponent;Ministerstwo Spraw Wewnętrznych i Administracji;42;;0
0017-0004-0006-0003;0017-0004-0006;d;Dysponent;Ministerstwo Spraw Zagranicznych;45;;0
0017-0004-0006-0004;0017-0004-0006;d;Dysponent;Wojewodowie;85;;0
0018;;a;FUNKCJA 18;SPRAWIEDLIWOŚĆ;;;18724
0018-0001;0018;b;Zadanie 18.1;Sprawowanie wymiaru sprawiedliwości przez sądy powszechne i wojskowe;;;0
0018-0001-0001;0018-0001;c;Podzadanie 18.1.1;Działalność orzecznicza;;;0
0018-0001-0001-0001;0018-0001-0001;d;Dysponent;Ministerstwo Sprawiedliwości;15;;0
0018-0001-0001-0002;0018-0001-0001;d;Dysponent;Ministerstwo Obrony Narodowej;29;;0
0018-0001-0002;0018-0001;c;Podzadanie 18.1.2;Działalność pozaorzecznicza;;;0
0018-0001-0002-0001;0018-0001-0002;d;Dysponent;Ministerstwo Sprawiedliwości;15;;0
