ID;Rodzic;Poziom;Typ;Nazwa;Wydatki (w tys. zł) 2011 r.;Wydatki (w tys. zł) 2012 r.;Wydatki (w tys. zł) 2013 r.
0007-0008-0002;0007-0008;c;Podzadanie 7.8.2;Przedsięwzięcia dostosowujące przedsiębiorstwa do wymogów ochrony środowiska;730;404;440
0007-0008-0003;0007-0008;c;Podzadanie 7.8.3;Zadania związane z realizacją projektów finansowanych z Funduszu Spójności;40472;24178;22664
0007-0009;0007;b;Zadanie 7.9;Kontrola, monitoring stanu środowiska i przeciwdziałanie poważnym awariom;290320;168261;128448
0007-0009-0001;0007-0009;c;Podzadanie 7.9.1;Monitoring stanu środowiska;112889;108853;106968
0007-0009-0002;0007-0009;c;Podzadanie 7.9.2;Ochrona przed skutkami zagrożeń naturalnych;177431;59408;21480
0007-0010;0007;b;Zadanie 7.10;Realizacja polityki ekologicznej państwa;134688;166750;165591
0007-0010-0001;0007-0010;c;Podzadanie 7.10.1;Prowadzenie polityki ekologicznej państwa;66687;94393;88992
0007-0010-0002;0007-0010;c;Podzadanie 7.10.2;Promocja postaw proekologicznych i edukacja środowiskowa;68001;72357;76599
0007-0011;0007;b;Zadanie 7.11;Zapewnianie Polsce sprzyjających warunków rozwoju;11751;4443;4168
0007-0011-0001;0007-0011;c;Podzadanie 7.11.1;Udział Polski we współpracy na forum organizacji międzynarodowych;11751;4443;4168
0007-0012;0007;b;Zadanie 7.12;Wspieranie transportu morskiego i żeglugi śródlądowej;3554;3551;3560
0007-0012-0001;0007-0012;c;Podzadanie 7.12.1;Wspieranie infrastruktury morskiej i żeglugi śródlądowej;3554;3551;3560
0007-0013;0007;b;Zadanie 7.13;Wspieranie transportu intermodalnego;7931;10408;10480
0007-0013-0001;0007-0013;c;Podzadanie 7.13.1;Wspieranie transportu intermodalnego;7931;10408;10480
0007-0014;0007;b;Zadanie 7.14;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;49007;46393;54337
0007-0014-0001;0007-0014;c;Podzadanie 7.14.1;Finansowaniem przedsięwzięć służących ochronie środowiska, z wykorzystaniem środków krajowych i zagranicznych;49007;46393;54337
0007-0015;0007;b;Zadanie 7.15;Obsługa administracyjna;36622;33634;12748
0007-0015-0001;0007-0015;c;Podzadanie 7.15.1;Obsługa prawna, administracyjna, finansowa i techniczna biura NFOŚiGW;36622;33634;12748
0008;;a;AGENCJA 8;Polska Organizacja Turystyczna;114314;81996;45692
0008-0001;0008;b;Zadanie 8.1;Wsparcie i promocja turystyki;101709;72631;44674
0008-0001-0001;0008-0001;c;Podzadanie 8.1.1;Kreowanie polityki w obszarze turystyki;1186;1062;875
0008-0001-0002;0008-0001;c;Podzadanie 8.1.2;Wsparcie produktów turystycznych;18879;10744;5868
0008-0001-0003;0008-0001;c;Podzadanie 8.1.3;Tworzenie i wspieranie spójnego i efektywnego systemu marketingu w turystyce;81644;60825;37931
0008-0002;0008;b;Zadanie 8.2;Informatyzacja działalności i budowa społeczeństwa informacyjnego;12605;9365;1018
0008-0002-0001;0008-0002;c;Podzadanie 8.2.1;Utrzymanie systemów informatycznych;9478;4339;810
0008-0002-0002;0008-0002;c;Podzadanie 8.2.2;Budowa i wdrożenie rozwiązań informatycznych;3127;5026;208
0009;;a;AGENCJA 9;Polski Klub Wyścigów Konnych;5717;5673;5741
0009-0001;0009;b;Zadanie 9.1;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;5717;5673;5741
0009-0001-0001;0009-0001;c;Podzadanie 9.1.1;Działalność statutowa PKWK;5717;5673;5741
0010;;a;AGENCJA 10;Agencja Rezerw Materiałowych;490841;638434;1129759
0010-0001;0010;b;Zadanie 10.1;Bezpieczeństwo gospodarcze państwa;408149;556013;1047338
0010-0001-0001;0010-0001;c;Podzadanie 10.1.1;Potencjał gospodarczy na rzecz bezpieczeństwa państwa;408149;556013;1047338
0010-0002;0010;b;Zadanie 10.2;Obsługa administracyjna;82692;82421;82421
0011;;a;AGENCJA 11;Polska Agencja Żeglugi Powietrznej;676396;699137;753281
0011-0001;0011;b;Zadanie 11.1;Wspieranie transportu lotniczego i infrastruktury lotniczej;676396;699137;753281
0011-0001-0001;0011-0001;c;Podzadanie 11.1.1;Wspieranie infrastruktury lotniskowej i nawigacyjnej;207903;204998;220925
0011-0001-0002;0011-0001;c;Podzadanie 11.1.2;Regulowanie i nadzorowanie systemu lotnictwa cywilnego w Polsce;387259;411255;447109
0011-0001-0003;0011-0001;c;Podzadanie 11.1.3;Kształtowanie warunków dla rozwoju transportu lotniczego;81234;82884;85247
0012;;a;AGENCJA 12;Polska Agencja Rozwoju Przedsiębiorczości;5802392;5777236;3597166
0012-0001;0012;b;Zadanie 12.1;Wzrost konkurencyjności gospodarki;3601189;3774541;2619460
0012-0001-0001;0012-0001;c;Podzadanie 12.1.1;Tworzenie warunków do zwiększenia innowacyjności przedsiębiorstw;2687658;2776159;1915718
0012-0001-0002;0012-0001;c;Podzadanie 12.1.2;Tworzenie warunków dla funkcjonowania przedsiębiorstw;913531;998382;703742
0012-0002;0012;b;Zadanie 12.2;Kształtowanie międzynarodowego wizerunku RP;56322;89593;90748
0012-0002-0001;0012-0002;c;Podzadanie 12.2.1;Prowadzenie promocji kraju;56322;89593;90748
0012-0003;0012;b;Zadanie 12.3;Wsparcie rozwoju regionalnego kraju;2051894;1820044;791660
0012-0003-0001;0012-0003;c;Podzadanie 12.3.1;Wspracie województw Polski Wschodniej;2051894;1820044;791660
0012-0004;0012;b;Zadanie 12.4;Koordynacja realizacji NSRO 2007-2013 oraz zarządzanie i wdrażanie programów operacyjnych;49450;51118;50662
0012-0004-0001;0012-0004;c;Podzadanie 12.4.1;Wdrażanie PO Innowacyjna Gospodarka;33089;35260;34571
0012-0004-0002;0012-0004;c;Podzadanie 12.4.2;Wdrażanie PO Kapitał Ludzki;5614;5369;5386
0012-0004-0003;0012-0004;c;Podzadanie 12.4.3;Wdrażanie PO Rozwój Polski Wschodniej;10747;10489;10705
0012-0005;0012;b;Zadanie 12.5;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;12457;12457;12457
0012-0006;0012;b;Zadanie 12.6;Obsługa administracyjna;15949;17086;17578
0012-0007;0012;b;Zadanie 12.7;Obsługa techniczna;15131;12397;14601
0013;;a;AGENCJA 13;Agencja Ochrony Technologii Medycznych;10290;20000;31090
0013-0001;0013;b;Zadanie 13.1;Zapewnianie dostępu do świadczeń opieki zdrowotnej;3950;10202;20720
0013-0001-0001;0013-0001;c;Podzadanie 13.1.1;Organizacja oraz nadzór nad systemem opieki zdrowotnej;3950;10202;20720
0013-0002;0013;b;Zadanie 13.2;Realizacja polityki lekowej państwa;640;896;1070
0013-0002-0001;0013-0002;c;Podzadanie 13.2.1;Zapewnianie dostępu do leków i wyrobów medycznych poprzez umożliwienie refundacji leków i wyrobów medycznych najistotniejszych dla zdrowia społeczeństwa;640;896;1070
0013-0003;0013;b;Zadanie 13.3;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;400;430;510
0013-0004;0013;b;Zadanie 13.4;Obsługa administracyjna;3200;6372;6590
0013-0005;0013;b;Zadanie 13.5;Obsługa techniczna;2100;2100;2200
0014;;a;AGENCJA 14;Krajowa Szkoła Sądownicwa i Prokuratury;49987;68216;75037
0014-0001;0014;b;Zadanie 14.1;Edukacja i wychowanie;49987;68216;75037
0014-0001-0001;0014-0001;c;Podzadanie 14.1.1;Kształcenie ogólne, zawodowe i ustawiczne;49987;68216;75037
0015;;a;AGENCJA 15;Krajowa Szkoła Administracji Publicznej;19062;17997;19212
0015-0001;0015;b;Zadanie 15.1;Edukacja i wychowanie;9484;9484;10419
0015-0001-0001;0015-0001;c;Podzadanie 15.1.1;Kształcenie ogólne, zawodowe i ustawiczne;9484;9484;9671
0015-0002;0015;b;Zadanie 15.2;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;648;648;648
0015-0003;0015;b;Zadanie 15.3;Obsługa administracyjna;6099;6099;6277
0015-0004;0015;b;Zadanie 15.4;Obsługa techniczna;2831;1766;1868
0016;;a;AGENCJA 16;Polski Instytut Sztuki Filmowej;135246;138356;141539
0016-0001;0016;b;Zadanie 16.1;Działalność artystyczna i promocja kultury;135246;138356;141539
0016-0001-0001;0016-0001;c;Podzadanie 16.1.1;Wspieranie kinematografii;135246;138356;141539
0017;;a;AGENCJA 17;Urząd Dozoru Technicznego;354290;365172;378313
0017-0001;0017;b;Zadanie 17.1;Wzrost konkurencyjności gospodarki;354290;365172;378313
0017-0001-0001;0017-0001;c;Podzadanie 17.1.1;Tworzenie warunków dla funkcjonowania przedsiębiorstw;354290;365172;378313
0018;;a;AGENCJA 18;Polski Instytut Spraw Międzynarodowych;10847;11347;11847
0018-0001;0018;b;Zadanie 18.1;Edukacja i wychowanie;1150;1203;1256
0018-0001-0001;0018-0001;c;Podzadanie 18.1.1;Kształcenie ogólne, zawodowe i ustawiczne;1150;1203;1256
0018-0002;0018;b;Zadanie 18.2;Podtrzymywanie i rozpowszechnianie tradycji narodowej i państwowej;1491;1559;1627
0018-0002-0001;0018-0002;c;Podzadanie 18.2.1;Działalność naukowo-wydawnicza;1491;1559;1627
0018-0003;0018;b;Zadanie 18.3;Ochrona dziedzictwa narodowego;1329;1390;1451
0018-0003-0001;0018-0003;c;Podzadanie 18.3.1;Utrzymywanie bibliotek oraz innych instytucji, działających w sektorze książki;1329;1390;1451
0018-0004;0018;b;Zadanie 18.4;Prowadzenie badań naukowych;480;503;525
0018-0005;0018;b;Zadanie 18.5;Upowszechnianie, promocja oraz popularyzacja nauki;525;549;574
0018-0006;0018;b;Zadanie 18.6;Zapewnianie Polsce sprzyjających warunków rozwoju;5872;6143;6414
0018-0006-0001;0018-0006;c;Podzadanie 18.6.1;Rozwijanie stosunków dwustronnych i wielostronnych;5872;6143;6414
0019;;a;AGENCJA 19;Transportowy Dozór Techniczny;49999;49800;51148
0019-0001;0019;b;Zadanie 19.1;Wspieranie zrównoważonego rozwoju transportu;37976;37149;37710
0019-0001-0001;0019-0001;c;Podzadanie 19.1.1;Zapewnienie właściwych standardów bezpieczeństwa dla urządzeń technicznych w zakresie transportu drogowego, kolejowego, lotniczego oraz wodnego;37976;37149;37710
0019-0002;0019;b;Zadanie 19.2;Obsługa administracyjna;10209;10230;11043
0019-0003;0019;b;Zadanie 19.3;Obsługa techniczna;1814;2421;2395
0020;;a;AGENCJA 20;Polskie Centrum Akredytacji;15000;15000;15000
0020-0001;0020;b;Zadanie 20.1;Wzrost konkurencyjności gospodarki;15000;15000;15000
0020-0001-0001;0020-0001;c;Podzadanie 20.1.1;Tworzenie warunków dla funkcjonowania przedsiębiorstw;15000;15000;15000
0021;;a;AGENCJA 21;Centrum Doradztwa Rolniczego w Brwinowie;16737;24485;24857
0021-0001;0021;b;Zadanie 21.1;Edukacja i wychowanie;14;14;14
0021-0001-0001;0021-0001;c;Podzadanie 21.1.1;Kształcenie i doskonalenie nauczycieli oraz kształtowanie ich pragmatyki zawodowej;14;14;14
0021-0002;0021;b;Zadanie 21.2;Kształtowanie ustroju rolnego państwa oraz rolnictwo ekologiczne i żywność regionalna, tradycyjna i systemy jakości żywności;1400;1266;1326
0021-0002-0001;0021-0002;c;Podzadanie 21.2.1;Rolnictwo ekologiczne;580;960;960
0021-0002-0002;0021-0002;c;Podzadanie 21.2.2;śywność regionalna, tradycyjna i systemy jakości żywności;820;306;366
0021-0003;0021;b;Zadanie 21.3;Realizacja Wspólnej Polityki Rolnej oraz pomocy krajowej;6407;7275;7377
0021-0003-0001;0021-0003;c;Podzadanie 21.3.1;Doradztwo rolnicze;6407;7275;7377
0021-0004;0021;b;Zadanie 21.4;Informatyzacja działalności i budowa społeczeństwa informacyjnego;425;6730;5020
0021-0004-0001;0021-0004;c;Podzadanie 21.4.1;Utrzymanie systemów informatycznych;325;930;3600
0021-0004-0002;0021-0004;c;Podzadanie 21.4.2;Budowa i wdrożenie rozwiązań informatycznych;100;5800;1420
0021-0005;0021;b;Zadanie 21.5;Koordynacja merytoryczna działalności, planowania strategicznego i operacyjnego;1000;1230;1230
0021-0006;0021;b;Zadanie 21.6;Obsługa administracyjna;4705;4220;5140
0021-0007;0021;b;Zadanie 21.7;Obsługa techniczna;2786;3750;4750
9999;;a;Total;OGÓŁEM;14419804;15044384;13539219
