ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
28-17-1;28-17;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
28-19;28;Powiat;Powiat węgorzewski;;;;;;28604.0;28604.0;24313.4;24313.4;;;;;;;;;;;;;
28-19-1;28-19;Projekt;Kampania na rzecz ograniczenia szkód wyrządzanych przez zwierzęta prawnie chronione (wilk, żubr, bóbr) na obszarze Zielonych Płuc Polski.;POIS.05.04.00-00-062/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;28,604.00;28,604.00;24,313.40;24,313.40;Fundacja Zielone Płuca Polski;5422952234;15-554;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);fundacja;00 Nie dotyczy;POIS.05.04.00-00-062/08-10;Nie;2011/01/12;2011/01/17
06-01;06;Powiat;Powiat bialski;;;;;;123823.5;123823.5;105250.0;105250.0;;;;;;;;;;;;;
06-01-1;06-01;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;123,823.50;123,823.50;105,250.00;105,250.00;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-10;14;Powiat;Powiat łosicki;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-10-1;14-10;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-11;14;Powiat;Powiat makowski;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-11-1;14-11;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-15-2;14-15;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-16;14;Powiat;Powiat ostrowski;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-16-1;14-16;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
14-26;14;Powiat;Powiat siedlecki;;;;;;15477.94;15477.94;13156.25;13156.25;;;;;;;;;;;;;
14-26-1;14-26;Projekt;Edukacja-naturalnie! - akcja edukacyjna dla młodzieży szkolnej z obszarów Natura 2000 Polski pn-wsch;POIS.05.04.00-00-068/08-02;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.04.00;;15,477.94;15,477.94;13,156.25;13,156.25;Stowarzyszenie na rzecz Ekorozwoju Agro - Group;9661252329;15-472;Białystok;Podlaskie;Powiat m. Białystok;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);stowarzyszenie;00 Nie dotyczy;;;2011/02/07;2011/03/18
