ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oś priorytetowa <Kod>;Działanie <Kod>;Poddziałanie <Kod>;Wartość ogółem;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowość;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu;Projekt zakończony (Wniosek o płatność końcową);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
08-05-1;08-05;Projekt;"Opracowanie planów ochrony Parku Narodowego ""Ujście Warty"" oraz obszaru PLC 080001Ujście Warty.";POIS.05.03.00-00-278/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;951,868.33;951,868.33;951,868.33;809,088.08;"Park Narodowy ""Ujście Warty""";5981512758;69-113;Górzyca;Lubuskie;Powiat słubicki;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);państwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.03.00-00-278/10-01;Nie;2011/01/25;2011/01/31
08-07;08;Powiat;Powiat sulęciński;;;;;;951868.33;951868.33;951868.33;809088.08;;;;;;;;;;;;;
08-07-1;08-07;Projekt;"Opracowanie planów ochrony Parku Narodowego ""Ujście Warty"" oraz obszaru PLC 080001Ujście Warty.";POIS.05.03.00-00-278/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;951,868.33;951,868.33;951,868.33;809,088.08;"Park Narodowy ""Ujście Warty""";5981512758;69-113;Górzyca;Lubuskie;Powiat słubicki;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);państwowa jednostka organizacyjna;00 Nie dotyczy;POIS.05.03.00-00-278/10-01;Nie;2011/01/25;2011/01/31
22-04;22;Powiat;Powiat gdański;;;;;;525666.67;525666.67;446816.67;446816.67;;;;;;;;;;;;;
22-04-1;22-04;Projekt;Projekty planów ochrony obszarów Natura 2000 w rejonie Zatoki Gdańskiej i Zalewu WIślanego;POIS.05.03.00-00-281/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;525,666.67;525,666.67;446,816.67;446,816.67;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);organ władzy, administracji rządowej;00 Nie dotyczy;POIS.05.03.00-00-281/10-01;Nie;2011/01/18;2011/01/28
22-10;22;Powiat;Powiat nowodworski;;;;;;525666.67;525666.67;446816.67;446816.67;;;;;;;;;;;;;
22-10-1;22-10;Projekt;Projekty planów ochrony obszarów Natura 2000 w rejonie Zatoki Gdańskiej i Zalewu WIślanego;POIS.05.03.00-00-281/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;525,666.67;525,666.67;446,816.67;446,816.67;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);organ władzy, administracji rządowej;00 Nie dotyczy;POIS.05.03.00-00-281/10-01;Nie;2011/01/18;2011/01/28
22-11;22;Powiat;Powiat pucki;;;;;;525666.67;525666.67;446816.67;446816.67;;;;;;;;;;;;;
22-11-1;22-11;Projekt;Projekty planów ochrony obszarów Natura 2000 w rejonie Zatoki Gdańskiej i Zalewu WIślanego;POIS.05.03.00-00-281/10-00;Program Operacyjny Infrastruktura i Środowisko;POIS.05.00.00;POIS.05.03.00;;525,666.67;525,666.67;446,816.67;446,816.67;Urząd Morski w Gdyni;5860014932;81-338;Gdynia;Pomorskie;Powiat m. Gdynia;51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000);organ władzy, administracji rządowej;00 Nie dotyczy;POIS.05.03.00-00-281/10-01;Nie;2011/01/18;2011/01/28
28-02;28;Powiat;Powiat braniewski;;;;;;1004500.0;976666.67;830166.66;830166.66;;;;;;;;;;;;;
