ID;Rodzic;Typ;Nazwa;Numer umowy/decyzji;Program Operacyjny <Nazwa>;Oœ priorytetowa <Kod>;Dzia³anie <Kod>;Poddzia³anie <Kod>;Wartoœæ ogó³em;Wydatki kwalifikowalne;Dofinansowanie;Dofinansowanie UE;Nazwa beneficjenta;NIP beneficjenta;Kod pocztowy;Miejscowoœæ;Województwo;Powiat;Temat priorytetu;Forma prawna;Obszar realizacji;Ostatni Wniosek o p³atnoœæ dla najbardziej aktualnej Umowy/Aneksu;Projekt zakoñczony (Wniosek o p³atnoœæ koñcow¹);Data podpisania Umowy/Aneksu;Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu
33;;Ca³y kraj;Ca³y kraj;;;;;;4710704.0;4710704.0;4710704.0;4004098.0;;;;;;;;;;;;;
33-1;33;Projekt;Roczny Plan Dzia³ania Pomocy Technicznej Programu Operacyjnego Rozwój Polski Wschodniej 2007-2013 na rok 2007;POPW.06.01.00-00-001/07-00;Program Operacyjny Rozwój Polski Wschodniej;POPW.06.00.00;POPW.06.01.00;;2,642,000.00;2,642,000.00;2,642,000.00;2,245,700.00;Ministerstwo Rozwoju Regionalnego Departament Koordynacji Programów Regionalnych ;5262895199;00-926;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;organ w³adzy, administracji rz¹dowej;00 Nie dotyczy;POPW.06.01.00-00-001/07-03-K01;Tak;2007/11/30;2008/02/22
33-2;33;Projekt;Roczny Plan Dzia³ania Pomocy Technicznej Programu Operacyjnego Rozwój Polski Wschodniej 2007-2013 na rok 2007 ;POPW.06.01.00-00-002/07-00;Program Operacyjny Rozwój Polski Wschodniej;POPW.06.00.00;POPW.06.01.00;;2,068,704.00;2,068,704.00;2,068,704.00;1,758,398.00;Polska Agencja Rozwoju Przedsiêbiorczoœci;5262501444;00-834;Warszawa;Mazowieckie;Powiat m. st. Warszawa;85 Przygotowanie, realizacja, monitorowanie i kontrola;pañstwowa jednostka organizacyjna;00 Nie dotyczy;POPW.06.01.00-00-002/07-01-K02;Tak;2007/12/10;2008/02/22
