"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIS.02.01.00-00-007/10-00";"System zagospodarowania odpadów komunalnych w Olsztynie. Budowa Zakładu Unieszkodliwiania Odpadów.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.02.00.00";"POIS.02.01.00";"";"Warmińsko-mazurskie";"";"";"284,983,183.05";"191,499,946.02";"162,774,954.11";"162,774,954.11";"Zakład Gospodarki Odpadami Komunalnymi Sp. z o.o.";"7392954369";"10-410";"Olsztyn";"Warmińsko-mazurskie";"Powiat m. Olsztyn";"44 Gospodarka odpadami komunalnymi i przemysłowymi";"spółka z ograniczoną odpowiedzialnością - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2011/04/27";"2011/04/28"
"POIS.05.01.00-00-041/08-03";"Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Pomorskie";"";"";"3,136,512.50";"2,705,452.37";"2,299,634.51";"2,299,634.51";"WWF Polska Światowy Fundusz Na Rzecz Przyrody";"5213241055";"02-520";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-041/08-06";"Nie";"2011/01/27";"2011/01/28"
"POIS.05.01.00-00-041/08-03";"Wsparcie restytucji i ochrony ssaków bałtyckich w Polsce ";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Zachodniopomorskie";"";"";"3,136,512.50";"2,705,452.37";"2,299,634.51";"2,299,634.51";"WWF Polska Światowy Fundusz Na Rzecz Przyrody";"5213241055";"02-520";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"fundacja";"00 Nie dotyczy";"POIS.05.01.00-00-041/08-06";"Nie";"2011/01/27";"2011/01/28"
"POIS.05.01.00-00-045/08-03";"Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"200,696.00";"191,668.00";"162,917.80";"162,917.80";"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";"7781009642";"60-514";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-045/08-04";"Nie";"2011/05/05";"2011/05/10"
"POIS.05.01.00-00-045/08-03";"Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Opolskie";"";"";"200,696.00";"191,668.00";"162,917.80";"162,917.80";"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";"7781009642";"60-514";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-045/08-04";"Nie";"2011/05/05";"2011/05/10"
"POIS.05.01.00-00-045/08-03";"Reintrodukcja i ochrona susła moręgowanego w Polsce - etap III.";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Śląskie";"";"";"200,696.00";"191,668.00";"162,917.80";"162,917.80";"Polskie Towarzystwo Ochrony Przyrody ""Salamandra""";"7781009642";"60-514";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-045/08-04";"Nie";"2011/05/05";"2011/05/10"
"POIS.05.01.00-00-161/09-01";"Budowa obiektów małej infrastruktury drewnianej w Bieszczadzkim Parku Narodowym";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Podkarpackie";"";"";"2,714,381.65";"2,714,381.65";"2,714,381.65";"2,307,224.40";"Bieszczadzki Park Narodowy";"6890002420";"38-714";"Ustrzyki Górne";"Podkarpackie";"Powiat bieszczadzki";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.05.01.00-00-161/09-02";"Nie";"2011/03/28";"2011/03/31"
"POIS.05.01.00-00-212/09-00";"Trwałe zachowanie zagrożonych siedlisk i motyli w sieci Natura 2000 w Południowo - Zachodniej Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"1,708,323.10";"1,708,323.10";"1,452,074.64";"1,452,074.64";"Stowarzyszenie Ekologiczne Eko-Unia";"9541980345";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-212/09-01";"Nie";"2011/04/20";"2011/04/21"
"POIS.05.01.00-00-212/09-00";"Trwałe zachowanie zagrożonych siedlisk i motyli w sieci Natura 2000 w Południowo - Zachodniej Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Opolskie";"";"";"1,708,323.10";"1,708,323.10";"1,452,074.64";"1,452,074.64";"Stowarzyszenie Ekologiczne Eko-Unia";"9541980345";"50-134";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"stowarzyszenie";"00 Nie dotyczy";"POIS.05.01.00-00-212/09-01";"Nie";"2011/04/20";"2011/04/21"
"POIS.05.01.00-00-214/09-00";"Czynna ochrona cisa pospolitego na wybranych obszarach Natura 2000 w Polsce";"Program Operacyjny Infrastruktura i Środowisko";"POIS.05.00.00";"POIS.05.01.00";"";"Dolnośląskie";"";"";"122,404.95";"122,404.95";"122,404.95";"104,044.20";"Instytut Badawczy Leśnictwa";"5250009200";"05-090";"Sękocin Stary";"Mazowieckie";"Powiat pruszkowski";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/04/12";"2011/04/12"
