"type";"Nazwa Programów Operacyjnych";"Część";"Wydatki  budŜetu
środków europejskich*)"
"Program";"Szwajcarsko-Polski Program Współpracy";"19 ";"7309 "
;;"20 ";"4839 "
;;"34 ";"58063 "
;;"42 ";"30503 "
;;"46 ";
"Program";"Ogółem";;"100714 "
"Program";"Program Operacyjny ZrównowaŜony Rozwój Sektora Rybołówstwa i
NadbrzeŜnych Obszarów Rybackich";"62 ";"356502 "
;;"33 ";
;;"19 ";
;;"85/02";
;;"85/04";
;;"85/06";
;;"85/08";
;;"85/10";
;;"85/12";
;;"85/14";
;;"85/16";
;;"85/18";
;;"85/20";
;;"85/22";
;;"85/24";
;;"85/26";
;;"85/28";
;;"85/30";
;;"85/32";
;;"32 ";
;;"21 ";
"Program";"Ogółem";;"356502 "
"Program";"Wspólna Polityka Rolna";"19 ";
;;"32 ";
;;"33 ";"17710415 "
;;"35 ";"550000 "
;;"49 ";
;;"85/02";"40468 "
;;"85/04";"14625 "
;;"85/06";"34946 "
;;"85/08";"25782 "
;;"85/10";"6300 "
;;"85/12";"15730 "
;;"85/14";"35589 "
;;"85/16";"7556 "
;;"85/18";"3339 "
;;"85/20";"14035 "
;;"85/22";"20836 "
;;"85/24";"22194 "
;;"85/26";"13252 "
;;"85/28";"20271 "
;;"85/30";"33890 "
;;"85/32";"13832 "
"Program";"Ogółem";;"18583060 "
"Różne rozliczenia";"Finansowanie programów z budżetu środków europejskich";83;"36674500 "
;"Finansowanie wynagrodzeń w ramach budżetu środków europejskich";83;"29494 "
"Różne rozliczenia";"Ogółem";;"18583060 "
"Total";"OGÓŁEM PROGRAMY";;84004046
