"numer";"parent";"idef";"czesc";"level";"tresc";"pozycja";"total";"dot_sub";"swiad_fiz";"wyd_jednostek";"wyd_majatk";"wyd_dlug";"sw_eu";"wspolfin_eu"
50003;"20-500";"20-500-03";"20";2;"Agencja Rezerw Materiałowych";15;110699;110699;;;;;;
50005;"20-500";"20-500-05";"20";2;"Promocja eksportu";16;49434;14142;6300;11580;150;;;17262
750;"20";"20-750";"20";1;"Administracja publiczna";17;221472;419;26398;157228;9495;;;27932
75001;"20-750";"20-750-01";"20";2;"Urzędy naczelnych i centralnych organów administracji rządowej";18;141082;;248;106345;6695;;;27794
75057;"20-750";"20-750-57";"20";2;"Placówki zagraniczne";19;75892;;26150;46804;2800;;;138
75076;"20-750";"20-750-76";"20";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";20;4498;419;;4079;;;;
752;"20";"20-752";"20";1;"Obrona narodowa";21;73305;73000;;285;20;;;
75212;"20-752";"20-752-12";"20";2;"Pozostałe wydatki obronne";22;305;;;285;20;;;
75215;"20-752";"20-752-15";"20";2;"Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej";23;73000;73000;;;;;;
754;"20";"20-754";"20";1;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";24;29;;;29;;;;
75417;"20-754";"20-754-17";"20";2;"Organizacja Traktatu Północnoatlantyckiego";25;29;;;29;;;;
900;"20";"20-900";"20";1;"Gospodarka komunalna i ochrona środowiska";26;6021;;;;;;;6021
90011;"20-900";"20-900-11";"20";2;"Fundusz Ochrony Środowiska i Gospodarki Wodnej";27;6021;;;;;;;6021
"21";;"21";"21";0;"GOSPODARKA  MORSKA";1;777075;101508;4948;312863;349179;;;8577
600;"21";"21-600";"21";1;"Transport i łączność";2;600590;;4789;269881;322839;;;3081
60043;"21-600";"21-600-43";"21";2;"Urzędy morskie";3;556639;;2299;228530;322729;;;3081
60044;"21-600";"21-600-44";"21";2;"Ratownictwo morskie";4;29480;;2490;26880;110;;;
60095;"21-600";"21-600-95";"21";2;"Pozostała działalność";5;14471;;;14471;;;;
750;"21";"21-750";"21";1;"Administracja publiczna";6;12802;;5;12142;200;;;455
75001;"21-750";"21-750-01";"21";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;11911;;5;11251;200;;;455
75057;"21-750";"21-750-57";"21";2;"Placówki zagraniczne";8;731;;;731;;;;
75076;"21-750";"21-750-76";"21";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";9;160;;;160;;;;
752;"21";"21-752";"21";1;"Obrona narodowa";10;443;;;393;50;;;
75212;"21-752";"21-752-12";"21";2;"Pozostałe wydatki obronne";11;443;;;393;50;;;
755;"21";"21-755";"21";1;"Wymiar sprawiedliwości";12;1774;;42;1732;;;;
75504;"21-755";"21-755-04";"21";2;"Izby morskie";13;1774;;42;1732;;;;
803;"21";"21-803";"21";1;"Szkolnictwo wyższe";14;106661;101508;112;;;;;5041
80306;"21-803";"21-803-06";"21";2;"Działalność dydaktyczna";15;94463;89378;44;;;;;5041
80309;"21-803";"21-803-09";"21";2;"Pomoc materialna dla studentów i doktorantów";16;12198;12130;68;;;;;
900;"21";"21-900";"21";1;"Gospodarka komunalna i ochrona środowiska";17;54805;;;28715;26090;;;
90018;"21-900";"21-900-18";"21";2;"Ochrona brzegów morskich";18;54805;;;28715;26090;;;
"22";;"22";"22";0;"GOSPODARKA  WODNA";1;329487;22550;1881;236111;820;;;68125
710;"22";"22-710";"22";1;"Działalność usługowa";2;301526;22550;1881;208150;820;;;68125
71016;"22-710";"22-710-16";"22";2;"Krajowy Zarząd Gospodarki Wodnej";3;13318;1930;5;11283;100;;;
71018;"22-710";"22-710-18";"22";2;"Regionalne zarządy gospodarki wodnej";4;267588;;1876;196867;720;;;68125
71019;"22-710";"22-710-19";"22";2;"Państwowa służba hydrologiczno-meteorologiczna";5;20620;20620;;;;;;
750;"22";"22-750";"22";1;"Administracja publiczna";6;25025;;;25025;;;;
75001;"22-750";"22-750-01";"22";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;24794;;;24794;;;;
75076;"22-750";"22-750-76";"22";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;231;;;231;;;;
752;"22";"22-752";"22";1;"Obrona narodowa";9;2936;;;2936;;;;
75212;"22-752";"22-752-12";"22";2;"Pozostałe wydatki obronne";10;2936;;;2936;;;;
"24";;"24";"24";0;"KULTURA I OCHRONA DZIEDZICTWA  NARODOWEGO";1;2470664;1323073;9363;815279;189385;;;133564
750;"24";"24-750";"24";1;"Administracja publiczna";2;66872;9205;42;47931;3750;;;5944
75001;"24-750";"24-750-01";"24";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;54848;;42;45112;3750;;;5944
75076;"24-750";"24-750-76";"24";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;11539;9205;;2334;;;;
75095;"24-750";"24-750-95";"24";2;"Pozostała działalność";5;485;;;485;;;;
752;"24";"24-752";"24";1;"Obrona narodowa";6;92;;;92;;;;
75212;"24-752";"24-752-12";"24";2;"Pozostałe wydatki obronne";7;92;;;92;;;;
754;"24";"24-754";"24";1;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";8;40;;;40;;;;
75414;"24-754";"24-754-14";"24";2;"Obrona cywilna";9;10;;;10;;;;
75421;"24-754";"24-754-21";"24";2;"Zarządzanie kryzysowe";10;30;;;30;;;;
801;"24";"24-801";"24";1;"Oświata i wychowanie";11;667932;19345;2385;624842;11740;;;9620
80132;"24-801";"24-801-32";"24";2;"Szkoły artystyczne";12;652665;19345;1975;610105;11620;;;9620
80143;"24-801";"24-801-43";"24";2;"Jednostki pomocnicze szkolnictwa";13;5413;;5;5408;;;;
80146;"24-801";"24-801-46";"24";2;"Dokształcanie i doskonalenie nauczycieli";14;5832;;1;5711;120;;;
80148;"24-801";"24-801-48";"24";2;"Stołówki szkolne i przedszkolne";15;821;;4;817;;;;
80195;"24-801";"24-801-95";"24";2;"Pozostała działalność";16;3201;;400;2801;;;;
803;"24";"24-803";"24";1;"Szkolnictwo wyższe";17;491960;431882;2620;200;12600;;;44658
80306;"24-803";"24-803-06";"24";2;"Działalność dydaktyczna";18;464505;407027;220;;12600;;;44658
80309;"24-803";"24-803-09";"24";2;"Pomoc materialna dla studentów i doktorantów";19;26855;24855;2000;;;;;
80395;"24-803";"24-803-95";"24";2;"Pozostała działalność";20;600;;400;200;;;;
854;"24";"24-854";"24";1;"Edukacyjna opieka wychowawcza";21;26109;;103;26006;;;;
85410;"24-854";"24-854-10";"24";2;"Internaty i bursy szkolne";22;26035;;103;25932;;;;
85446;"24-854";"24-854-46";"24";2;"Dokształcanie i doskonalenie nauczycieli";23;74;;;74;;;;
921;"24";"24-921";"24";1;"Kultura i ochrona dziedzictwa narodowego";24;1217659;862641;4213;116168;161295;;;73342
92101;"24-921";"24-921-01";"24";2;"Instytucje kinematografii";25;1650;1000;;;650;;;
92102;"24-921";"24-921-02";"24";2;"Polski Instytut Sztuki Filmowej";26;9781;9781;;;;;;
92105;"24-921";"24-921-05";"24";2;"Pozostałe zadania w zakresie kultury";27;24343;12500;4000;3844;;;;3999
92106;"24-921";"24-921-06";"24";2;"Teatry";28;148129;142454;;;1465;;;4210
92108;"24-921";"24-921-08";"24";2;"Filharmonie, orkiestry, chóry i kapele";29;50544;50162;;;;;;382
92109;"24-921";"24-921-09";"24";2;"Domy i ośrodki kultury, świetlice i kluby";30;2769;2613;;;;;;156
92110;"24-921";"24-921-10";"24";2;"Galerie i biura wystaw artystycznych";31;10859;9259;;;1600;;;
92113;"24-921";"24-921-13";"24";2;"Centra kultury i sztuki";32;141225;128842;;;11210;;;1173
92114;"24-921";"24-921-14";"24";2;"Pozostałe instytucje kultury";33;92060;75486;;;13300;;;3274
92116;"24-921";"24-921-16";"24";2;"Biblioteki";34;99691;86491;;;13200;;;
92117;"24-921";"24-921-17";"24";2;"Archiwa";35;110744;;105;96668;13550;;;421
92118;"24-921";"24-921-18";"24";2;"Muzea";36;333300;260470;;;37420;;;35410
92119;"24-921";"24-921-19";"24";2;"Ośrodki ochrony i dokumentacji zabytków";37;22297;20992;;;500;;;805
92120;"24-921";"24-921-20";"24";2;"Ochrona zabytków i opieka nad zabytkami";38;56765;37000;100;168;;;;19497
92122;"24-921";"24-921-22";"24";2;"Rada Ochrony Pamięci Walk i Męczeństwa";39;16296;1000;8;15288;;;;
92195;"24-921";"24-921-95";"24";2;"Pozostała działalność";40;97206;24591;;200;68400;;;4015
"25";;"25";"25";0;"KULTURA FIZYCZNA";1;1010235;207454;21565;32148;749068;;;
750;"25";"25-750";"25";1;"Administracja publiczna";2;24542;;5;24087;450;;;
75001;"25-750";"25-750-01";"25";2;"Urzędy naczelnych i centralnych organów administracji rządowej";3;23986;;5;23531;450;;;
75076;"25-750";"25-750-76";"25";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";4;556;;;556;;;;
752;"25";"25-752";"25";1;"Obrona narodowa";5;10;;;10;;;;
75212;"25-752";"25-752-12";"25";2;"Pozostałe wydatki obronne";6;10;;;10;;;;
926;"25";"25-926";"25";1;"Kultura fizyczna";7;985683;207454;21560;8051;748618;;;
92601;"25-926";"25-926-01";"25";2;"Obiekty sportowe";8;250000;;;;250000;;;
92603;"25-926";"25-926-03";"25";2;"Komisja do Zwalczania Dopingu w Sporcie";9;1335;;;1325;10;;;
92604;"25-926";"25-926-04";"25";2;"Instytucje kultury fizycznej";10;23101;20270;;;2831;;;
92605;"25-926";"25-926-05";"25";2;"Zadania w zakresie kultury fizycznej";11;183704;183704;;;;;;
92695;"25-926";"25-926-95";"25";2;"Pozostała działalność";12;527543;3480;21560;6726;495777;;;
"26";;"26";"26";0;"ŁĄCZNOŚĆ";1;18922;1900;5;16983;;;;34
600;"26";"26-600";"26";1;"Transport i łączność";2;2112;1900;;207;;;;5
60046;"26-600";"26-600-46";"26";2;"Operatorzy pocztowi";3;1900;1900;;;;;;
60052;"26-600";"26-600-52";"26";2;"Zadania w zakresie telekomunikacji";4;212;;;207;;;;5
750;"26";"26-750";"26";1;"Administracja publiczna";5;15645;;5;15611;;;;29
75001;"26-750";"26-750-01";"26";2;"Urzędy naczelnych i centralnych organów administracji rządowej";6;15300;;5;15266;;;;29
75076;"26-750";"26-750-76";"26";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";7;345;;;345;;;;
752;"26";"26-752";"26";1;"Obrona narodowa";8;1165;;;1165;;;;
75212;"26-752";"26-752-12";"26";2;"Pozostałe wydatki obronne";9;1165;;;1165;;;;
"27";;"27";"27";0;"INFORMATYZACJA";1;82378;;62;35853;390;;;46073
150;"27";"27-150";"27";1;"Przetwórstwo przemysłowe";2;31336;;;;;;;31336
15012;"27-150";"27-150-12";"27";2;"Polska Agencja Rozwoju Przedsiębiorczości";3;31336;;;;;;;31336
720;"27";"27-720";"27";1;"Informatyka";4;3080;;30;1557;;;;1493
72095;"27-720";"27-720-95";"27";2;"Pozostała działalność";5;3080;;30;1557;;;;1493
750;"27";"27-750";"27";1;"Administracja publiczna";6;47962;;32;34296;390;;;13244
75001;"27-750";"27-750-01";"27";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;12500;;27;5995;240;;;6238
75076;"27-750";"27-750-76";"27";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;25220;;;25220;;;;
75095;"27-750";"27-750-95";"27";2;"Pozostała działalność";9;10242;;5;3081;150;;;7006
"28";;"28";"28";0;"NAUKA";1;4620913;2888498;3762;1203064;254248;;;271341
730;"28";"28-730";"28";1;"Nauka";2;4386724;2880248;3692;1004778;240588;;;257418
73001;"28-730";"28-730-01";"28";2;"Projekty badawcze i celowe w dziedzinie nauk przyrodniczych";3;273443;;;251536;;;;21907
73002;"28-730";"28-730-02";"28";2;"Projekty badawcze i celowe w dziedzinie nauk technicznych";4;491599;19000;;440111;;;;32488
73003;"28-730";"28-730-03";"28";2;"Projekty badawcze i celowe w dziedzinie nauk społecznych, humanistycznych  i ścisłych";5;138244;;;136441;;;;1803
73005;"28-730";"28-730-05";"28";2;"Działalność statutowa i inwestycyjna jednostek naukowych oraz badania własne szkół wyższych";6;2238128;1932128;3000;2000;235000;;;66000
73006;"28-730";"28-730-06";"28";2;"Działalność wspomagająca badania";7;64000;1000;192;62808;;;;
73007;"28-730";"28-730-07";"28";2;"Współpraca naukowa i naukowo-techniczna z zagranicą";8;194914;1143;;108168;;;;85603
73008;"28-730";"28-730-08";"28";2;"Narodowe Centrum Badań i Rozwoju";9;627600;627012;;;588;;;
73009;"28-730";"28-730-09";"28";2;"Narodowe Centrum Nauki";10;304965;299965;;;5000;;;
73095;"28-730";"28-730-95";"28";2;"Pozostała działalność";11;53831;;500;3714;;;;49617
750;"28";"28-750";"28";1;"Administracja publiczna";12;58689;;70;43466;1230;;;13923
75001;"28-750";"28-750-01";"28";2;"Urzędy naczelnych i centralnych organów administracji rządowej";13;55424;;70;40201;1230;;;13923
75076;"28-750";"28-750-76";"28";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";14;3265;;;3265;;;;
752;"28";"28-752";"28";1;"Obrona narodowa";15;154820;;;154820;;;;
75212;"28-752";"28-752-12";"28";2;"Pozostałe wydatki obronne";16;20;;;20;;;;
75221;"28-752";"28-752-21";"28";2;"Projekty badawcze i celowe w dziedzinie obronności";17;154800;;;154800;;;;
921;"28";"28-921";"28";1;"Kultura i ochrona dziedzictwa narodowego";18;20680;8250;;;12430;;;
92114;"28-921";"28-921-14";"28";2;"Pozostałe instytucje kultury";19;20680;8250;;;12430;;;
"29";;"29";"29";0;"OBRONA NARODOWA";1;27259614;903582;6633985;13085339;6636708;;;
700;"29";"29-700";"29";1;"Gospodarka mieszkaniowa";2;572135;572135;;;;;;
70013;"29-700";"29-700-13";"29";2;"Wojskowa Agencja Mieszkaniowa";3;572135;572135;;;;;;
710;"29";"29-710";"29";1;"Działalność usługowa";4;1491;1491;;;;;;
71032;"29-710";"29-710-32";"29";2;"Agencja Mienia Wojskowego";5;1491;1491;;;;;;
750;"29";"29-750";"29";1;"Administracja publiczna";6;248951;;15078;223272;10601;;;
75001;"29-750";"29-750-01";"29";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;204434;;406;194592;9436;;;
75057;"29-750";"29-750-57";"29";2;"Placówki zagraniczne";8;43927;;14672;28090;1165;;;
75076;"29-750";"29-750-76";"29";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii";9;590;;;590;;;;
752;"29";"29-752";"29";1;"Obrona narodowa";10;19887120;174175;907860;12340807;6464278;;;
75201;"29-752";"29-752-01";"29";2;"Wojska Lądowe";11;2870457;;196360;2674097;;;;
75202;"29-752";"29-752-02";"29";2;"Siły powietrzne";12;1360557;;78731;1281826;;;;
75203;"29-752";"29-752-03";"29";2;"Marynarka Wojenna";13;605460;;37202;568258;;;;
75204;"29-752";"29-752-04";"29";2;"Centralne wsparcie";14;8098217;;13899;2234970;5849348;;;
75207;"29-752";"29-752-07";"29";2;"Żandarmeria Wojskowa";15;228304;;15534;212770;;;;
75208;"29-752";"29-752-08";"29";2;"Ordynariat Polowy Wojska Polskiego Polskiego ";16;20530;;332;20198;;;;
75209;"29-752";"29-752-09";"29";2;"Prawosławny Ordynariat Wojska";17;2682;;47;2635;;;;
75210;"29-752";"29-752-10";"29";2;"Ewangelickie Duszpasterstwo  Wojskowe";18;1655;;37;1618;;;;
75213;"29-752";"29-752-13";"29";2;"Dowodzenie i kierowanie Siłami Zbrojnymi Rzeczypospolitej  Polskiej";19;414508;;10895;403613;;;;
75215;"29-752";"29-752-15";"29";2;"Zadania związane z utrzymaniem mocy rezerwowych ze względu na potrzeby Sił Zbrojnych Rzeczypospolitej  Polskiej";20;23000;23000;;;;;;
75216;"29-752";"29-752-16";"29";2;"Wojskowe Misje Pokojowe";21;1224435;;393635;254360;576440;;;
75217;"29-752";"29-752-17";"29";2;"Służba Wywiadu Wojskowego";22;106260;;2748;84975;18537;;;
75218;"29-752";"29-752-18";"29";2;"Służba Kontrwywiadu Wojskowego";23;157503;;4910;132640;19953;;;
75219;"29-752";"29-752-19";"29";2;"Wojska Specjalne";24;242448;;11278;231170;;;;
75220;"29-752";"29-752-20";"29";2;"Zabezpieczenie  wojsk";25;3765284;;49684;3715600;;;;
75295;"29-752";"29-752-95";"29";2;"Pozostała działalność";26;765820;151175;92568;522077;;;;
753;"29";"29-753";"29";1;"Obowiązkowe ubezpieczenia społeczne";27;6019216;;705936;307545;5735;;;
75301;"29-753";"29-753-01";"29";2;"Świadczenia pieniężne z zaopatrzenia emerytalnego ";28;6018897;;705617;307545;5735;;;
75302;"29-753";"29-753-02";"29";2;"Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne";29;319;;319;;;;;
755;"29";"29-755";"29";1;"Wymiar sprawiedliwości";30;59565;;1327;56401;1837;;;
75503;"29-755";"29-755-03";"29";2;"Sądy wojskowe";31;20289;;620;18852;817;;;
75506;"29-755";"29-755-06";"29";2;"Wojskowe jednostki organizacyjne prokuratury";32;39276;;707;37549;1020;;;
803;"29";"29-803";"29";1;"Szkolnictwo wyższe";33;155677;129534;70;;26073;;;
80302;"29-803";"29-803-02";"29";2;"Uczelnie wojskowe";34;155677;129534;70;;26073;;;
851;"29";"29-851";"29";1;"Ochrona zdrowia";35;260071;2549;3714;157314;96494;;;
85156;"29-851";"29-851-56";"29";2;"Składki na ubezpieczenie zdrowotne oraz świadczenia dla osób nieobjętych obowiązkiem ubezpieczenia zdrowotnego";36;2113;;;2113;;;;
85157;"29-851";"29-851-57";"29";2;"Staże i specjalizacje medyczne";37;282;;;282;;;;
85195;"29-851";"29-851-95";"29";2;"Pozostała działalność";38;257676;2549;3714;154919;96494;;;
921;"29";"29-921";"29";1;"Kultura i ochrona dziedzictwa narodowego";39;55388;23698;;;31690;;;
92114;"29-921";"29-921-14";"29";2;"Pozostałe instytucje kultury";40;7173;7173;;;;;;
92118;"29-921";"29-921-18";"29";2;"Muzea";41;48215;16525;;;31690;;;
"30";;"30";"30";0;"OŚWIATA I WYCHOWANIE";1;409582;32385;11568;310719;5917;;;48993
150;"30";"30-150";"30";1;"Przetwórstwo przemysłowe";2;1000;1000;;;;;;
15002;"30-150";"30-150-02";"30";2;"Wydawanie podręczników szkolnych i akademickich";3;1000;1000;;;;;;
750;"30";"30-750";"30";1;"Administracja publiczna";4;51714;;59;39270;2950;;;9435
75001;"30-750";"30-750-01";"30";2;"Urzędy naczelnych i centralnych organów administracji rządowej";5;50229;;59;37785;2950;;;9435
75076;"30-750";"30-750-76";"30";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";6;1485;;;1485;;;;
752;"30";"30-752";"30";1;"Obrona narodowa";7;14;;;14;;;;
75212;"30-752";"30-752-12";"30";2;"Pozostałe wydatki obronne";8;14;;;14;;;;
754;"30";"30-754";"30";1;"Bezpieczeństwo  publiczne i ochrona przeciwpożarowa";9;15;;;15;;;;
75421;"30-754";"30-754-21";"30";2;"Zarządzanie kryzysowe";10;15;;;15;;;;
801;"30";"30-801";"30";1;"Oświata i wychowanie";11;345709;21335;10549;271300;2967;;;39558
80135;"30-801";"30-801-35";"30";2;"Szkolnictwo polskie za granicą ";12;36507;;5308;30899;300;;;
80143;"30-801";"30-801-43";"30";2;"Jednostki pomocnicze szkolnictwa";13;7214;;27;5274;374;;;1539
80145;"30-801";"30-801-45";"30";2;"Komisje egzaminacyjne";14;195018;;65;186172;1698;;;7083
80146;"30-801";"30-801-46";"30";2;"Dokształcanie i doskonalenie nauczycieli";15;33489;;98;26451;595;;;6345
80195;"30-801";"30-801-95";"30";2;"Pozostała działalność";16;73481;21335;5051;22504;;;;24591
854;"30";"30-854";"30";1;"Edukacyjna opieka wychowawcza";17;2880;1800;960;120;;;;
85412;"30-854";"30-854-12";"30";2;"Kolonie i obozy oraz inne formy wypoczynku dzieci i młodzieży szkolnej, a także szkolenia młodzieży";18;1320;1200;;120;;;;
85413;"30-854";"30-854-13";"30";2;"Kolonie i obozy dla młodzieży polonijnej w kraju";19;600;600;;;;;;
85415;"30-854";"30-854-15";"30";2;"Pomoc materialna dla uczniów";20;960;;960;;;;;
921;"30";"30-921";"30";1;"Kultura i ochrona dziedzictwa narodowego";21;8250;8250;;;;;;
92114;"30-921";"30-921-14";"30";2;"Pozostałe instytucje kultury";22;8250;8250;;;;;;
"31";;"31";"31";0;"PRACA";1;365495;;293;251437;6897;;;106868
150;"31";"31-150";"31";1;"Przetwórstwo przemysłowe";2;66634;;42;3327;;;;63265
15001;"31-150";"31-150-01";"31";2;"Drukarnie";3;3369;;42;3327;;;;
15011;"31-150";"31-150-11";"31";2;"Rozwój przedsiębiorczości";4;10212;;;;;;;10212
15012;"31-150";"31-150-12";"31";2;"Polska Agencja Rozwoju Przedsiębiorczości";5;53053;;;;;;;53053
750;"31";"31-750";"31";1;"Administracja publiczna";6;122689;;101;79541;3647;;;39400
75001;"31-750";"31-750-01";"31";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;62058;;30;45694;3435;;;12899
75071;"31-750";"31-750-71";"31";2;"Centrum Rozwoju Zasobów Ludzkich";8;32919;;24;6322;72;;;26501
75072;"31-750";"31-750-72";"31";2;"Centrum Partnerstwa Społecznego „Dialog”";9;2236;;2;2094;140;;;
75076;"31-750";"31-750-76";"31";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";10;883;;;883;;;;
75095;"31-750";"31-750-95";"31";2;"Pozostała działalność";11;24593;;45;24548;;;;
752;"31";"31-752";"31";1;"Obrona narodowa";12;15;;;15;;;;
75212;"31-752";"31-752-12";"31";2;"Pozostałe wydatki obronne";13;15;;;15;;;;
853;"31";"31-853";"31";1;"Pozostałe zadania w zakresie polityki społecznej";14;174544;;150;166941;3250;;;4203
85336;"31-853";"31-853-36";"31";2;"Ochotnicze Hufce Pracy";15;174544;;150;166941;3250;;;4203
921;"31";"31-921";"31";1;"Kultura i ochrona dziedzictwa narodowego";16;1613;;;1613;;;;
92116;"31-921";"31-921-16";"31";2;"Biblioteki";17;1613;;;1613;;;;
"32";;"32";"32";0;"ROLNICTWO";1;748171;390291;4542;281845;12792;;;58701
10;"32";"32-010";"32";1;"Rolnictwo i łowiectwo";2;422049;340278;152;80215;1379;;;25
1011;"32-010";"32-010-11";"32";2;"Krajowa Stacja Chemiczno-Rolnicza";3;36734;;53;36531;150;;;
1013;"32-010";"32-010-13";"32";2;"Centralny Ośrodek Badania Odmian Roślin Uprawnych";4;28119;28119;;;;;;
1015;"32-010";"32-010-15";"32";2;"Postęp biologiczny w produkcji roślinnej";5;18594;18594;;;;;;
1017;"32-010";"32-010-17";"32";2;"Ochrona roślin";6;2521;2521;;;;;;
1018;"32-010";"32-010-18";"32";2;"Rolnictwo ekologiczne";7;5220;5220;;;;;;
1019;"32-010";"32-010-19";"32";2;"Krajowe Centrum Hodowli Zwierząt";8;9805;;40;9765;;;;
1020;"32-010";"32-010-20";"32";2;"Postęp biologiczny w produkcji zwierzęcej";9;98195;98195;;;;;;
1021;"32-010";"32-010-21";"32";2;"Główny Inspektorat Weterynarii";10;10482;;;10482;;;;
1026;"32-010";"32-010-26";"32";2;"Dopłaty do ubezpieczeń upraw rolnych i zwierząt gospodarskich";11;100000;100000;;;;;;
1032;"32-010";"32-010-32";"32";2;"Inspekcja Ochrony Roślin i Nasiennictwa";12;10254;;8;10246;;;;
1035;"32-010";"32-010-35";"32";2;"Graniczne inspektoraty weterynarii";13;9410;;11;9384;15;;;
1095;"32-010";"32-010-95";"32";2;"Pozostała działalność";14;92715;87629;40;3807;1214;;;25
730;"32";"32-730";"32";1;"Nauka";15;44000;44000;;;;;;
73095;"32-730";"32-730-95";"32";2;"Pozostała działalność";16;44000;44000;;;;;;
750;"32";"32-750";"32";1;"Administracja publiczna";17;115256;;97;56063;5787;;;53309
75001;"32-750";"32-750-01";"32";2;"Urzędy naczelnych i centralnych organów administracji rządowej";18;111381;;97;52188;5787;;;53309
75076;"32-750";"32-750-76";"32";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";19;3875;;;3875;;;;
752;"32";"32-752";"32";1;"Obrona narodowa";20;35;;;35;;;;
75212;"32-752";"32-752-12";"32";2;"Pozostałe wydatki obronne";21;35;;;35;;;;
801;"32";"32-801";"32";1;"Oświata i wychowanie";22;142116;620;3908;126744;5626;;;5218
80130;"32-801";"32-801-30";"32";2;"Szkoły zawodowe";23;139945;;3903;125322;5626;;;5094
80146;"32-801";"32-801-46";"32";2;"Dokształcanie i doskonalenie nauczycieli";24;1551;;5;1422;;;;124
80195;"32-801";"32-801-95";"32";2;"Pozostała działalność";25;620;620;;;;;;
854;"32";"32-854";"32";1;"Edukacyjna opieka wychowawcza";26;19322;;385;18788;;;;149
85410;"32-854";"32-854-10";"32";2;"Internaty i bursy szkolne";27;19322;;385;18788;;;;149
921;"32";"32-921";"32";1;"Kultura i ochrona dziedzictwa narodowego";28;5393;5393;;;;;;
92116;"32-921";"32-921-16";"32";2;"Biblioteki";29;3905;3905;;;;;;
92118;"32-921";"32-921-18";"32";2;"Muzea";30;1488;1488;;;;;;
"33";;"33";"33";0;"ROZWÓJ WSI";1;5155677;1887470;45;14032;197700;;;3056430
10;"33";"33-010";"33";1;"Rolnictwo i łowiectwo";2;5142306;1887432;10;734;197700;;;3056430
1001;"33-010";"33-010-01";"33";2;"Centrum Doradztwa Rolniczego";3;12133;11433;;;700;;;
1027;"33-010";"33-010-27";"33";2;"Agencja Restrukturyzacji  i Modernizacji Rolnictwa";4;5129429;1875999;;;197000;;;3056430
1095;"33-010";"33-010-95";"33";2;"Pozostała działalność";5;744;;10;734;;;;
750;"33";"33-750";"33";1;"Administracja publiczna";6;13361;38;35;13288;;;;
75001;"33-750";"33-750-01";"33";2;"Urzędy naczelnych i centralnych organów administracji rządowej";7;13126;;35;13091;;;;
75076;"33-750";"33-750-76";"33";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";8;235;38;;197;;;;
752;"33";"33-752";"33";1;"Obrona narodowa";9;10;;;10;;;;
75212;"33-752";"33-752-12";"33";2;"Pozostałe wydatki obronne";10;10;;;10;;;;
"34";;"34";"34";0;"ROZWÓJ REGIONALNY";1;1496535;;435;34837;2314;;;1458949
150;"34";"34-150";"34";1;"Przetwórstwo przemysłowe";2;51198;;;;;;;51198
15012;"34-150";"34-150-12";"34";2;"Polska Agencja Rozwoju Przedsiębiorczości";3;38144;;;;;;;38144
15095;"34-150";"34-150-95";"34";2;"Pozostała działalność";4;13054;;;;;;;13054
750;"34";"34-750";"34";1;"Administracja publiczna";5;437538;;435;34829;2314;;;399960
75001;"34-750";"34-750-01";"34";2;"Urzędy naczelnych i centralnych organów administracji rządowej";6;276666;;170;31626;2314;;;242556
75018;"34-750";"34-750-18";"34";2;"Urzędy marszałkowskie";7;101090;;;;;;;101090
75057;"34-750";"34-750-57";"34";2;"Placówki zagraniczne";8;824;;256;568;;;;
75076;"34-750";"34-750-76";"34";2;"Przygotowanie i sprawowanie przewodnictwa w Radzie Unii Europejskiej";9;1295;;;1295;;;;
75095;"34-750";"34-750-95";"34";2;"Pozostała działalność";10;57663;;9;1340;;;;56314
752;"34";"34-752";"34";1;"Obrona narodowa";11;8;;;8;;;;
75212;"34-752";"34-752-12";"34";2;"Pozostałe wydatki obronne";12;8;;;8;;;;
755;"34";"34-755";"34";1;"Wymiar sprawiedliwości";13;337;;;;;;;337
