"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Cały kraj/ Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"POIG.04.04.00-02-014/08-05";"Innowacyjny wkład firmy ""Heiche - Matusewicz"" w rozwój technologii galwanizacji w przemyśle samochodowym.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat oławski";"Oława";"10,248,000.00";"8,400,000.00";"4,200,000.00";"3,570,000.00";"""HEICHE POLSKA"" Spółka z ograniczoną odpowiedzialnością";"8971713149";"52-016";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-02-014/08-01";"Tak";"2008/12/30";"2011/03/10"
"POIG.04.04.00-02-015/08-08";"Dywersyfikacja produkcji poprzez wdrożenie innowacyjnej technologii wytwarzania mebli lekkich";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat oławski";"Oława - miasto";"10,172,886.37";"8,171,938.00";"4,083,969.00";"3,471,373.65";"STANDIS POLSKA Sp. z o.o.";"8951768101";"55-200";"Oława";"Dolnośląskie";"Powiat oławski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/10/25"
"POIG.04.04.00-02-016/08-05";"Mieszanki mineralno-asfaltowe nowej generacji";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat oleśnicki";"Oleśnica";"13,161,900.00";"8,769,800.00";"4,384,900.00";"3,727,165.00";"POL-DRÓG OLEŚNICA SA";"9111729128";"56-400";"Oleśnica";"Dolnośląskie";"Powiat oleśnicki";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/11/09"
"POIG.04.04.00-02-019/08-08";"Uruchomienie innowacyjnej produkcji ekologicznych płyt celulozowo - cementowych.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat trzebnicki";"Prusice";"95,615,060.00";"77,373,000.00";"38,686,500.00";"32,883,525.00";"""Panda Trzebnica"" Spółka z ograniczoną odpowiedzialnością";"9151565621";"55-100";"Trzebnica";"Dolnośląskie";"Powiat trzebnicki";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-02-019/08-05";"Nie";"2008/12/30";"2011/05/05"
"POIG.04.04.00-02-029/08-06";"Biotechnologia w służbie środowiska";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat jaworski";"Jawor";"11,227,028.11";"9,391,314.00";"3,756,525.60";"3,193,046.76";"Global Pollena Spółka Akcyjna Fabryka Chemii Gospodarczej";"6950002732";"59-400";"Jawor";"Dolnośląskie";"Powiat jaworski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka akcyjna - duże przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/05/23"
"POIG.04.04.00-02-034/08-05";"Wdrożenie innowacyjnej technologii produkcji ortopedycznych elementów implantacyjnych Spółki Michael Bubolz";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat m. Wrocław";"M. Wrocław";"17,885,500.00";"17,773,500.00";"8,886,750.00";"7,553,737.50";"Michael Bubolz spółka z ograniczoną odpowiedzialnością";"8971720362";"55-011";"Siechnice";"Dolnośląskie";"Powiat wrocławski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/12/01"
"POIG.04.04.00-02-034/08-05";"Wdrożenie innowacyjnej technologii produkcji ortopedycznych elementów implantacyjnych Spółki Michael Bubolz";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Dolnośląskie";"Powiat wrocławski";"Siechnice";"17,885,500.00";"17,773,500.00";"8,886,750.00";"7,553,737.50";"Michael Bubolz spółka z ograniczoną odpowiedzialnością";"8971720362";"55-011";"Siechnice";"Dolnośląskie";"Powiat wrocławski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2010/12/01"
"POIG.04.04.00-04-001/08-04";"Zakład Budowy Stacji Uzdatniania Wody";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Grudziądz";"M. Grudziądz";"11,012,940.00";"8,642,000.00";"5,984,400.00";"5,086,740.00";"Centrum Badawczo Wdrożeniowe UNITEX Spółka z ograniczoną odpowiedzialnością";"5840152269";"80-386";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - małe przedsiębiorstwo";"00 Nie dotyczy";"POIG.04.04.00-04-001/08-09";"Nie";"2008/12/30";"2010/07/22"
"POIG.04.04.00-04-003/08-06";"Dywersyfikacja produkcji materiałów sklejanych i samoprzylepnych";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat bydgoski";"Solec Kujawski";"15,892,600.00";"11,830,000.00";"7,095,000.00";"6,030,750.00";"Papiery Powlekane ""PASACO"" spółka z ograniczoną odpowiedzialnością";"5541013399";"86-050";"Solec Kujawski";"Kujawsko-pomorskie";"Powiat bydgoski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/01/21"
"POIG.04.04.00-04-004/08-12";"Dywersyfikacja usług poprzez zastosowanie innowacyjnej technologii do obróbki wielkogabarytowych blach i profili.";"Program Operacyjny Innowacyjna Gospodarka";"POIG.04.00.00";"POIG.04.04.00";"";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"M. Bydgoszcz";"26,227,072.67";"19,354,325.83";"13,548,028.08";"11,515,823.87";"AIRON INVESTMENT Anna Niemczewska";"9531008306";"86-010";"Koronowo";"Kujawsko-pomorskie";"Powiat bydgoski";"07 Inwestycje w przedsiębiorstwa bezpośrednio związane z dziedziną badań i innowacji (innowacyjne technologie, tworzenie przedsiębiorstw przez uczelnie, istniejące ośrodki B+RT i przedsiębiorstwa itp.)";"osoba fizyczna prowadząca działalność gospodarczą - małe przedsiębiorstwo";"00 Nie dotyczy";"";"";"2008/12/30";"2011/05/05"
