"Numer umowy/decyzji";"Tytuł projektu";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Województwo";"Powiat";"Gmina";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"RPMA.08.01.00-14-004/07-00";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO NA LATA 2007 - 2013. CZĘŚĆ A PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2007 r.";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"Mazowieckie";"";"";"930,000.00";"930,000.00";"790,500.00";"790,500.00";"Urząd Marszałkowski Województwa Mazowieckiego";"5252087227";"03-719";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-004/07-01";"Tak";"2007/10/23";"2008/09/02"
"RPMA.08.02.00-14-001/07-01";"PLAN DZIAŁAŃ POMOCY TECHNICZNEJ NA LATA 2007 - 2008 W RAMACH REGIONALNEGO PROGRAMU OPERACYJNEGO WOJEWÓDZTWA MAZOWIECKIEGO 2007 - 2013. CZĘŚĆ A PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO NA 2007 r.";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.02.00";"";"Mazowieckie";"";"";"200,000.00";"200,000.00";"170,000.00";"170,000.00";"Mazowiecka Jednostka Wdrażania Programów Unijnych";"1132669019";"03-301";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2007/10/30";"2009/02/26"
"RPMP.09.01.00-12-001/07-00";"Przygotowanie i pełnienie funkcji Instytucji Zarządzającej MRPO 2007 - 2013";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"94,516.00";"94,516.00";"80,338.00";"80,338.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-001/07-01";"Tak";"2007/12/17";"2008/08/18"
"RPMP.09.01.00-12-002/07-00";"Organizacja i obsługa posiedzeń Regionalnego Komitetu Monitorującego";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"29,181.00";"15,000.00";"12,750.00";"12,750.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-002/07-01";"Tak";"2007/02/26";"2008/08/19"
"RPMP.09.01.00-12-004/07-00";"Budowa i rozwój Regionalnego Systemu Informatycznego dla MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"123,500.00";"123,500.00";"104,975.00";"104,975.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-004/07-01";"Tak";"2007/10/02";"2008/08/19"
"RPMP.09.01.00-12-005/07-00";"Pomoc Techniczna MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"4,737,000.00";"4,737,000.00";"4,026,450.00";"4,026,450.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-005/07-02";"Tak";"2007/02/26";"2008/08/19"
"RPMP.09.01.00-12-006/07-00";"Programowanie rozwoju województwa";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"44,673.90";"44,673.90";"37,973.30";"37,973.30";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-006/07-01";"Tak";"2007/09/20";"2008/08/19"
"RPMP.09.01.00-12-007/08-01";"Ewaluacja MRPO i Małopolski Project Pipeline - Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"1,715,000.00";"1,715,000.00";"1,457,750.00";"1,457,750.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-007/08-18";"Tak";"2007/12/17";"2008/08/19"
"RPMP.09.01.00-12-008/08-00";"Monitoring MRPO - Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"253,500.00";"253,500.00";"215,475.00";"215,475.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-008/08-12";"Tak";"2007/12/17";"2008/08/19"
"RPMP.09.01.00-12-009/08-00";"Zarządzanie finansowe MRPO - Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"80,000.00";"80,000.00";"68,000.00";"68,000.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-009/08-18";"Tak";"2007/12/17";"2008/08/19"
"RPMP.09.01.00-12-012/08-01";"Analizy i badania oraz usługi zewnętrzne na potrzeby wspierania wdrażania MRPO 0 Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"160,000.00";"160,000.00";"136,000.00";"136,000.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-012/08-12";"Tak";"2007/12/17";"2008/09/15"
"RPMP.09.01.00-12-013/08-01";"Budowa i rozwój systemu informatycznego w ramach MRPO - Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"451,094.00";"451,094.00";"383,430.00";"383,430.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-013/08-18";"Tak";"2007/12/17";"2008/09/24"
"RPMP.09.01.00-12-014/08-01";"Obsługa procesu oceny projektów złożonych do MRPO 2007-2013 - Priorytet 9 PT MRPO";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"375,000.00";"375,000.00";"318,750.00";"318,750.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-014/08-12";"Tak";"2007/12/17";"2008/09/15"
"RPMP.09.01.00-12-015/08-01";"Pomoc Techniczna MRPO - zasoby ludzkie";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"9,070,000.00";"9,070,000.00";"7,709,501.00";"7,709,501.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-015/08-12";"Tak";"2007/12/17";"2008/08/19"
"RPMP.09.01.00-12-016/08-03";"Pomoc Techniczna Priorytet 9 PT MRPO - seminaria w zakresie zarządzania i wdrażania";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"Małopolskie";"";"";"618,000.00";"618,000.00";"525,300.00";"525,300.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-016/08-12";"Tak";"2007/12/17";"2008/08/21"
