"id";"Typ";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"33-10";"Projekt";"Zaawansowane materiały i technologie ich wytwarzania
";"POIG.01.01.02-00-015/09-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"79,577,915.20";"79,577,915.20";"79,577,915.20";"67,641,227.92";"Instytut Metali Nieżelaznych";"6310200771";"44-100";"Gliwice";"Śląskie";"Powiat m. Gliwice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/05/18";"2011/05/20"
"33-11";"Projekt";"Modelowe kompleksy agroenergetyczne jako przykład kogenereacji rozproszonej opartej na lokalnych i odnawialnych źródłach energii.";"POIG.01.01.02-00-016/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"40,164,641.96";"39,150,873.32";"39,150,873.32";"33,278,242.32";"Instytut Maszyn Przepływowych im. Roberta Szewalskiego PAN";"5840357882";"80-231";"Gdańsk";"Pomorskie";"Powiat m. Gdańsk";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.01.02-00-016/08-32";"Nie";"2011/02/24";"2011/03/02"
"33-12";"Projekt";"Bioimplanty dla potrzeb leczenia ubytków tkanki kostnej u chorych onkologicznych
";"POIG.01.01.02-00-022/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"32,341,095.30";"31,795,800.00";"31,795,800.00";"27,026,430.00";"Politechnika Warszawska";"5250005834";"00-661";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/05/12";"2011/05/17"
"33-13";"Projekt";"Inżynieria Internetu Przyszłości
";"POIG.01.01.02-00-045/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"40,426,087.08";"39,729,125.36";"39,729,125.36";"33,769,756.56";"Politechnika Warszawska";"5250005834";"00-661";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-045/09-19";"Nie";"2011/02/15";"2011/02/17"
"33-14";"Projekt";"Nowa żywność bioaktywna o zaprogramowanych właściwościach prozdrowotnych
";"POIG.01.01.02-00-061/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"39,995,510.81";"35,141,315.27";"35,141,315.27";"29,870,117.98";"Uniwersytet Przyrodniczy w Poznaniu";"7770004960";"60-637";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/20";"2011/04/22"
"33-15";"Projekt";"Śródbłonek naczyniowy w chorobach cywilizacyjnych: od badań poznawczych do oferty innowacyjnego leku o działaniu śródbłonkowym
";"POIG.01.01.02-00-069/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"63,504,460.08";"62,609,375.42";"62,609,375.42";"53,217,969.11";"Uniwersytet Jagielloński";"6750002236";"31-007";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"Szkoła/Uczelnia Wyższa";"00 Nie dotyczy";"";"";"2011/04/21";"2011/04/26"
"33-16";"Projekt";"Biotechnologiczna konwersja glicerolu do polioli i kwasów dikarboksylowych
";"POIG.01.01.02-00-074/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"27,667,004.53";"25,724,539.10";"25,724,539.10";"21,865,858.24";"Uniwersytet Przyrodniczy w Poznaniu";"7770004960";"60-637";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-074/09-19";"Nie";"2011/03/23";"2011/03/25"
"33-17";"Projekt";"Nowa generacja energooszczędnych napędów elektrycznych do pomp i wentylatorów dla górnictwa
";"POIG.01.01.02-00-113/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"14,310,151.00";"13,991,378.00";"13,991,378.00";"11,892,671.30";"Politechnika Poznańska";"7770003699";"60-965";"Poznań";"";"";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-113/09-18";"Nie";"2011/02/23";"2011/02/25"
"33-18";"Projekt";"Poprawa efektywności badań sejsmicznych w poszukiwaniach i rozpoznawaniu złóż gazu w utworach formacji czerwonego spągowca
";"POIG.01.01.02-00-122/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.01.00";"POIG.01.01.02";"20,805,454.00";"20,805,454.00";"20,805,454.00";"17,684,635.90";"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie";"6750001923";"30-059";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.01.02-00-122/09-18";"Nie";"2011/03/04";"2011/03/07"
"33-19";"Projekt";"Optymalizacja charakterystyki i przygotowywania preparatów fagowych do celów terapeutycznych";"POIG.01.03.01-00-003/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"13,660,000.00";"13,660,000.00";"13,660,000.00";"11,611,000.00";"Instytut Immunologii i Terapii Doświadczalnej im. Ludwika Hirszfelda PAN";"8960005696";"53-114";"Wrocław";"Dolnośląskie";"Powiat m. Wrocław";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-003/08-09";"Nie";"2011/02/15";"2011/02/18"
"33-20";"Projekt";"Funkcjonalne nano- i mikromateriały włokiennicze.";"POIG.01.03.01-00-004/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"21,575,362.91";"21,560,000.00";"21,560,000.00";"18,326,000.00";"Instytut Włókiennictwa";"7240000664";"92-103";"Łódź";"Łódzkie";"Powiat m. Łódź";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-004/08-20";"Nie";"2011/02/25";"2011/03/08"
"33-21";"Projekt";"Nowe, wielofunkcyjne substytuty kostne, o wysokiej poręczności chirurgicznej";"POIG.01.03.01-00-005/09-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"5,342,000.00";"5,342,000.00";"5,342,000.00";"4,540,700.00";"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie";"6750001923";"30-059";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/05/02";"2011/05/26"
"33-22";"Projekt";"Barierowe materiały nowej generacji chroniące człowieka przed szkodliwym działaniem środowiska";"POIG.01.03.01-00-006/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"15,503,445.69";"15,450,000.00";"15,450,000.00";"13,132,500.00";"Instytut Włókiennictwa";"7240000664";"92-103";"Łódź";"Łódzkie";"Powiat m. Łódź";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-006/08-21";"Nie";"2011/02/15";"2011/02/18"
"33-23";"Projekt";"Biodegradowalne wyroby włókniste";"POIG.01.03.01-00-007/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"35,934,686.11";"35,579,999.82";"35,579,999.82";"30,242,999.85";"Politechnika Łódzka";"7270021895";"90-924";"Łódź";"Łódzkie";"Powiat m. Łódź";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-007/08-26";"Nie";"2011/02/15";"2011/02/18"
"33-24";"Projekt";"Nowe technologie informacyjne dla elektronicznej gospodarki i społeczeństwa informacyjnego oparte na paradygmacie SOA";"POIG.01.03.01-00-008/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"36,290,000.00";"36,290,000.00";"36,290,000.00";"30,846,500.00";"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie";"6750001923";"30-059";"Kraków";"Małopolskie";"Powiat m. Kraków";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-008/08-34";"Nie";"2011/02/25";"2011/03/09"
"33-25";"Projekt";"Kompozyty i Nanokompozyty Ceramiczno-Metalowe dla Przemysłu Lotniczego i Samochodowego (Akronim: KomCerMet)";"POIG.01.03.01-00-013/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"23,360,000.00";"23,360,000.00";"23,360,000.00";"19,856,000.00";"Instytut Podstawowych Problemów Techniki PAN";"5250008979";"02-106";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-013/08-25";"Nie";"2011/02/25";"2011/03/10"
"33-26";"Projekt";"Nowe materiały metaliczne o strukturze nanometrycznej do zastosowania w nowoczesnych gałęziach gospodarki";"POIG.01.03.01-00-015/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"38,375,173.55";"36,290,000.00";"36,290,000.00";"30,846,500.00";"Politechnika Warszawska";"5250005834";"00-661";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-015/08-28";"Nie";"2011/02/23";"2011/03/01"
"33-27";"Projekt";"Materiały opakowaniowe nowej generacji z tworzywa polimerowego ulegającego recyklingowi organicznemu";"POIG.01.03.01-00-018/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"19,404,023.40";"19,400,000.00";"19,400,000.00";"16,490,000.00";"Centrum Materiałów Polimerowych i Węglowych PAN";"6480006714";"41-819";"Zabrze";"Śląskie";"Powiat m. Zabrze";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-018/08-23";"Nie";"2011/02/23";"2011/02/25"
"33-28";"Projekt";"Zagospodarowanie biogliceryny do syntez chemicznych";"POIG.01.03.01-00-021/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"5,203,964.54";"4,780,826.32";"4,780,826.32";"4,063,702.37";"Instytut Ciężkiej Syntezy Organicznej ""Blachownia""";"7490007064";"47-225";"KĘDZIERZYN-KOŹLE";"Opolskie";"Powiat kędzierzyńsko-kozielski";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/05/25";"2011/05/26"
"33-29";"Projekt";"Materiały polimerowe otrzymywane innowacyjnymi technikami przetwórstwa odpadów z elektroniki i samochodów";"POIG.01.03.01-00-025/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"4,073,518.87";"3,987,960.00";"3,987,960.00";"3,389,766.00";"Główny Instytut Górnictwa";"6340126016";"40-166";"Katowice";"Śląskie";"Powiat m. Katowice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-025/08-14";"Nie";"2011/04/19";"2011/04/22"
"33-30";"Projekt";"Wykorzystanie materiałów i konstrukcji inteligentnych do opracowania koncepcji i wykonania innowacyjnego systemu łożyskowania wirników mikroturbin energetycznych";"POIG.01.03.01-00-027/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"7,388,282.00";"7,388,282.00";"7,388,282.00";"6,280,039.70";"Uniwersytet Warmińsko-Mazurski w Olsztynie";"7393033097";"10-719";"Olsztyn";"Warmińsko-mazurskie";"Powiat m. Olsztyn";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"";"";"2011/04/28";"2011/04/29"
"33-31";"Projekt";"Opracowanie systemu uprawy gleby dla rolnictwa zrównoważonego.";"POIG.01.03.01-00-042/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"3,575,674.00";"3,326,295.00";"3,326,295.00";"2,827,350.75";"Instytut Technologiczno-Przyrodniczy";"5342437004";"05-090";"Falenty";"Mazowieckie";"Powiat pruszkowski";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/05/13";"2011/05/13"
"33-32";"Projekt";"Kompozyty polimerowe o podwyższonej stabilności termicznej i obniżonej palności";"POIG.01.03.01-00-044/08-07";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"4,111,685.43";"4,093,600.00";"4,093,600.00";"3,479,560.00";"Główny Instytut Górnictwa";"6340126016";"40-166";"Katowice";"Śląskie";"Powiat m. Katowice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-044/08-19";"Nie";"2011/04/01";"2011/04/05"
"33-33";"Projekt";"Innowacyjne materiały do zastosowań w energooszczędnych i proekologicznych urządzeniach elektrycznych.";"POIG.01.03.01-00-058/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"16,145,083.00";"16,145,083.00";"16,145,083.00";"13,723,320.55";"Instytut Metali Nieżelaznych";"6310200771";"44-101";"Gliwice";"";"";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-058/08-23";"Nie";"2011/03/21";"2011/03/22"
"33-34";"Projekt";"Inteligentne pancerze pasywne z zastosowaniem cieczy reologicznych ze strukturami nano";"POIG.01.03.01-00-060/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"5,399,318.00";"5,279,892.87";"5,279,892.87";"4,487,908.94";"Politechnika Warszawska";"5250005834";"00-661";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-060/08-15";"Nie";"2011/03/21";"2011/03/21"
"33-35";"Projekt";"Optymalizacja diagnostyki i terapii zaburzeń rytmu serca i omdleń przy zastosowaniu inteligentnych rozwiązań telemetrycznych";"POIG.01.03.01-00-068/09-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"9,985,690.80";"9,985,690.80";"9,985,690.80";"8,487,837.18";"Instytut Kardiologii im. Prymasa Tysiąclecia Stefana Kardynała Wyszyńskiego";"5250008525";"04-628";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-068/09-15";"Nie";"2011/01/31";"2011/01/31"
"33-36";"Projekt";"Nanokompozyty polimerowe o zwiększonej odporności na działanie mikroorganizmów";"POIG.01.03.01-00-073/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"5,252,300.41";"4,930,000.00";"4,930,000.00";"4,190,500.00";"Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego";"5250007939";"01-793";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-073/08-23";"Nie";"2011/04/18";"2011/04/19"
"33-37";"Projekt";"Zaawansowane technologie wytwarzania materiałów funkcjonalnych do przewodzenia, przetwarzania, magazynowania energii";"POIG.01.03.01-00-086/09-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"18,116,234.00";"18,116,234.00";"18,116,234.00";"15,398,798.90";"Instytut Metali Nieżelaznych";"6310200771";"44-100";"Gliwice";"Śląskie";"Powiat m. Gliwice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-086/09-21";"Nie";"2011/03/17";"2011/03/18"
"33-38";"Projekt";" Termosterowalne polimery biozgodne jako zamienniki skóry do leczenia oparzeń i ran";"POIG.01.03.01-00-088/08-05";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"9,819,345.00";"9,819,345.00";"9,819,345.00";"8,346,443.25";"Centrum Materiałów Polimerowych i Węglowych PAN";"6480006714";"41-819";"Zabrze";"Śląskie";"Powiat m. Zabrze";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/05/19";"2011/05/19"
"33-39";"Projekt";"SYSTEM CIĄGŁEJ KONTROLI STOPNIA I TEMPA PROCESU STARZENIA PALIW PŁYNNYCH W TRAKCIE MAGAZYNOWANIA";"POIG.01.03.01-00-106/09-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"7,667,555.79";"6,980,220.66";"6,980,220.66";"5,933,187.56";"Przemysłowy Instytut Motoryzacji";"5250008821";"03-301";"Warszawa ";"Mazowieckie";"Powiat m. st. Warszawa";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-106/09-08";"Nie";"2011/02/28";"2011/03/07"
"33-40";"Projekt";"Polskie szczepy Trichoderma w ochronie roślin i zagospodarowaniu odpadów organicznych.";"POIG.01.03.01-00-129/09-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"12,055,055.23";"11,169,299.44";"11,169,299.44";"9,493,904.52";"Instytut Ogrodnictwa";"8361848508";"96-100";"Skierniewice";"Łódzkie";"Powiat m. Skierniewice / Powiat skierniewicki";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"POIG.01.03.01-00-129/09-13";"Nie";"2011/03/11";"2011/03/14"
"33-41";"Projekt";"Opracowanie indeksu gatunkowego i optymalizacja technologii produkcji wybranych roślin energetycznych.";"POIG.01.03.01-00-132/08-06";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"11,296,214.42";"11,296,214.42";"11,296,214.42";"9,601,782.26";"Uniwersytet Przyrodniczy w Poznaniu";"7770004960";"60-637";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"uczelnia wyższa";"00 Nie dotyczy";"POIG.01.03.01-00-132/08-18";"Nie";"2011/03/31";"2011/04/06"
"33-42";"Projekt";"Środowisko rozwojowe produktów i systemów  informatycznych o podwyższonych wymaganiach bezpieczeństwa";"POIG.01.03.01-00-156/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.01.00.00";"POIG.01.03.00";"POIG.01.03.01";"5,572,120.00";"5,441,000.00";"5,441,000.00";"4,624,850.00";"Instytut Technik Innowacyjnych EMAG";"6340125399";"40-189";"Katowice";"Śląskie";"Powiat m. Katowice";"01 Działalność B+RT prowadzona w ośrodkach badawczych";"jednostka naukowa";"00 Nie dotyczy";"";"";"2011/05/10";"2011/05/11"
