"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"1";"Łódzkie";"";"";"";"";"";11914578.0;11914578.0;10127391.0;10127391.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1";"Roczny Plan Realizacji Działań na rok 2008 w ramach Pomocy Technicznej Regionalnego Programu Operacyjnego Województwa Łódzkiego";"RPLD.07.01.00-00-001/08-05";"Regionalny Program Operacyjny Województwa Łódzkiego";"RPLD.07.00.00";"RPLD.07.01.00";"";"11,914,578.00";"11,914,578.00";"10,127,391.00";"10,127,391.00";"Urząd Marszałkowski w Łodzi";"7251708148";"90-051";"Łódź";"Łódzkie";"Powiat m. Łódź";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2008/12/30";"2009/06/24"
"2";"Mazowieckie";"";"";"";"";"";3840476.0;3840476.0;3264404.6;3264404.6;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-1";"ROCZNY PLAN DZIAŁAŃ POMOCY TECHNICZNEJ RPO WM na 2008 rok. w zakresie wsparcia procesów zarządzania i wdrażania RPO WM";"RPMA.08.01.00-14-005/08-01";"Regionalny Program Operacyjny Województwa Mazowieckiego";"RPMA.08.00.00";"RPMA.08.01.00";"";"3,840,476.00";"3,840,476.00";"3,264,404.60";"3,264,404.60";"Urząd Marszałkowski Województwa Mazowieckiego";"5252087227";"03-719";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"00 Nie dotyczy";"RPMA.08.01.00-14-005/08-04";"Tak";"2008/12/02";"2008/12/05"
"3";"Małopolskie";"";"";"";"";"";982350.0;980350.0;833297.0;833297.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"3-1";"Pomoc Techniczna Priorytet 9 MRPO - delegacje zagraniczne";"RPMP.09.01.00-12-021/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.01.00";"";"22,350.00";"22,350.00";"18,997.00";"18,997.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.01.00-12-021/08-06";"Tak";"2008/07/03";"2008/08/20"
"3-2";"Pomoc Techniczna Priorytet 9 MRPO - Podróże służbowe";"RPMP.09.02.00-12-018/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"12,000.00";"12,000.00";"10,200.00";"10,200.00";"Urząd Marszałkowski Województwa Małopolskiego";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-018/08-08";"Tak";"2008/05/29";"2008/08/21"
"3-3";"Działalność informacyjno - promocyjna Instytucji Pośredniczącej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - Priorytet 9 PT MRPO";"RPMP.09.02.00-12-020/08-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"350,000.00";"350,000.00";"297,500.00";"297,500.00";"Małopolskie Centrum Przedsiębiorczości";"6751378475";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-020/08-08";"Tak";"2008/05/08";"2008/08/20"
"3-4";"Działalność informacyjno - promocyjna Instytuacji Pośredniczącej II stopnia dla 2 osi priorytetowej MRPO ""Gospodarka regionalnej szansy"" - w 2009 roku - PT MRPO";"RPMP.09.02.00-12-038/09-00";"Regionalny Program Operacyjny Województwa Małopolskiego";"RPMP.09.00.00";"RPMP.09.02.00";"";"598,000.00";"596,000.00";"506,600.00";"506,600.00";"Małopolskie Centrum Przedsiębiorczości";"6751378475";"31-542";"Kraków";"Małopolskie";"Powiat m. Kraków";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"wojewódzka samorządowa jednostka organizacyjna";"01 Obszar miejski";"RPMP.09.02.00-12-038/09-12";"Tak";"2008/12/22";"2009/02/04"
"4";"Pomorskie";"";"";"";"";"";6928151.94;6928151.94;5196113.93;5196113.93;"";"";"";"";"";"";"";"";"";"";"";"";""
