"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"1";"Wielkopolskie";"";"";"";"";"";375246.2;375246.2;262672.34;262672.34;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1";"Powiat poznański";"";"";"";"";"";375246.2;375246.2;262672.34;262672.34;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-1-1";"Kampania informacyjno-edukacyjna dla mieszkańców Wielkopolski o zmianach klimatu na świecie i o zagrożeniach z tym związanych 
";"RPWP.03.03.00-30-006/08-00";"Regionalny Program Operacyjny Województwa Wielkopolskiego na lata 2007 - 2013";"RPWP.03.00.00";"RPWP.03.03.00";"";"375,246.20";"375,246.20";"262,672.34";"262,672.34";"Miasto Poznań";"7781029225";"61-841";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"51 Promowanie bioróżnorodności i ochrony przyrody (w tym NATURA 2000)";"wspólnota samorządowa";"01 Obszar miejski";"RPWP.03.03.00-30-006/08-02";"Tak";"2008/12/18";"2008/12/18"
