"id";"Typ";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"33-10";"Projekt";"Platforma Lokalizacyjno-Informacyjna z Centralną Bazą Danych (PLI CBD)";"POIG.07.01.00-00-002/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"19,441,214.00";"19,441,214.00";"19,441,214.00";"16,525,031.90";"Urząd Komunikacji Elektronicznej";"5272367496";"01-211";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-002/08-11";"Nie";"2009/03/20";"2011/04/05"
"33-11";"Projekt";"pl.ID - Polska ID karta";"POIG.07.01.00-00-003/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"370,000,000.00";"370,000,000.00";"370,000,000.00";"314,500,000.00";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-003/08-12";"Nie";"2009/06/05";"2010/04/29"
"33-12";"Projekt";"ePUAP 2";"POIG.07.01.00-00-004/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"141,418,200.00";"141,418,200.00";"141,418,200.00";"120,205,470.00";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"13 Usługi i aplikacje dla obywateli (e-zdrowie, e-administracja, e-edukacja, e-integracja itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-004/08-11";"Nie";"2009/06/05";"2010/04/29"
"33-13";"Projekt";"Informatyzacja wydziałów ksiąg wieczystych.";"POIG.07.01.00-00-005/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"29,968,168.00";"24,923,175.63";"21,620,944.00";"18,377,802.40";"Ministerstwo Sprawiedliwości";"5261673166";"00-950";"Warszawa";"";"";"15 Inne działania mające na celu poprawę dostępu MŚP do TIK i ich wydajne użytkowanie";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-005/08-03";"Nie";"2009/08/10";"2010/12/27"
"33-14";"Projekt";"Ogólnopolska sieć teleinformatyczna na potrzeby obsługi numeru alarmowego 112";"POIG.07.01.00-00-006/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"165,000,000.00";"165,000,000.00";"165,000,000.00";"140,250,000.00";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-006/09-11";"Nie";"2009/06/26";"2010/06/11"
"33-15";"Projekt";"Rozwój systemu informatycznego ZUS wspomagającego udostępnianie e-usług";"POIG.07.01.00-00-013/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"100,000,000.00";"100,000,000.00";"100,000,000.00";"85,000,000.00";"Zakład Ubezpieczeń Społecznych ";"5213017228";"00-701";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2009/12/16";"2011/04/05"
"33-16";"Projekt";"System Informacyjny Statystyki Publicznej (SISP)";"POIG.07.01.00-00-014/09-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"110,604,800.00";"110,604,800.00";"110,604,800.00";"94,014,080.00";"Główny Urząd Statystyczny ";"5261040828";"00-925";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"13 Usługi i aplikacje dla obywateli (e-zdrowie, e-administracja, e-edukacja, e-integracja itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-014/09-07";"Nie";"2009/06/30";"2010/05/24"
"33-17";"Projekt";"Centralna Ewidencja i Informacja o Działalności Gospodarczej";"POIG.07.01.00-00-015/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"28,749,766.00";"28,749,766.00";"28,749,766.00";"24,437,301.10";"Ministerstwo Gospodarki";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"13 Usługi i aplikacje dla obywateli (e-zdrowie, e-administracja, e-edukacja, e-integracja itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-015/09-08";"Nie";"2009/09/25";"2010/09/01"
"33-18";"Projekt";"Zintegrowana, wielousługowa platforma komunikacyjna Policji z funkcją e-Usług dla obywateli i przedsiębiorców.";"POIG.07.01.00-00-016/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"98,570,000.00";"98,570,000.00";"98,570,000.00";"83,784,500.00";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"11 Technologie informacyjne i komunikacyjne (dostęp, bezpieczeństwo, interoperacyjność, zapobieganie zagrożeniom, badania, innowacje, treści cyfrowe itp.)";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.07.01.00-00-016/09-06";"Nie";"2009/09/24";"2010/04/29"
"33-19";"Projekt";"Platforma Usług Elektronicznych dla klientów ZUS (PUE)";"POIG.07.01.00-00-017/09-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.07.00.00";"POIG.07.01.00";"";"101,526,000.00";"101,526,000.00";"101,526,000.00";"86,290,000.00";"Zakład Ubezpieczeń Społecznych";"5213017228";"01-748";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"13 Usługi i aplikacje dla obywateli (e-zdrowie, e-administracja, e-edukacja, e-integracja itp.)";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2009/09/22";"2011/04/05"
