"id";"Typ";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"33-33";"Projekt";"Wyposażenie Instytucji Pośredniczącej (Ministerstwa Spraw Wewnętrznych i Administracji) oraz Instytucji Wdrażających (Polskiej Agencji Rozwoju Przedsiębiorczości oraz Władzy Wdrażającej Programy Europejskie) – poprzez finansowanie kosztów wyposażenia stanowisk pracy pracowników zaangażowanych w realizację 7 i 8 osi priorytetowej PO IG w 2008 roku.
";"POIG.09.02.00-00-002/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"1,126,992.96";"1,126,992.96";"1,126,992.96";"957,944.02";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-002/08-04";"Tak";"2009/06/05";"2009/06/25"
"33-34";"Projekt";"Komputeryzacja i wyposażenie w sprzęt biurowy, materiały biurowe, eksploatacyjne, oprogramowanie komputerowe, szafy kartotekowe, zakup i finansowanie kosztów użytkowania telefonów służbowych pracowników IP i IW oraz utworzenie Lokalnego Systemu Informatycznego.";"POIG.09.02.00-00-003/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"2,350,611.61";"2,302,649.14";"2,302,649.14";"1,957,251.76";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-003/08-03";"Tak";"2009/07/10";"2009/07/10"
"33-35";"Projekt";"Finansowanie wydatków w zakresie wyposażenia IZ PO IG";"POIG.09.02.00-00-004/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"125,626.10";"125,626.10";"125,626.10";"106,782.18";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-004/08-05";"Tak";"2009/06/19";"2009/06/19"
"33-36";"Projekt";"Wyposażenie Instytucji Posredniczącej i Instytucji Pośredniczących II stopnia w 2009 roku";"POIG.09.02.00-00-005/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"12,852,709.95";"3,872,221.87";"3,872,221.87";"3,291,388.59";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Wdrożeń i Innowacji";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-005/08-04";"Tak";"2009/09/29";"2009/10/15"
"33-37";"Projekt";"Wyposażenie Instytucji Pośredniczącej (MSWiA) oraz Instytucji Wdrażających (PARP oraz WWPE) - poprzez finansowanie kosztów wyposażenia stanowisk pracy pracowników zaangażowanych w realizację 7. i 8. osi priorytetowej PO IG w 2009 roku";"POIG.09.02.00-00-006/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"2,982,432.18";"2,982,432.18";"2,982,432.18";"2,535,067.35";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-006/08-04";"Tak";"2009/10/07";"2009/10/16"
"33-38";"Projekt";"Wyposażenie w sprzęt Instytucji Pośredniczącej w MG oraz Instytucji Wdrażających";"POIG.09.02.00-00-007/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"10,373,115.91";"3,446,005.23";"3,446,005.23";"2,929,104.44";"Ministerstwo Gospodarki, Departament Funduszy Europejskich";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-007/08-07";"Tak";"2009/09/30";"2009/10/07"
"33-39";"Projekt";"Wydatki IZ POIG w zakresie wyposażenia stanowisk pracy";"POIG.09.02.00-00-008/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.02.00";"";"461,578.00";"461,578.00";"461,578.00";"392,341.30";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.02.00-00-008/08-07";"Tak";"2009/06/19";"2009/06/19"
"33-40";"Projekt";"Informacja i promocja - POT - 2009";"POIG.09.03.00-00-001/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"108,000.00";"108,000.00";"108,000.00";"91,800.00";"Polska Organizacja Turystyczna";"5252150196";"00-613";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIG.09.03.00-00-001/09-03";"Tak";"2009/10/06";"2009/10/09"
"33-41";"Projekt";"Działania informacyjno-promocyjne realizowane w 2009 r. przez Ministerstwo Gospodarki jako Instytucję Pośredniczącą dla 3,4,5 i 6 osi priorytetowych Programu Operacyjnego Innowacyjna Gospodarka";"POIG.09.03.00-00-002/09-00";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"1,645,100.00";"1,645,100.00";"1,645,100.00";"1,398,335.00";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-002/09-02";"Tak";"2009/11/10";"2009/11/12"
"33-42";"Projekt";"Działania informacyjno-promocyjne realizowane dla osi priorytetowych nr 3, 4, 5 i 6 Programu Operacyjnego Innowacyjna Gospdoarka będących w gestii Ministerstwa Gospodarki jako Instytucji Pośredniczącej.";"POIG.09.03.00-00-003/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"2,220,337.33";"2,220,132.37";"2,220,132.37";"1,887,112.51";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-003/08-04";"Tak";"2009/07/10";"2009/07/10"
"33-43";"Projekt";"Działania informacyjno-promocyjne DKI jako Instytucji Zarządzającej w ramach PO IG";"POIG.09.03.00-00-004/08-04";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"5,610,235.00";"5,610,235.00";"5,610,235.00";"4,768,699.75";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-004/08-06";"Tak";"2009/06/19";"2009/06/19"
"33-44";"Projekt";"Działania informacyjne i promocyjne w ramach I i II Priorytetu Programu Operacyjnego Innowacyjna Gospodarka w 2009 r.";"POIG.09.03.00-00-005/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"2,427,000.00";"2,427,000.00";"2,427,000.00";"2,062,950.00";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Wdrożeń i Innowacji";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-005/08-06";"Tak";"2009/11/04";"2009/11/09"
"33-45";"Projekt";"Działania informacyjne i promocyjne Instytucji Pośredniczącej (MSWiA) oraz Instytucji Wdrażających (PARP oraz WWPE) realizowane w ramach 7 i 8 osi priorytetowej PO IG w 2009 roku";"POIG.09.03.00-00-006/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"1,677,999.00";"1,677,999.00";"1,677,999.00";"1,426,299.15";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-006/08-04";"Tak";"2009/11/05";"2009/11/16"
"33-46";"Projekt";"Działania informacyjno-promocyjne realizowane w 2009 r. przez Ministerstwo Gospodarki jako Instytucję Pośredniczącą dla 3,4,5,6 osi priorytetowych Programu Operacyjnego Innowacyjna Gospodarka.";"POIG.09.03.00-00-007/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"1,639,306.56";"1,639,306.56";"1,639,306.56";"1,393,410.57";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-007/08-06";"Tak";"2009/09/30";"2009/10/08"
"33-47";"Projekt";"Promocja i informacja POIG w dzialaniach Instytucji Zarządzającej w 2009 roku";"POIG.09.03.00-00-008/08-03";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.03.00";"";"5,035,000.00";"5,035,000.00";"5,035,000.00";"4,279,750.00";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.03.00-00-008/08-06";"Tak";"2009/06/19";"2009/06/19"
"33-48";"Projekt";"Ewaluacja PO IG 2008";"POIG.09.04.00-00-003/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"311,311.15";"311,311.15";"311,311.15";"264,614.47";"Ministerstwo Gospodarki, Departament Funduszy Europejskich, Instytucja Pośrednicząca PO IG i PO IiŚ";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-003/08-03";"Tak";"2009/07/10";"2009/07/10"
"33-49";"Projekt";"Ewaluacja PO IG 2008";"POIG.09.04.00-00-004/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"4,809.62";"4,809.62";"4,809.62";"4,088.18";"Ministerstwo Nauki i Szkolnictwa Wyższego";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-004/08-02";"Tak";"2009/02/04";"2009/02/16"
"33-50";"Projekt";"Ewaluacja POIG 2009";"POIG.09.04.00-00-005/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"76,384.62";"76,384.62";"76,384.62";"64,926.92";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Wdrożeń i Innowacji";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-005/08-02";"Tak";"2009/09/29";"2009/10/15"
"33-51";"Projekt";"Ewaluacja w ramach 7 i 8 osi priorytetowej PO IG w 2009 roku";"POIG.09.04.00-00-006/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"110,769.23";"110,769.23";"110,769.23";"94,153.85";"Ministerstwo Spraw Wewnętrznych i Administracji";"5210526030";"02-591";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-006/08-02";"Tak";"2009/10/07";"2009/10/16"
"33-52";"Projekt";"Ewaluacja PO IG 2009";"POIG.09.04.00-00-007/08-01";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"668,846.15";"668,846.15";"668,846.15";"568,519.22";"Ministerstwo Gospodarki, Departament Funduszy Europejskich";"5262897181";"00-507";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-007/08-02";"Tak";"2009/11/23";"2009/11/26"
"33-53";"Projekt";"Ewaluacja SPO-WKP oraz PO IG w 2009 roku - zadania Instytucji Zarządzajacej";"POIG.09.04.00-00-008/08-02";"Program Operacyjny Innowacyjna Gospodarka";"POIG.09.00.00";"POIG.09.04.00";"";"600,000.00";"600,000.00";"600,000.00";"510,000.00";"Ministerstwo Rozwoju Regionalnego";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIG.09.04.00-00-008/08-03";"Tak";"2009/06/19";"2009/06/19"
"33-54";"Projekt";"RPD IZ na lata 2007-2008";"POIS.14.01.00-00-101/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"1,212,720.24";"1,212,720.24";"1,212,720.24";"1,030,812.20";"Ministerstwo Rozwoju Regionalnego, Departament Koordynacji Programów Infrastrukturalnych";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2009/06/22";"2010/01/11"
"33-55";"Projekt";"RPD sektora kultura za lata 2007-2008 (MKiDN)";"POIS.14.01.00-00-501/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"1,182,099.87";"1,182,099.87";"1,182,099.87";"1,004,784.88";"Ministerstwo Kultury i Dziedzictwa Narodowego";"5260308476";"00-071";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.01.00-00-501/08-01-K01";"Tak";"2009/04/29";"2009/05/05"
"33-56";"Projekt";"RPD sektora kultura za lata 2007-2008 (WWPE)";"POIS.14.01.00-00-502/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"1,493,800.00";"1,475,800.00";"1,475,800.00";"1,254,430.00";"Władza Wdrażająca Programy Europejskie";"5262735917";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.01.00-00-502/08-01";"Tak";"2009/05/13";"2009/05/22"
"33-57";"Projekt";"RPD sektora kultura za rok 2009 (WWPE)";"POIS.14.01.00-00-502/09-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"2,710,000.00";"2,710,000.00";"2,710,000.00";"2,303,500.00";"Władza Wdrażająca Programy Europejskie";"5262735917";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.01.00-00-502/09-03";"Tak";"2009/12/30";"2010/03/24"
"33-58";"Projekt";"RPD sektora zdrowie na lata 2007-2008 (MZ)";"POIS.14.01.00-00-601/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"449,132.09";"425,501.30";"425,501.30";"361,675.67";"Ministerstwo Zdrowia, Departament Funduszy Europejskich ";"5251918554";"00-952";"Warszawa";"";"";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.01.00-00-601/08-01";"Tak";"2009/09/21";"2009/09/24"
"33-59";"Projekt";"RPD sektora zdrowie na lata 2007-2008 (CSIOZ)";"POIS.14.01.00-00-602/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"2,268,260.82";"2,014,285.81";"2,014,285.81";"1,712,142.94";"Centrum Systemów Informacyjnych Ochrony Zdrowia";"5251575309";"02-326";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.01.00-00-602/08-01";"Tak";"2009/07/23";"2009/08/05"
"33-60";"Projekt";"RPD sektora nauki na lata 2007-2008 (MNiSW)";"POIS.14.01.00-00-701/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"597,188.03";"597,188.03";"597,188.03";"507,609.79";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Finansowania Szkół Wyższych";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.01.00-00-701/08-01";"Tak";"2009/04/24";"2009/04/29"
"33-61";"Projekt";"RPD sektora nauka za rok 2009 (MNiSW)";"POIS.14.01.00-00-701/09-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"1,684,300.00";"1,684,300.00";"1,684,300.00";"1,431,655.00";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Finansowania Szkół Wyższych";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.01.00-00-701/09-04";"Tak";"2009/06/08";"2009/07/13"
"33-62";"Projekt";"RPD sektora nauki na lata 2007-2008 (OPI)";"POIS.14.01.00-00-702/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"1,741,632.38";"1,741,632.38";"1,741,632.38";"1,480,387.47";"Ośrodek Przetwarzania Informacji";"5250009140";"00-608";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"jednostka naukowa";"00 Nie dotyczy";"POIS.14.01.00-00-702/08-03";"Tak";"2009/07/31";"2009/07/31"
"33-63";"Projekt";"RPD sektora nauka za rok 2009 (OPI)";"POIS.14.01.00-00-702/09-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.01.00";"";"4,065,211.00";"4,065,211.00";"4,065,211.00";"3,455,429.35";"Ośrodek Przetwarzania Informacji";"5250009140";"00-608";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"jednostka naukowa";"00 Nie dotyczy";"POIS.14.01.00-00-702/09-08";"Tak";"2009/07/31";"2009/07/31"
"33-64";"Projekt";"RPD IZ na lata 2007-2008";"POIS.14.02.00-00-101/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"380,804.56";"380,804.56";"380,804.56";"323,683.87";"Ministerstwo Rozwoju Regionalnego, Departament Koordynacji Programów Infrastrukturalnych";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2009/06/22";"2010/01/11"
"33-65";"Projekt";"RPD sektora kultura za lata 2007-2008 (MKiDN)";"POIS.14.02.00-00-501/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"452,165.84";"452,165.84";"452,165.84";"384,340.96";"Ministerstwo Kultury i Dziedzictwa Narodowego";"5260308476";"00-071";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.02.00-00-501/08-01";"Tak";"2009/04/29";"2009/05/05"
"33-66";"Projekt";"RPD sektora zdrowie na lata 2007-2008 (MZ)";"POIS.14.02.00-00-601/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"118,271.93";"118,271.93";"118,271.93";"100,531.13";"Ministerstwo Zdrowia, Departament Funduszy Europejskich ";"5251918554";"00-952";"Warszawa";"";"";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.14.02.00-00-601/08-01";"Tak";"2009/09/21";"2009/09/24"
"33-67";"Projekt";"RPD sektora zdrowie na lata 2007-2008 (CSIOZ)";"POIS.14.02.00-00-602/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"121,216.59";"121,216.59";"121,216.59";"103,034.10";"Centrum Systemów Informacyjnych Ochrony Zdrowia";"5251575309";"02-326";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.02.00-00-602/08-01";"Tak";"2009/07/23";"2009/08/05"
"33-68";"Projekt";"RPD sektora nauki na lata 2007-2008 (MNiSW)";"POIS.14.02.00-00-701/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"113,909.99";"113,909.99";"113,909.99";"96,823.47";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Finansowania Szkół Wyższych";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.02.00-00-701/08-01";"Tak";"2009/04/24";"2009/04/30"
"33-69";"Projekt";"RPD sektora nauka za rok 2009 (MNiSW)";"POIS.14.02.00-00-701/09-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"473,000.00";"473,000.00";"473,000.00";"402,050.00";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Finansowania Szkół Wyższych";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.02.00-00-701/09-04";"Tak";"2009/06/08";"2009/07/13"
"33-70";"Projekt";"RPD sektora nauki na lata 2007-2008 (OPI)";"POIS.14.02.00-00-702/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"196,241.86";"196,241.86";"196,241.86";"166,805.58";"Ośrodek Przetwarzania Informacji";"5250009140";"00-608";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"jednostka naukowa";"00 Nie dotyczy";"POIS.14.02.00-00-702/08-03";"Tak";"2009/07/31";"2009/07/31"
"33-71";"Projekt";"RPD sektora nauka za rok 2009 (OPI)";"POIS.14.02.00-00-702/09-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.02.00";"";"409,970.00";"409,970.00";"409,970.00";"348,474.50";"Ośrodek Przetwarzania Informacji";"5250009140";"00-608";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"jednostka naukowa";"00 Nie dotyczy";"POIS.14.02.00-00-702/09-08";"Tak";"2009/07/31";"2009/07/31"
"33-72";"Projekt";"RPD IZ na lata 2007-2008";"POIS.14.03.00-00-101/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.03.00";"";"461,750.20";"461,750.20";"461,750.20";"392,487.67";"Ministerstwo Rozwoju Regionalnego, Departament Koordynacji Programów Infrastrukturalnych";"5262895199";"00-926";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"";"";"2009/06/22";"2010/01/11"
"33-73";"Projekt";"RPD sektora nauka za rok 2009 (MNiSW)";"POIS.14.03.00-00-701/09-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.14.00.00";"POIS.14.03.00";"";"143,000.00";"143,000.00";"143,000.00";"121,550.00";"Ministerstwo Nauki i Szkolnictwa Wyższego, Departament Finansowania Szkół Wyższych";"7010014467";"00-529";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"86 Ocena, badania/ekspertyzy, informacja i komunikacja";"państwowa jednostka organizacyjna";"00 Nie dotyczy";"POIS.14.03.00-00-701/09-02";"Tak";"2009/06/08";"2009/07/13"
"33-74";"Projekt";"RPD sektora środowisko na lata 2007-2008 (MŚ)";"POIS.15.01.00-00-201/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.15.00.00";"POIS.15.01.00";"";"5,463,312.61";"1,517,365.18";"1,517,365.18";"1,289,760.40";"Ministerstwo Środowiska";"5261647453";"00-922";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"85 Przygotowanie, realizacja, monitorowanie i kontrola";"organ władzy, administracji rządowej";"00 Nie dotyczy";"POIS.15.01.00-00-201/08-01";"Tak";"2009/03/20";"2009/03/31"
