"id";"Nazwa";"Numer umowy/decyzji";"Program Operacyjny <Nazwa>";"Oś priorytetowa <Kod>";"Działanie <Kod>";"Poddziałanie <Kod>";"Wartość ogółem";"Wydatki kwalifikowalne";"Dofinansowanie";"Dofinansowanie UE";"Nazwa beneficjenta";"NIP beneficjenta";"Kod pocztowy";"Miejscowość";"Województwo";"Powiat";"Temat priorytetu";"Forma prawna";"Obszar realizacji";"Ostatni Wniosek o płatność dla najbardziej aktualnej Umowy/Aneksu";"Projekt zakończony (Wniosek o płatność końcową)";"Data podpisania Umowy/Aneksu";"Data utworzenia w KSI SIMIK 07-13 Umowy/Aneksu"
"13-5";"Powiat m. Gliwice";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-5-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-6";"Powiat m. Jaworzno";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-6-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-7";"Powiat m. Katowice";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-7-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-8";"Powiat m. Mysłowice";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-8-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-9";"Powiat m. Ruda Śląska";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-9-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-10";"Powiat m. Siemianowice Śląskie";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-10-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-11";"Powiat m. Sosnowiec";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-11-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-12";"Powiat m. Świętochłowice";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-12-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-13";"Powiat m. Zabrze";"";"";"";"";"";810491.83;658936.45;560095.98;560095.98;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-13-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"13-14";"Powiat zawierciański";"";"";"";"";"";33602453.83;33408381.45;33309540.98;28397124.23;"";"";"";"";"";"";"";"";"";"";"";"";""
"13-14-1";"System Dynamicznej Informacji Pasażerskiej na obszarze działalności KZK GOP";"POIS.08.03.00-00-001/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.08.00.00";"POIS.08.03.00";"";"810,491.83";"658,936.45";"560,095.98";"560,095.98";"Komunikacyjny Związek Komunalny Górnośląskiego Okręgu Przemysłowego";"9542246280";"40-053";"Katowice";"Śląskie";"Powiat m. Katowice";"28 Inteligentne systemy transportu";"samorządowa osoba prawna";"00 Nie dotyczy";"";"";"2011/05/27";"2011/05/30"
"11-2";"Powiat zgierski";"";"";"";"";"";2000000.0;2000000.0;1700000.0;1700000.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"11-2-1";"Budowa lądowiska dla śmigłowców ratunkowych wraz z zapewnieniem komunikacji z SOR w W.S.S. w Zgierzu";"POIS.12.01.00-00-003/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"2,000,000.00";"2,000,000.00";"1,700,000.00";"1,700,000.00";"Wojewódzki Szpital Specjalistyczny im. Marii Skłodowskiej-Curie w Zgierzu";"7321003187";"95-100";"Zgierz";"Łódzkie";"Powiat zgierski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/30";"2011/05/31"
"12-2";"Powiat mielecki";"";"";"";"";"";3215411.7;3215411.7;2733099.94;2733099.94;"";"";"";"";"";"";"";"";"";"";"";"";""
"12-2-1";"Chcemy i możemy Ci pomóc w każdej sytuacji - Budowa lądowiska dla śmigłowców sanitarnych na terenie Szpitala Powiatowego im. E. Biernackiego w Mielcu";"POIS.12.01.00-00-008/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"3,215,411.70";"3,215,411.70";"2,733,099.94";"2,733,099.94";"Szpital Powiatowy im. Edmunda Biernackiego w Mielcu";"8171750893";"39-300";"MIELEC";"Podkarpackie";"Powiat mielecki";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/03/01";"2011/03/02"
"7-4";"Powiat nowosądecki";"";"";"";"";"";2725815.15;2725800.39;2225247.83;2225247.83;"";"";"";"";"";"";"";"";"";"";"";"";""
"7-4-1";"Przebudowa lądowiska dla helikopterów przy Szpitalu Specjalistycznym im. Jędrzeja Śniadeckiego w Nowym Sączu";"POIS.12.01.00-00-011/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"2,463,850.39";"2,463,850.39";"2,094,272.83";"2,094,272.83";"Szpital Specjalistyczny im. Jędrzeja Śniadeckiego w Nowym Sączu";"7342608458";"33-300";"Nowy Sącz";"Małopolskie";"Powiat m. Nowy Sącz / Powiat nowosądecki";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-011/10-01";"Nie";"2011/04/26";"2011/04/27"
"9-2";"Powiat m. Poznań";"";"";"";"";"";7278973.79;6590215.72;5648812.13;5129729.69;"";"";"";"";"";"";"";"";"";"";"";"";""
"9-2-1";"Budowa lądowiska dla śmigłowców sanitarnych w Szpitalu Wojewódzkim w Poznaniu.";"POIS.12.01.00-00-027/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"3,460,549.56";"3,460,549.56";"3,460,549.56";"2,941,467.12";"Szpital Wojewódzki";"7811618944";"60-479";"Poznań";"Wielkopolskie";"Powiat m. Poznań";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/02/07";"2011/02/11"
"5-1-2";"Budowa lądowiska dla helikopterów w celu poprawy dostępności do Szpitalnego Oddziału Ratunkowego i poprawy jakości ratownictwa medycznego w Powiecie Lęborskim";"POIS.12.01.00-00-039/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"1,674,180.84";"1,674,180.84";"1,423,053.71";"1,423,053.71";"Samodzielny Publiczny Specjalistyczny Zakład Opieki Zdrowotnej";"8411461899";"84-300";"Lębork";"Pomorskie";"Powiat lęborski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/04";"2011/05/05"
"9-3";"Powiat kaliski";"";"";"";"";"";2229572.99;2229572.99;1895137.04;1895137.04;"";"";"";"";"";"";"";"";"";"";"";"";""
"9-3-1";"Modernizacja lądowiska dla helikopterów przy Wojewódzkim Szpitalu Zespolonym w Kaliszu";"POIS.12.01.00-00-044/10-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"693,672.99";"693,672.99";"589,622.04";"589,622.04";"Wojewódzki Szpital Zespolony im. Ludwika Perzyny w Kaliszu";"6182025893";"62-800";"Kalisz";"Wielkopolskie";"Powiat kaliski / Powiat pleszewski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/23";"2011/05/24"
"14";"Kujawsko-pomorskie";"";"";"";"";"";24233047.96;24233047.96;21819435.53;20598090.75;"";"";"";"";"";"";"";"";"";"";"";"";""
"14-1";"Powiat brodnicki";"";"";"";"";"";6215220.0;6215220.0;5282937.0;5282937.0;"";"";"";"";"";"";"";"";"";"";"";"";""
"14-1-1";"Lądowisko w Brodnicy szansą poprawy funkcjonowania systemu ratownictwa medycznego";"POIS.12.01.00-00-050/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"6,215,220.00";"6,215,220.00";"5,282,937.00";"5,282,937.00";"Regionalny Szpital Specjalistyczny im. dr. Władysława Biegańskiego ";"8762008352";"86-300";"Grudziądz";"Kujawsko-pomorskie";"Powiat brodnicki / Powiat m. Grudziądz";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/03/08";"2011/03/14"
"7-5";"Powiat myślenicki";"";"";"";"";"";13885220.94;13885220.94;9278591.95;9278591.95;"";"";"";"";"";"";"";"";"";"";"";"";""
"7-5-1";"Poprawa funkcjonowania systemu ratownictwa medycznego poprzez budowę lądowiska dla śmigłówców przy Szpitalnym Oddziale Ratunkowym Samodzielnego Publicznego Zakładu Opieki Zdrowotnej w Myślenicach";"POIS.12.01.00-00-055/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"1,265,991.72";"1,265,991.72";"1,076,092.96";"1,076,092.96";"Powiat Myślenicki";"6811692319";"32-400";"Myślenice";"Małopolskie";"Powiat myślenicki";"76 Infrastruktura ochrony zdrowia";"wspólnota samorządowa - powiat";"00 Nie dotyczy";"";"";"2011/05/30";"2011/05/31"
"1-1-3";"Przebudowa lądowiska wraz z niezbędną infrastrukturą służącą polepszeniu dostępności do Szpitalnego Oddziału Ratunkowego Wojskowego Instytutu Medycznego";"POIS.12.01.00-00-059/10-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"3,120,090.17";"3,120,090.17";"2,652,076.64";"2,652,076.64";"Wojskowy Instytut Medyczny";"1132393221";"04-141";"Warszawa";"Mazowieckie";"Powiat m. st. Warszawa";"76 Infrastruktura ochrony zdrowia";"jednostka naukowa";"00 Nie dotyczy";"POIS.12.01.00-00-059/10-01";"Nie";"2011/01/24";"2011/01/25"
"7-1-2";"Modernizacja Szpitalnego Oddziału Ratunkowego w Szpitalu im. L. Rydygiera w Krakowie wraz z budową lądowiska i zakupem aparatury i sprzętu.";"POIS.12.01.00-00-218/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"15,557,340.26";"13,767,088.77";"11,702,025.45";"11,702,025.45";"Województwo Małopolskie";"6762083499";"31-156";"Kraków";"Małopolskie";"Powiat m. Kraków";"76 Infrastruktura ochrony zdrowia";"wspólnota samorządowa";"00 Nie dotyczy";"";"";"2011/05/10";"2011/05/12"
"2-3";"Powiat trzebnicki";"";"";"";"";"";4661655.0;4611655.0;3919906.75;3919906.75;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-3-1";"Rozbudowa i remont Szpitalnego Oddziału Ratunkowego Szpitala im. Św. Jadwigi Śląskiej oraz zakup sprzętu medycznego dla potrzeb oddziału.";"POIS.12.01.00-00-225/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"4,661,655.00";"4,611,655.00";"3,919,906.75";"3,919,906.75";"Szpital im. Św. Jadwigi Śląskiej";"9151523806";"55-100";"Trzebnica";"Dolnośląskie";"Powiat trzebnicki";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-225/08-01";"Nie";"2011/02/02";"2011/02/08"
"15";"Opolskie";"";"";"";"";"";1712550.6;709515.4;603088.09;603088.09;"";"";"";"";"";"";"";"";"";"";"";"";""
"15-1";"Powiat opolski";"";"";"";"";"";1712550.6;709515.4;603088.09;603088.09;"";"";"";"";"";"";"";"";"";"";"";"";""
"15-1-1";"Rozwój systemu ratownictwa medycznego regionu poprzez budowę lądowiska dla śmigłowców sanitarnych na terenie Wojewódzkiego Centrum Medycznego w Opolu";"POIS.12.01.00-00-249/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"1,712,550.60";"709,515.40";"603,088.09";"603,088.09";"Publiczny Samodzielny Zakład Opieki Zdrowotnej Wojewódzkie Centrum Medyczne w Opolu";"7542563619";"45-418";"Opole";"Opolskie";"Powiat m. Opole";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/04/28";"2011/04/29"
"14-2";"Powiat bydgoski";"";"";"";"";"";8142298.5;8142298.5;8142298.5;6920953.72;"";"";"";"";"";"";"";"";"";"";"";"";""
"14-2-1";"Dostosowanie Szpitalnego Oddziału Ratunkowego do wymaganych standardów poprzez zakup nowoczesnego sprzętu medycznego";"POIS.12.01.00-00-279/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"8,142,298.50";"8,142,298.50";"8,142,298.50";"6,920,953.72";"Szpital Uniwersytecki Nr 2 im. dr Jana Biziela w Bydgoszczy";"9532582266";"85-168";"Bydgoszcz";"Kujawsko-pomorskie";"Powiat m. Bydgoszcz";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/04/18";"2011/04/19"
"2-4";"Powiat oławski";"";"";"";"";"";21724864.9;8153322.62;6930324.22;6930324.22;"";"";"";"";"";"";"";"";"";"";"";"";""
"2-4-1";"Rozbudowa i przebudowa Szpitalnego Oddziału Ratunkowego i Diagnostyki Obrazowej SPZOZ w Oławie";"POIS.12.01.00-00-285/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"21,724,864.90";"8,153,322.62";"6,930,324.22";"6,930,324.22";"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Oławie";"9121650658";"55-200";"Oława";"Dolnośląskie";"Powiat oławski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/24";"2011/05/24"
"14-3";"Powiat grudziądzki";"";"";"";"";"";5486619.99;5486619.99;4663626.99;4663626.99;"";"";"";"";"";"";"";"";"";"";"";"";""
"14-3-1";"Podniesienie jakości działania systemu ratownictwa medycznego w Regionalnym  Szpitalu Specjalistycznym w Grudziądzu poprzez zakup urządzeń medycznych.";"POIS.12.01.00-00-287/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"5,486,619.99";"5,486,619.99";"4,663,626.99";"4,663,626.99";"Regionalny Szpital Specjalistyczny Im. Dr Władysława Biegańskiego w Grudziądzu";"8762008352";"86-300";"Grudziądz";"Kujawsko-pomorskie";"Powiat brodnicki / Powiat m. Grudziądz";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/04/20";"2011/04/21"
"6-5";"Powiat świebodziński";"";"";"";"";"";612395.64;612395.64;520536.29;520536.29;"";"";"";"";"";"";"";"";"";"";"";"";""
"6-5-1";"Poprawa jakości świadczonych usług i bezpieczeństwa pacjentów poprzez zakup  wyrobów medycznych do Szpitalnego Oddziału Ratunkowego w NZOZ Nowy Szpital w Świebodzinie";"POIS.12.01.00-00-290/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"612,395.64";"612,395.64";"520,536.29";"520,536.29";"Nowy Szpital w Świebodzinie Sp. z o.o.";"8522521096";"66-200";"Świebodzin";"Lubuskie";"Powiat świebodziński";"76 Infrastruktura ochrony zdrowia";"spółka z ograniczoną odpowiedzialnością - średnie przedsiębiorstwo";"00 Nie dotyczy";"POIS.12.01.00-00-290/08-03";"Nie";"2011/03/03";"2011/03/03"
"5-6-2";"Poprawa infrastruktury oraz doposażenie w sprzęt medyczny SOR w Starogardzie Gdańskim w celu zwiększenia efektywności ratownictwa medycznego.";"POIS.12.01.00-00-304/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"4,473,908.52";"3,820,812.73";"3,247,690.82";"3,247,690.82";"Powiat Starogardzki";"5921869712";"83-200";"Starogard Gdański";"Pomorskie";"Powiat starogardzki";"76 Infrastruktura ochrony zdrowia";"wspólnota samorządowa - powiat";"00 Nie dotyczy";"POIS.12.01.00-00-304/08-02";"Nie";"2011/03/16";"2011/03/16"
"3-6-2";"Rozbudowa i doposażenie SOR w SPZOZ we Włodawie , budowa lądowiska dla śmigłowców ratunkowych celem poprawy warunków leczenia i diagnostyki pacjentów ";"POIS.12.01.00-00-306/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"10,314,931.00";"10,314,931.00";"8,767,691.35";"8,767,691.35";"Samodzielny Publiczny Zespół Opieki Zdrowotnej we Włodawie";"5651337789";"22-200";"Włodawa";"Lubelskie";"Powiat włodawski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-306/08-06";"Nie";"2011/05/17";"2011/05/17"
"14-4";"Powiat inowrocławski";"";"";"";"";"";4388909.47;4388909.47;3730573.04;3730573.04;"";"";"";"";"";"";"";"";"";"";"";"";""
"14-4-1";"Zwiększenie dostępu do świadczeń zdrowotnych przez doposażenie  i modernizację infrastruktury szpitalnego oddziału ratunkowego w PS ZOZ w Inowrocławiu.";"POIS.12.01.00-00-321/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"4,388,909.47";"4,388,909.47";"3,730,573.04";"3,730,573.04";"Publiczny Specjalistyczny Zakład Opieki Zdrowotnej w Inowrocławiu";"5562239217";"88-100";"Inowrocław";"Kujawsko-pomorskie";"Powiat inowrocławski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-321/08-05";"Nie";"2011/02/14";"2011/02/15"
"7-6";"Powiat suski";"";"";"";"";"";1894546.63;1883566.63;1601031.64;1601031.64;"";"";"";"";"";"";"";"";"";"";"";"";""
"7-6-1";"Zwiększenie bezpieczeństwa zdrowotnego mieszkańców poprzez budowę lądowiska i doposażenie szpitalnego oddziału ratunkowego w ZOZ w Suchej Beskidzkiej.";"POIS.12.01.00-00-323/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"1,894,546.63";"1,883,566.63";"1,601,031.64";"1,601,031.64";"Zespół Opieki Zdrowotnej w Suchej Beskidzkiej";"5221274352";"34-200";"Sucha Beskidzka ";"Małopolskie";"Powiat suski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-323/08-02";"Nie";"2011/04/06";"2011/04/12"
"11-3";"Powiat m. Łódź";"";"";"";"";"";3106559.31;3106559.31;2640575.41;2640575.41;"";"";"";"";"";"";"";"";"";"";"";"";""
"11-3-1";"Zakup wyrobów medycznych do diagnostyki i terapii oraz budowa drogi między lądowiskiem a SOR-em w WSS im.M. Kopernika w Łodzi.";"POIS.12.01.00-00-330/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"3,106,559.31";"3,106,559.31";"2,640,575.41";"2,640,575.41";"Wojewódzki Szpital Specjalistyczny im. M. Kopernika w Łodzi";"7292345599";"93-513";"Łódź";"Łódzkie";"Powiat m. Łódź";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/06";"2011/05/06"
"1-1-4";"Podniesienie dostępu do specjalistycznych świadczeń zdrowotnych poprzez wyposażenie Szpitalnego Oddziału Ratunkowego w Szpitalu Wolskim w Warszawie";"POIS.12.01.00-00-332/08-00";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"4,664,134.03";"4,664,134.03";"3,964,513.92";"3,964,513.92";"Miasto Stołeczne Warszawa";"5271045483";"00-950";"Warszawa";"";"";"76 Infrastruktura ochrony zdrowia";"wspólnota samorządowa - powiat";"00 Nie dotyczy";"";"";"2011/03/31";"2011/04/06"
"9-3-2";"Zakup sprzętu medycznego dla Wojewódzkiego Szpitala Zespolonego im. Ludwika Perzyny w Kaliszu celem doposażenia Szpitalnego Oddziału Ratunkowego.";"POIS.12.01.00-00-344/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"1,535,900.00";"1,535,900.00";"1,305,515.00";"1,305,515.00";"Wojewódzki Szpital Zespolony im. Ludwika Perzyny w Kaliszu";"6182025893";"62-800";"Kalisz";"Wielkopolskie";"Powiat kaliski / Powiat pleszewski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"POIS.12.01.00-00-344/08-03";"Nie";"2011/02/16";"2011/02/17"
"1-17";"Powiat sochaczewski";"";"";"";"";"";5541472.0;5541472.0;4710251.2;4710251.2;"";"";"";"";"";"";"";"";"";"";"";"";""
"1-17-1";"Rozbudowa i doposażenie oddziału ratunkowego i zakładu diagnostyki obrazowej na potrzeby ratownictwa medycznego  w Sochaczewie";"POIS.12.01.00-00-359/08-02";"Program Operacyjny Infrastruktura i Środowisko";"POIS.12.00.00";"POIS.12.01.00";"";"5,541,472.00";"5,541,472.00";"4,710,251.20";"4,710,251.20";"Zespół Opieki Zdrowotnej ""Szpital Powiatowy"" w Sochaczewie";"8371507803";"96-500";"Sochaczew";"Mazowieckie";"Powiat sochaczewski";"76 Infrastruktura ochrony zdrowia";"publiczny zakład opieki zdrowotnej";"00 Nie dotyczy";"";"";"2011/05/16";"2011/05/16"
"7-1-3";"Rozbudowa i modernizacja infrastruktury dydaktycznej na kierunkach przyrodniczych i ścisłych UJ";"POIS.13.01.00-00-062/08-01";"Program Operacyjny Infrastruktura i Środowisko";"POIS.13.00.00";"POIS.13.01.00";"";"16,395,981.00";"16,374,722.50";"16,374,722.50";"13,918,514.13";"Uniwersytet Jagielloński";"6750002236";"31-007";"Kraków";"Małopolskie";"Powiat m. Kraków";"02 Infrastruktura B+RT (w tym wyposażenie w sprzęt, oprzyrządowanie i szybkie sieci informatyczne łączące ośrodki badawcze) oraz specjalistyczne ośrodki kompetencji technologicznych";"uczelnia wyższa";"00 Nie dotyczy";"POIS.13.01.00-00-062/08-02";"Nie";"2011/04/12";"2011/04/12"
"7-7";"Powiat nowotarski";"";"";"";"";"";16395981.0;16374722.5;16374722.5;13918514.13;"";"";"";"";"";"";"";"";"";"";"";"";""
